2019-12-04 08:10:16     :上班
2019-12-04 08:30:26     :整理财富
2019-12-04 09:00:34     :集成测试 历史记录
2019-12-04 09:31:14     :集成测试 历史记录
2019-12-04 10:00:24     :跑钞箱
2019-12-04 10:30:16     :上网查Siri
2019-12-04 11:00:22     :上网查Siri
2019-12-04 11:30:45     :跑钞箱
2019-12-04 13:21:58     :下午上班

2019-12-04 13:21:58-- 13:30:43     :随便看看
2019-12-04 13:30:43-- 14:00:37     :上网，随便看看
2019-12-04 14:00:37-- 14:30:09     :上网，随便看看
2019-12-04 15:40:12-- 15:40:13     :
2019-12-04 15:40:13-- 16:01:41     :理单
2019-12-04 16:01:41-- 16:31:39     :理单
2019-12-04 16:31:39-- 17:43:24     :下班，吃饭
2019-12-04 17:43:24-- 18:00:28     :加班

2019-12-04 18:11:02-- 18:20:23     :频繁  ：D:\00-06\新建文件夹\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
