2020-02-25 09:42:46-- 10:00:09     :流程图    一  ：Visio Professional   113/9.41分钟       二  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   63/5.25分钟     三  ：小程序   8/0.66分钟
2020-02-25 10:00:09-- 10:30:05     :流程图    一  ：Visio Professional   215/17.9分钟       二  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   48/4.0分钟     三  ：   46/3.83分钟
2020-02-25 10:30:05-- 11:00:02     :流程图    一  ：Visio Professional   67/5.58分钟       二  ：   61/5.08分钟     三  ：于斌1   59/4.91分钟
2020-02-25 11:00:02-- 13:15:30     :流程图    一  ：C:\Users\zhangkaifa\Documents\W\WorkTime.py • (trunk) - Sublime Text (UNREGISTERED)   90/7.5分钟       二  ：Class-Log.py - D:\00-记录\记录\文件检测python\新建文件夹 (4)\Class-Log.py (3.7.3)   28/2.33分钟     三  ：2020-02-25.txt - 记事本   18/1.5分钟
2020-02-25 13:15:30-- 13:30:02     :流程图    一  ：*WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)*   57/4.75分钟       二  ：WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)   44/3.66分钟     三  ：Python 3.7.3 Shell   12/1.0分钟
2020-02-25 13:30:02-- 14:00:05     :流程图    一  ：*WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)*   126/10.5分钟       二  ：WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)   83/6.91分钟     三  ：Python 3.7.3 Shell   43/3.58分钟2020-02-25 14:02:49-- 14:30:06     :    一  ：*WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)*   75/6.25分钟       二  ：WorkTime.py - C:\Users\zhangkaifa\Documents\WorkTime.py (3.7.3)   73/6.08分钟     三  ：WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)   53/4.41分钟
2020-02-25 14:30:06-- 15:00:05     :    一  ：WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)   95/7.91分钟       二  ：Python 3.7.3 Shell   85/7.08分钟     三  ：*WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)*   84/7.0分钟

2020-02-25 15:03:36-- 15:30:03     :    一  ：GTD.pyw - C:\Users\zhangkaifa\Documents\Q\GTD.pyw (3.7.3)   61/5.08分钟       二  ：*GTD.pyw - C:\Users\zhangkaifa\Documents\Q\GTD.pyw (3.7.3)*   55/4.58分钟     三  ：*WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)*   17/1.41分钟

2020-02-25 15:30:31-- 16:00:03     :    一  ：Visio Professional   108/9.0分钟       二  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   55/4.58分钟     三  ：WorkTime.py - C:\Users\zhangkaifa\Documents\W\WorkTime.py (3.7.3)   33/2.75分钟
2020-02-25 16:01:00-- 16:30:42     :    一  ：Visio Professional   178/14.8分钟       二  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   87/7.25分钟     三  ：计算器   27/2.25分钟
