2020-02-28 08:10:11-- 08:10:33     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-02-28 08:10:33-- 08:30:06     :    一  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   58/4.83分钟       二  ：   34/2.83分钟     三  ：Visio Professional   24/2.0分钟
2020-02-28 08:30:57-- 09:00:05     :    一  ：thief-book   199/16.5分钟       二  ：(34 封私信 / 80 条消息) 首页 - 知乎 - Google Chrome   89/7.41分钟     三  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   15/1.25分钟
2020-02-28 09:00:05-- 09:30:02     :    一  ：(34 封私信 / 80 条消息) 首页 - 知乎 - Google Chrome   202/16.8分钟       二  ：Visio Professional   57/4.75分钟     三  ：D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)   14/1.16分钟
2020-02-28 09:30:02-- 10:00:21     :    一  ：D:\00-06\9\branches\BR-1-CashBox1T2\Applications\PlateCtrl\PlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   84/7.0分钟       二  ：Visio Professional   80/6.66分钟     三  ：D:\00-KE64\6\trunk\Applications\InstrExp\InstrSUBProcess.c (trunk) - Sublime Text (UNREGISTERED)   33/2.75分钟
2020-02-28 10:00:21-- 10:30:06     :    一  ：D:\00-06\Thespace\trunk\Project\CashBox.uvprojx - μVision   120/10.0分钟       二  ：物料规格书,1720-0000045,驱动芯片AT8812.pdf - Adobe Reader   48/4.0分钟     三  ：   33/2.75分钟
2020-02-28 10:30:06-- 11:00:08     :    一  ：D:\00-KE64\trunk\Middlewares\Encryption\EncryApp.c (trunk) - Sublime Text (UNREGISTERED)   64/5.33分钟       二  ：TCR调测工具 V3.36   31/2.58分钟     三  ：发送指令到K18   29/2.41分钟
2020-02-28 11:00:08-- 13:18:36     :    一  ：D:\00-KE64\trunk\Middlewares\Encryption\EncryApp.c • (trunk) - Sublime Text (UNREGISTERED)   120/10.0分钟       二  ：TCR调测工具 V3.36   49/4.08分钟     三  ：D:\00-KE64\trunk\Applications\InstrExp\InstrGSProcess.c • (trunk) - Sublime Text (UNREGISTERED)   16/1.33分钟
2020-02-28 13:18:36-- 13:30:01     :    一  ：   47/3.91分钟       二  ：D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision   18/1.5分钟     三  ：D:\00-KE64\trunk\Middlewares\Encryption\EncryApp.c (trunk) - Sublime Text (UNREGISTERED)   16/1.33分钟
2020-02-28 13:30:01-- 14:00:02     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   52/4.33分钟       二  ：   48/4.0分钟     三  ：D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision   41/3.41分钟
2020-02-28 14:00:02-- 14:30:05     :    一  ：D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision   140/11.6分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   78/6.5分钟     三  ：   23/1.91分钟
2020-02-28 14:30:05-- 15:08:31     :    一  ：D:\00-KE64\6\trunk\Project\k64_rtt.uvprojx - μVision   112/9.33分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   48/4.0分钟     三  ：于斌1   31/2.58分钟
2020-02-28 15:08:31-- 15:30:06     :    一  ：Tools   80/6.66分钟       二  ：   36/3.0分钟     三  ：变幻线   30/2.5分钟
2020-02-28 15:30:06-- 16:23:32     :    一  ：D:\00-06\Thespace\trunk\Project\CashBox.uvprojx - μVision   110/9.16分钟       二  ：变幻线   60/5.0分钟     三  ：   26/2.16分钟
2020-02-28 16:23:32-- 16:35:39     :    一  ：DS-00088-GD25Q32C-Rev4.0.pdf - Adobe Reader   51/4.25分钟       二  ：网易有道词典   20/1.66分钟     三  ：「开始」菜单   2/0.16分钟
2020-02-28 16:35:39-- 17:00:03     :    一  ：TCR调测工具 V3.36   56/4.66分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   40/3.33分钟     三  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   38/3.16分钟
