2020-03-04 08:12:07-- 08:30:04     :    一  ：   26/2.16分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   22/1.83分钟     三  ：(34 封私信 / 79 条消息) 首页 - 知乎 - Google Chrome   17/1.41分钟
2020-03-04 08:30:04-- 09:00:00     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   166/13.8分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   122/10.1分钟     三  ：   22/1.83分钟
2020-03-04 09:00:00-- 09:30:00     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   194/16.1分钟       二  ：变幻线   60/5.0分钟     三  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   49/4.08分钟
2020-03-04 09:30:00-- 10:00:00     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   178/14.8分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   33/2.75分钟     三  ：EXTFEDU6V11.pdf - Adobe Reader   32/2.66分钟
2020-03-04 10:00:00-- 10:30:00     :    一  ：TCR调测工具 V3.07   121/10.0分钟       二  ：D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   30/2.5分钟     三  ：LogExpert - E:\新建文件夹(4)\CODE-INFORMATION\00-TCR-information\测试\测试\BTCRTestTool V3.07\log\TCRControlCmdDLL\20200304\Decode\FirmLog__20200304101452.log   29/2.41分钟
2020-03-04 10:30:00-- 11:00:01     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   185/15.4分钟       二  ：   21/1.75分钟     三  ：TCR调测工具 V3.07   16/1.33分钟
2020-03-04 11:00:01-- 11:30:01     :    一  ：变幻线   63/5.25分钟       二  ：2019-10-28 07-59-20   57/4.75分钟     三  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   16/1.33分钟
2020-03-04 13:21:34-- 13:30:04     :    一  ：TCR调测工具 V3.07   33/2.75分钟       二  ：TCR调测工具 V3.36   28/2.33分钟     三  ：库   4/0.33分钟
2020-03-04 13:30:04-- 14:00:01     :    一  ：TCR调测工具 V3.07   47/3.91分钟       二  ：Python导出exe打包之吐血总结 - 简书 - Google Chrome   38/3.16分钟     三  ：PostWork   27/2.25分钟
2020-03-04 14:00:01-- 14:30:04     :    一  ：TCR调测工具 V3.36   56/4.66分钟       二  ：TCR调测工具 V3.07   52/4.33分钟     三  ：D:\00-06\Thespace\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)   50/4.16分钟
2020-03-04 14:30:04-- 15:00:00     :    一  ：PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)   67/5.58分钟       二  ：*PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*   46/3.83分钟     三  ：*Python 3.7.3 Shell*   34/2.83分钟
2020-03-04 15:00:00-- 15:30:03     :    一  ：*PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*   46/3.83分钟       二  ：班车管理系统 [新北洋集团] - Google Chrome   43/3.58分钟     三  ：TCR调测工具 V3.07   38/3.16分钟
2020-03-04 15:30:03-- 16:00:00     :    一  ：Progress Telerik Fiddler Web Debugger   59/4.91分钟       二  ：*PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*   59/4.91分钟     三  ：TCR调测工具 V3.36   45/3.75分钟
2020-03-04 16:00:00-- 16:30:01     :    一  ：新建Microsoft Word 文档.docx - Word   79/6.58分钟       二  ：PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)   41/3.41分钟     三  ：iTunes   31/2.58分钟
2020-03-04 16:30:01-- 17:00:03     :    一  ：D:\00-06\8\branches\BR-1-CashBox1T2\Applications\State\State.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)   78/6.5分钟       二  ：PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)   46/3.83分钟     三  ：*PostWork.py - F:\新建文件夹 (2)\PostWork.py (3.7.3)*   39/3.25分钟
2020-03-04 17:33:23-- 18:00:00     :    一  ：PostWork   90/7.5分钟       二  ：D:\00-06\6\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   48/4.0分钟     三  ：D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision   39/3.25分钟
