2020-04-20 08:15:46-- 08:30:01     :    一  ：   147/12.2分钟       二  ：荆文波   9/0.75分钟     三  ：D:\00-06\DRB-Seclect-New\Applications\Track\Track.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   6/0.5分钟
2020-04-20 08:30:01-- 09:00:01     :    一  ：   174/14.5分钟       二  ：5.6 拨叉信号测试.pptx [受保护的视图] - PowerPoint   75/6.25分钟     三  ：于斌1   43/3.58分钟
2020-04-20 09:00:01-- 09:30:01     :    一  ：D:\00-06\DRB-Seclect-New\Middlewares\StepMotor\StepMotor.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   347/28.9分钟       二  ：D:\00-06\DRB-Seclect-New\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   12/1.0分钟     三  ：D:\00-06\DRB-Seclect-New\FwLib\StdSnbc\StdMacro.h (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   1/0.08分钟
2020-04-20 09:30:01-- 10:00:01     :    一  ：D:\00-06\DRB-Seclect-New\Project\CashBox_1T2.uvprojx - μVision   78/6.5分钟       二  ：DRB新压板机构设计说明20200419.xlsx  [只读] - Excel   68/5.66分钟     三  ：幻灯片 1 - Adobe Reader   65/5.41分钟
2020-04-20 10:00:01-- 10:30:01     :    一  ：D:\00-06\DRB-Seclect-New\Applications\Track\Track.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   86/7.16分钟       二  ：TCR调测工具 V3.36   48/4.0分钟     三  ：D:\00-06\DRB-Seclect-New\Project\CashBox_1T2.uvprojx - μVision   45/3.75分钟
2020-04-20 10:30:01-- 11:00:01     :    一  ：TCR调测工具 V3.36   77/6.41分钟       二  ：D:\00-06\DRB-Seclect-New\Drivers\PeripheralDriver\RtcDriver\RtcDriver.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   61/5.08分钟     三  ：5.6 拨叉信号测试.pptx [受保护的视图] - PowerPoint   61/5.08分钟
2020-04-20 11:00:01-- 11:30:02     :    一  ：D:\00-06\DRB-Seclect-New\Project\CashBox_1T2.uvprojx - μVision   208/17.3分钟       二  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202004201121.log   46/3.83分钟     三  ：   35/2.91分钟
2020-04-20 11:30:02-- 12:00:02     :    一  ：D:\00-06\DRB-Seclect-New\Project\CashBox_1T2.uvprojx - μVision   340/28.3分钟       二  ：D:\00-06\DRB-Seclect-New\Middlewares\Sensor\Sensor.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   7/0.58分钟     三  ：   5/0.41分钟
2020-04-20 12:00:02-- 12:30:02     :    一  ：「开始」菜单   172/14.3分钟       二  ：   106/8.83分钟     三  ：D:\00-06\DRB-Seclect-New\Project\CashBox_1T2.uvprojx - μVision   82/6.83分钟
2020-04-20 12:30:02-- 13:00:02     :    一  ：   330/27.5分钟       二  ：MKE06P80M48SF0RM.pdf - Adobe Reader   12/1.0分钟     三  ：D:\00-06\DRB-Seclect-New\Drivers\PeripheralDriver\RtcDriver\RtcDriver.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   10/0.83分钟
2020-04-20 13:00:02-- 13:30:02     :    一  ：D:\00-06\DRB-Seclect-New\Middlewares\StepMotor\StepMotor.c (DRB-Seclect-New) - Sublime Text (UNREGISTERED)   91/7.58分钟       二  ：MKE06P80M48SF0RM.pdf - Adobe Reader   50/4.16分钟     三  ：   49/4.08分钟
