2020-05-29 08:10:43-- 08:15:03     :    一  ：库   12/1.0分钟       二  ：EXTFEDU6V12-压钞电机.PDF - Adobe Reader   12/1.0分钟     三  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   10/0.83分钟
2020-05-29 08:15:03-- 08:30:03     :    一  ：D:\00-06\DRB-PRESS\Applications\Instruction\InstrExecute.c (DRB-PRESS) - Sublime Text (UNREGISTERED)   38/3.16分钟       二  ：EXTFEDU6V12-压钞电机.PDF - Adobe Reader   23/1.91分钟     三  ：K64-_0000_20200528171625.log - DRB.tat* - TextAnalysisTool.NET   20/1.66分钟
2020-05-29 08:30:03-- 08:45:03     :    一  ：TCR调测工具 V3.36   34/2.83分钟       二  ：D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)   21/1.75分钟     三  ：D:\00-KE64\Press\Project\k64_rtt.uvprojx - μVision   19/1.58分钟
2020-05-29 08:45:03-- 09:00:04     :    一  ：K64-_0000_20200529084812.log - DRB.tat* - TextAnalysisTool.NET   44/3.66分钟       二  ：于斌1   39/3.25分钟     三  ：D:\00-KE64\Press\Applications\CanComm\CashBoxComm\CashBoxComm.c (Press) - Sublime Text (UNREGISTERED)   22/1.83分钟
2020-05-29 09:00:04-- 09:15:00     :    一  ：D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)   27/2.25分钟       二  ：D:\00-KE64\Press\Project\k64_rtt.uvprojx - μVision   24/2.0分钟     三  ：D:\00-KE64\Press\Applications\CanComm\CashBoxComm\CashBoxComm.c (Press) - Sublime Text (UNREGISTERED)   23/1.91分钟
2020-05-29 09:15:00-- 09:30:00     :    一  ：TCR调测工具 V3.36   61/5.08分钟       二  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   17/1.41分钟     三  ：BTCRTestTool   12/1.0分钟
2020-05-29 09:30:00-- 09:45:01     :    一  ：TCR调测工具 V3.36   55/4.58分钟       二  ：Box_2__0000_20200529092903.log - DRB.tat* - TextAnalysisTool.NET   31/2.58分钟     三  ：D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)   19/1.58分钟
2020-05-29 09:45:01-- 10:00:01     :    一  ：TCR调测工具 V3.36   96/8.0分钟       二  ：Box_2__0000_20200529094431.log - DRB.tat* - TextAnalysisTool.NET   30/2.5分钟     三  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   24/2.0分钟
2020-05-29 10:00:01-- 10:15:01     :    一  ：TCR调测工具 V3.36   43/3.58分钟       二  ：D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision   25/2.08分钟     三  ：Box_2__0000_20200529100641.log - DRB.tat* - TextAnalysisTool.NET   25/2.08分钟
2020-05-29 10:15:01-- 10:30:01     :    一  ：TCR调测工具 V3.36   131/10.9分钟       二  ：Box_2__0000_20200529102717.log - DRB.tat* - TextAnalysisTool.NET   26/2.16分钟     三  ：StepMotor.c-revBASE.svn001.tmp.c <--> StepMotor.c - Text Compare - Beyond Compare   8/0.66分钟
2020-05-29 10:30:01-- 10:45:01     :    一  ：TCR调测工具 V3.36   56/4.66分钟       二  ：托板控制   48/4.0分钟     三  ：D:\00-KE64\Press\Applications\CanComm\CashBoxComm\CashBoxComm.c (Press) - Sublime Text (UNREGISTERED)   23/1.91分钟
