2020-10-08 08:59:11-- 09:00:01     :    一  ：Dialog   5/0.41分钟       二  ：网易有道词典   4/0.33分钟     三  ：The Event Manager Dashboard   1/0.08分钟
2020-10-08 09:00:01-- 09:15:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 09:15:01-- 09:30:02     :    一  ：Dialog   69/5.75分钟       二  ：D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision   22/1.83分钟     三  ：D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision   17/1.41分钟
2020-10-08 09:30:02-- 09:45:03     :    一  ：D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision   32/2.66分钟       二  ：TCR调测工具（研发版）V1.0.0.4   25/2.08分钟     三  ：Cortex JLink/JTrace Target Driver Setup   17/1.41分钟
2020-10-08 09:45:03-- 10:00:04     :    一  ：Options for Target 'release'   106/8.83分钟       二  ：D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision   67/5.58分钟     三  ：D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision   5/0.41分钟
2020-10-08 10:00:04-- 10:15:04     :    一  ：D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision   131/10.9分钟       二  ：EXTFEDU6V12-压钞电机.PDF - Adobe Reader   27/2.25分钟     三  ：LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010081006.log   11/0.91分钟
2020-10-08 10:15:04-- 10:30:04     :    一  ：J-Link V6.10b Device Selection   87/7.25分钟       二  ：D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision   45/3.75分钟     三  ：D:\CRS\5555\Project\ke18_rtt.uvprojx - μVision   21/1.75分钟
2020-10-08 10:30:04-- 10:45:04     :    一  ：Project   133/11.0分钟       二  ：D:\00-KE64\9\Project\k64_rtt.uvprojx - μVision   19/1.58分钟     三  ：未命名 - 写邮件   12/1.0分钟
2020-10-08 10:45:04-- 11:00:04     :    一  ：D:\00-KE64\9\Project\k64_rtt.uvprojx - μVision   90/7.5分钟       二  ：跳转列表   15/1.25分钟     三  ：未命名 - 写邮件   10:45:44 已保存   12/1.0分钟
2020-10-08 11:00:04-- 11:15:04     :    一  ：钞箱EEPROM-RB.rar - WinRAR (非商业个人版)   150/12.5分钟       二  ：D:\00-KE64\9\Project\k64_rtt.uvprojx - μVision   29/2.41分钟     三  ：WinRAR   1/0.08分钟
2020-10-08 11:15:04-- 11:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 11:30:04-- 11:45:04     :    一  ：锁屏状态   83/6.91分钟       二  ：钞箱EEPROM-RB.rar - WinRAR (非商业个人版)   71/5.91分钟     三  ：D:\00-KE64\9\Project\k64_rtt.uvprojx - μVision   19/1.58分钟
2020-10-08 11:45:04-- 12:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 12:00:04-- 12:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 12:15:00-- 12:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 12:30:00-- 12:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 12:45:00-- 13:00:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 13:00:00-- 13:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 13:15:00-- 13:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 13:30:00-- 13:45:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 13:45:00-- 14:00:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 14:00:00-- 14:15:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 14:15:00-- 14:30:00     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 14:30:00-- 14:45:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 14:45:01-- 15:00:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 15:00:01-- 15:15:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 15:15:01-- 15:30:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 15:30:01-- 15:45:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 15:45:01-- 16:00:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 16:00:01-- 16:15:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 16:15:01-- 16:30:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 16:30:01-- 16:45:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 16:45:01-- 17:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 17:00:02-- 17:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 17:15:02-- 17:30:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 17:30:02-- 17:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 17:45:02-- 18:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 18:00:02-- 18:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 18:15:02-- 18:30:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 18:30:02-- 18:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 18:45:02-- 19:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 19:00:02-- 19:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 19:15:03-- 19:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 19:30:03-- 19:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 19:45:03-- 20:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 20:00:03-- 20:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 20:15:03-- 20:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 20:30:03-- 20:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 20:45:03-- 21:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 21:00:03-- 21:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 21:15:03-- 21:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 21:30:04-- 21:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 21:45:04-- 22:00:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 22:00:04-- 22:15:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 22:15:04-- 22:30:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2020-10-08 22:30:04-- 22:45:04     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
