2021-03-18 16:30:01-- 08:00:00     :    一  ：D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision   83/6.91分钟       二  ：锁屏状态   66/5.5分钟     三  ：新北洋OA信息化平台 - Internet Explorer   44/3.66分钟
2021-03-18 16:30:02-- 08:00:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 08:00:00-- 08:15:00     :    一  ：LogExpert #5 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103181640.log   117/9.75分钟       二  ：D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)   44/3.66分钟     三  ：D:\00-06\DRB\Applications\Instruction\InstrHandle.c (DRB) - Sublime Text (UNREGISTERED)   7/0.58分钟
2021-03-19 08:00:01-- 08:15:01     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 08:15:00-- 08:30:00     :    一  ：D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)   38/3.16分钟       二  ：D:\00-06\DRB\Middlewares\Sensor\Sensor.c (DRB) - Sublime Text (UNREGISTERED)   34/2.83分钟     三  ：0-工作 - 张开发 - 印象笔记   15/1.25分钟
2021-03-19 08:15:01-- 08:30:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 08:30:00-- 08:45:01     :    一  ：TCR调测工具 V3.36   83/6.91分钟       二  ：D:\00-06\DRB\Applications\State\State.c (DRB) - Sublime Text (UNREGISTERED)   75/6.25分钟     三  ：D:\00-06\DRB\Applications\State\State.c • (DRB) - Sublime Text (UNREGISTERED)   13/1.08分钟
2021-03-19 08:30:02-- 08:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 08:45:01-- 09:00:01     :    一  ：TCR调测工具 V3.36   98/8.16分钟       二  ：Box_1__BTCR-1100200400210043_20210319084059.log - DRB2.tat* - TextAnalysisTool.NET   28/2.33分钟     三  ：Box_1__BTCR-1100200400210043_20210319084215.log - DRB2.tat* - TextAnalysisTool.NET   16/1.33分钟
2021-03-19 08:45:02-- 09:00:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 09:00:01-- 09:15:01     :    一  ：TCR调测工具 V3.36   75/6.25分钟       二  ：Box_1__BTCR-1100200400210043_20210319090555.log - DRB2.tat* - TextAnalysisTool.NET   53/4.41分钟     三  ：20210319   20/1.66分钟
2021-03-19 09:00:02-- 09:15:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 09:15:01-- 09:30:01     :    一  ：TCR调测工具 V3.36   112/9.33分钟       二  ：Box_1__BTCR-1100200400210043_20210319090555.log - DRB2.tat* - TextAnalysisTool.NET   33/2.75分钟     三  ：Box_1__BTCR-1100200400210043_20210319092356.log - DRB2.tat* - TextAnalysisTool.NET   23/1.91分钟
2021-03-19 09:15:02-- 09:30:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 09:30:01-- 09:45:01     :    一  ：Box_1__BTCR-1100200400210043_20210319092356.log - DRB2.tat* - TextAnalysisTool.NET   75/6.25分钟       二  ：TCR调测工具 V3.36   68/5.66分钟     三  ：D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)   17/1.41分钟
2021-03-19 09:30:02-- 09:45:02     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 09:45:01-- 10:00:01     :    一  ：TCR调测工具 V3.36   105/8.75分钟       二  ：Tools   18/1.5分钟     三  ：D:\00-06\DRB - 工作副本 - TortoiseSVN   11/0.91分钟
2021-03-19 09:45:02-- 10:00:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 10:00:01-- 10:15:02     :    一  ：TCR调测工具 V3.36   128/10.6分钟       二  ：Tools   21/1.75分钟     三  ：D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision   13/1.08分钟
2021-03-19 10:00:03-- 10:15:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 10:15:02-- 10:30:02     :    一  ：TCR调测工具 V3.36   125/10.4分钟       二  ：D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision   31/2.58分钟     三  ：印象笔记   20/1.66分钟
2021-03-19 10:15:03-- 10:30:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 10:30:02-- 10:45:02     :    一  ：TCR调测工具 V3.36   150/12.5分钟       二  ：D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision   23/1.91分钟     三  ：BTCRTestTool   5/0.41分钟
2021-03-19 10:30:03-- 10:45:03     :    一  ：   0/0.0分钟       二  ：   0/0.0分钟     三  ：   0/0.0分钟
2021-03-19 10:45:02-- 11:00:01     :    一  ：TCR调测工具 V3.36   105/8.75分钟       二  ：20210319   34/2.83分钟     三  ：自动播放   21/1.75分钟
