08:08:49:  新建文本文档.exe - 快捷方式
08:08:54:  iTunes
08:08:59:  PostWork.py - 快捷方式
08:09:04:  iTunes
08:09:09:  库
08:09:14:  文档
08:09:19:  PostWork.py - 快捷方式
08:09:24:  
08:09:29:  LogExpert
08:09:34:  
08:09:39:  文档
08:09:44:  TheActtionRec
08:09:49:  2020-03-04.txt - 记事本
08:09:54:  W
08:09:59:  2020-03-03.txt - 记事本
08:12:12:  eSpace Login
08:12:17:  
08:12:22:  eSpace
08:12:42:  
08:12:47:  收取邮件 - 张开发
08:12:52:  
08:13:02:  远程邮箱管理
08:13:48:  
08:14:53:  Bin
08:14:58:  「开始」菜单
08:15:13:  Visio Professional
08:15:18:  Microsoft Office 激活向导
08:15:23:  
08:15:38:  Bin
08:15:43:  Subversion
08:15:48:  letgo
08:15:53:  C:\Windows\py.exe
08:16:03:  新标签页 - Google Chrome
08:16:08:  (34 封私信 / 79 条消息) 首页 - 知乎 - Google Chrome
08:16:54:  TCR 一体两箱 原理图 评审
08:18:14:  EXTFEDU6V11.pdf
08:18:19:  EXTFEDU6V11.pdf - Adobe Reader
08:18:29:  TCR 一体两箱 原理图 评审
08:18:34:  EXTFEDU6V11.pdf - Adobe Reader
08:18:39:  Update Available
08:18:44:  untitled (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:18:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\PlateCtrl\LowerPlateCtrl.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:18:59:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:19:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:19:24:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:04:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:09:  Package Control Messages (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:14:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:29:  
08:20:34:  EXTFEDU6V11.pdf - Adobe Reader
08:20:39:  EXTFEDU6V11.pdf
08:20:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.h • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:20:59:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:21:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:21:14:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:21:24:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:21:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Separate\Separate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:22:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:22:24:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Separate\Separate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:22:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:04:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:39:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Separate\Separate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:23:59:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:24:04:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:24:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:24:34:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
