09:04:24:  Bin
09:04:29:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
09:06:19:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
09:06:24:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
09:09:39:  6.2.2.6 钞箱测试1T2.xls  [兼容模式] - Excel
09:10:04:  Tools
09:10:19:  Adobe Photoshop CS3
09:10:24:  DRBrizhi
09:10:29:  K64_BTCR-1100190803000009_20200323191346
09:10:34:  DRBrizhi
09:10:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
09:12:10:  本地磁盘 (D:)
09:12:15:  01-软件
09:12:20:  小程序
09:12:30:  weibo
09:12:35:  C:\Windows\py.exe
09:12:50:  weibo
09:13:00:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
09:13:21:  weibo
09:13:31:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
09:13:36:  weibo
10:29:23:  新标签页 - Google Chrome
10:29:28:  请停用以开发者模式运行的扩展程序
10:29:33:  https://m.weibo.cn - Google Chrome
10:29:38:  微博 - Google Chrome
10:29:43:  王者荣耀 - Google Chrome
10:29:48:  微博 - Google Chrome
10:29:58:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
10:29:23:  新标签页 - Google Chrome
10:29:28:  请停用以开发者模式运行的扩展程序
10:29:33:  https://m.weibo.cn - Google Chrome
10:29:38:  微博 - Google Chrome
10:29:43:  王者荣耀 - Google Chrome
10:29:48:  微博 - Google Chrome
10:29:58:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
10:30:18:  微博 - Google Chrome
10:30:43:  Save Before Run or Check
10:30:48:  *Python 3.7.3 Shell*
10:30:53:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
10:31:03:  微博 - Google Chrome
10:31:13:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
10:31:23:  微博 - Google Chrome
10:31:43:  安装应用？
10:31:48:  https://m.weibo.cn/api/container/getIndex?uid=5698023579&t=7&luicode=10000011&containerid=1076031713926427&since_id= - Google Chrome
10:31:58:  微博 - Google Chrome
10:32:28:  *Python 3.7.3 Shell*
10:32:33:  微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)
10:32:38:  微博 - Google Chrome
10:33:08:  *微博话题爬取.py - F:\小程序\weibo\weibo\weibo\微博话题爬取.py (3.7.3)*
10:33:13:  V1.003
10:33:23:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
10:33:33:  This is an unregistered copy
10:33:38:  μVision
10:33:43:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:34:23:  eSpace Login
10:34:28:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:34:33:  锁屏状态
10:34:38:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:38:39:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:39:29:  V1.003
10:39:34:  D:\00-06\8\branches\BR-1-CashBox1T2\Project\CashBox_1T2.uvprojx - μVision
10:39:44:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:40:49:  BTCRTestTool
10:40:54:  TCR调测工具 V3.36
10:41:24:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:42:04:  Toolbox
10:42:09:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:42:14:  TCR调测工具 V3.36
10:42:24:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:43:24:  TCR调测工具 V3.36
10:45:34:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:45:39:  TCR调测工具 V3.36
10:45:59:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:46:14:  TCR调测工具 V3.36
10:46:34:  BTCRTestTool
10:46:39:  TCR调测工具 V3.36
10:50:49:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:50:54:  TCR调测工具 V3.36
10:50:59:  模块使能
10:51:09:  锁屏状态
10:51:14:  BTCR-1100-存款取消流程出现掉皮带的问题-20200305.doc [只读] [兼容模式] - Word
10:51:19:  BTCR-1100-存款取消流程出现掉皮带的问题-20200305.doc
10:51:29:  模块使能
10:51:34:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:51:39:  TCR调测工具 V3.36
10:52:14:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:52:39:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:53:24:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:54:14:  TCR调测工具 V3.36
10:55:09:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
10:55:49:  6.2.2.6 钞箱测试1T2.xls  [兼容模式] - Excel
10:56:19:  D:\00-KE64\7\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:56:29:  本地磁盘 (D:)
10:56:34:  42 CRS现金循环模块
10:56:44:  主控板集成测试方案-报告
10:56:49:  6.2.2.5 钞箱测试1T1.xls  [受保护的视图] - Excel
10:57:09:  BTCRTestTool V3.36
10:57:14:  20200330
10:57:24:  K64_0000_20200330105506.log - K64状态机分析.tat - TextAnalysisTool.NET
10:57:54:  锁屏状态
10:57:59:  TCR调测工具 V3.36
10:58:19:  Decode
10:58:24:  20200330
10:58:29:  K64_0000_20200330105506.log - K64状态机分析.tat - TextAnalysisTool.NET
10:58:34:  K64_0000_20200330105807.log - K64状态机分析.tat - TextAnalysisTool.NET
10:58:59:  计算器
10:59:14:  D:\00-KE64\7\trunk\Project\k64_rtt.uvprojx - μVision
