08:02:31:  Add Filter
08:02:36:  K64_BTCR-1100190803000007_20200521092529.log - DRB.tat* - TextAnalysisTool.NET
08:04:31:  Edit Filter
08:04:36:  K64_BTCR-1100190803000007_20200521092529.log - DRB.tat* - TextAnalysisTool.NET
08:06:26:  于斌1
08:06:31:  计算器
08:06:36:  TrackCtrl.c-rev3899.svn000.tmp.c <--> TrackCtrl.c-rev3900.svn000.tmp.c - Text Compare - Beyond Compare
08:06:41:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
08:09:41:  锁屏状态
08:09:46:  新标签页 - Google Chrome
08:12:46:  新建Microsoft Excel 工作表.xlsx - Excel
08:16:21:  eSpace
08:16:26:  新建Microsoft Excel 工作表.xlsx - Excel
08:16:31:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
08:16:36:  新建Microsoft Excel 工作表.xlsx - Excel
08:17:06:  新标签页 - Google Chrome
08:17:16:  Windows 任务管理器
08:17:26:  文档
08:17:31:  2020-06-06.txt - 记事本
08:17:56:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
08:20:12:  锁屏状态
08:59:26:  锁屏状态
08:59:26:  锁屏状态
14:01:08:  锁屏状态
14:55:12:  桌面整理
14:55:22:  TheActtionRec
14:55:37:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
14:59:37:  2020-06-06.txt - 记事本
14:59:47:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
14:59:52:  untitled (Press) - Sublime Text (UNREGISTERED)
14:59:37:  2020-06-06.txt - 记事本
14:59:47:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
14:59:52:  untitled (Press) - Sublime Text (UNREGISTERED)
15:00:32:  Everything
15:00:37:  GTD - Everything
15:00:52:  dist
15:01:07:  20200514
15:01:12:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
15:02:12:  TheActtionRec
15:02:22:  2020-06-06.txt - 记事本
15:02:32:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
15:02:42:  R
15:02:47:  2020-06-06.txt - 记事本
15:02:57:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
15:03:02:  TheActtionRec
15:03:07:  Log
15:03:12:  2020-06-05.txt - 记事本
15:03:17:  2020-06-06.txt - 记事本
15:03:22:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
15:03:27:  2020-06-06.txt - 记事本
15:03:37:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
15:07:27:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
15:08:17:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\TrackCtrl.c (trunk) - Sublime Text (UNREGISTERED)
15:12:22:  BTCRTestTool V3.36
15:12:27:  20200604
15:12:37:  本地磁盘 (D:)
15:12:42:  透明壳-50
15:12:52:  压钞托板测试
15:12:57:  log
15:13:07:  TCRControlCmdDLL
15:13:12:  20200605
15:13:27:  20200604
15:13:47:  20200603
15:13:57:  TCRControlCmdDLL
15:14:02:  20200604
15:14:37:  新建Microsoft Excel 工作表.xlsx - Excel
15:14:47:  20200604
15:14:52:  20200605
15:14:37:  新建Microsoft Excel 工作表.xlsx - Excel
15:14:47:  20200604
15:14:52:  20200605
15:15:22:  新建Microsoft Excel 工作表.xlsx - Excel
15:15:27:  20200605
15:16:42:  20200604
15:16:47:  20200603
15:17:12:  新建Microsoft Excel 工作表.xlsx - Excel
15:17:17:  20200603
15:17:47:  fenxi
15:17:52:  压钞托板测试
15:17:57:  透明壳-1
15:18:02:  20200603
15:18:07:  20200604
15:18:47:  本地磁盘 (D:)
15:18:52:  正在复制 30 个项目(130 MB)
15:18:57:  透明壳-1
15:19:17:  新建Microsoft Excel 工作表.xlsx - Excel
15:19:22:  透明壳-1
15:19:47:  20200604
15:19:52:  20200603
15:20:17:  新建Microsoft Excel 工作表.xlsx - Excel
15:20:47:  于斌1
15:20:52:  历史记录管理器
15:21:07:  于斌1
15:22:27:  TCRControlCmdDLL
15:22:32:  20200604
15:22:37:  透明壳-50
15:22:47:  本地磁盘 (D:)
15:22:52:  20200604
15:23:07:  压钞托板测试
15:23:12:  透明壳-1
15:23:22:  20200604
15:23:27:  20200605
15:25:02:  新建Microsoft Excel 工作表.xlsx - Excel
15:25:07:  20200605
15:25:12:  压钞托板测试
15:25:17:  透明壳-1
15:25:27:  CashboxDatePur-V1.1 - Everything
15:25:32:  开始
15:25:37:  透明壳-1
15:25:42:  压钞托板测试
15:25:52:  本地磁盘 (D:)
15:25:57:  20200605
15:26:42:  本地磁盘 (D:)
15:26:47:  正在复制 50 个项目(217 MB)
15:26:52:  新建Microsoft Excel 工作表.xlsx - Excel
15:26:57:  透明壳-10
15:27:12:  压钞托板测试
15:27:17:  透明壳-10
15:27:22:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
15:27:27:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:29:22:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:29:37:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:29:22:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:29:37:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:32:02:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:32:42:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:33:42:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:34:42:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:34:52:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:35:47:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:38:37:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:38:57:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:39:22:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:39:27:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:39:37:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
15:40:07:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
15:40:12:  CashboxDatePur-V1. - Everything
15:40:17:  Decode
15:40:22:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
15:40:52:  D:\00-KE64\Press\Project\k64_rtt.uvprojx - μVision
15:40:57:  00-06
15:41:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:41:32:  Decode
15:41:37:  CashboxDatePur-V1. - Everything
15:41:42:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
15:41:47:  Decode
15:41:52:  LOG
15:41:57:  Decode
15:42:02:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:42:27:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
15:42:32:  锁屏状态
15:42:37:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:43:02:  于斌1
15:43:17:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:43:37:  锁屏状态
15:43:47:  LogExpert
15:43:57:  KE06LOG.bat - 快捷方式 (2)
15:44:02:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:45:47:  计算器
15:45:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:51:12:  于斌1
15:51:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
15:51:37:  JL2CM3
15:51:42:  μVision
16:01:28:  V1.003
16:01:38:  Decode
16:01:43:  LOG
