08:01:59:  「开始」菜单
08:02:04:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
08:02:14:  Program Manager
08:05:24:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
08:09:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:11:44:  计算器
08:11:59:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:12:04:  选择文件夹
08:12:09:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:12:14:  untitled (1T1-82) - Sublime Text (UNREGISTERED)
08:12:24:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:12:54:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:12:59:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:13:09:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:13:14:  LOG
08:13:19:  钞箱集成测试方案-报告
08:13:29:  5.18 传感器测试v1.1 .xlsx  [受保护的视图] - Excel
08:13:44:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:13:54:  5.18 传感器测试v1.1 .xlsx  [受保护的视图] - Excel
08:14:04:  D:\00-06\1T1-82\Applications\PlateCtrl\PlateCtrl.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:09:  D:\00-06\1T1-82\Middlewares\Plate\Plate.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:19:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:24:  计算器
08:14:29:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:34:  5.18 传感器测试v1.1 .xlsx  [受保护的视图] - Excel
08:14:44:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:49:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:54:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:09:  D:\00-06\1T1-82\Middlewares\Plate\Plate.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:19:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:24:  计算器
08:14:29:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:34:  5.18 传感器测试v1.1 .xlsx  [受保护的视图] - Excel
08:14:44:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:14:49:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:14:54:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:18:04:  本地磁盘 (D:)
08:18:19:  Everything
08:18:24:  钞箱资料
08:18:29:  TCR原理图
08:18:34:  04 钞箱控制板 EXTFEDUV2.1.PDF - Adobe Reader
08:19:24:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:21:49:  Toolbox
08:21:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:22:29:  计算器
08:22:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:22:44:  计算器
08:23:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:24:39:  计算器
08:24:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:28:39:  00-06
08:28:49:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:29:04:  JLink - Cortex-M Error
08:29:14:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:29:24:  eSpace
08:29:29:  刘茂林
08:29:49:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:28:39:  00-06
08:28:49:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:29:04:  JLink - Cortex-M Error
08:29:14:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:29:24:  eSpace
08:29:29:  刘茂林
08:29:49:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:30:19:  Options for Target 'CashBox_Debug'
08:30:24:  Cortex JLink/JTrace Target Driver Setup
08:30:29:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:30:59:  Watch 1
08:31:04:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:33:04:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:33:09:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:33:19:  计算器
08:33:29:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:33:34:  D:\00-06\1T1-82\Drivers\SensorDriver\SensorDriver.h (1T1-82) - Sublime Text (UNREGISTERED)
08:33:44:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:33:54:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:34:44:  5.18 传感器测试v1.1 .xlsx  [受保护的视图] - Excel
08:34:54:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
08:35:04:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:35:14:  D:\00-06\1T1-82\Middlewares\Sensor\Sensor.c (1T1-82) - Sublime Text (UNREGISTERED)
08:35:19:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:35:24:  Project
08:37:09:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:37:14:  锁屏状态
08:37:19:  D:\00-06\1T1-82\Middlewares\Track\Track.c (1T1-82) - Sublime Text (UNREGISTERED)
08:37:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:38:39:  μVision
08:38:44:  D:\00-06\1T1-82\Project\CashBox.uvprojx - μVision
