08:16:15:  Windows 任务管理器
08:16:25:  untitled (CRS) - Sublime Text (UNREGISTERED)
08:16:30:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:16:40:  C:\Users\zhangkaifa\Desktop\BNE-R1200M_出入钞口方案20200511.exb - CAXA电子图板2005(企业版)
08:16:55:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:17:00:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:17:10:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:17:25:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:17:45:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:17:50:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:17:55:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:18:00:  D:\00-18\CRS\Drivers\SensorDriver\SensorSample.h (CRS) - Sublime Text (UNREGISTERED)
08:18:15:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:19:35:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:19:40:  
08:19:45:  网易有道词典
08:20:05:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:20:10:  网易有道词典
08:20:20:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:20:25:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:21:50:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:22:00:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:24:45:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:26:00:  TCR调测工具 V3.36
08:26:10:  钞箱配置
08:26:20:  TCR调测工具 V3.36
08:27:25:  
08:29:00:  TCR调测工具 V3.36
08:29:10:  本地磁盘 (D:)
08:29:15:  BTCRTestTool V3.36
08:29:20:  BTCRTestTool V3.36 (未响应)
08:29:25:  BTCRTestTool V3.36
08:29:30:  log
08:29:35:  20200618
08:29:45:  K64_0000_20200618082905.log - DRB.tat* - TextAnalysisTool.NET
08:29:50:  LOG
08:29:55:  TCR调测工具 V3.36
08:29:00:  TCR调测工具 V3.36
08:29:10:  本地磁盘 (D:)
08:29:15:  BTCRTestTool V3.36
08:29:20:  BTCRTestTool V3.36 (未响应)
08:29:25:  BTCRTestTool V3.36
08:29:30:  log
08:29:35:  20200618
08:29:45:  K64_0000_20200618082905.log - DRB.tat* - TextAnalysisTool.NET
08:29:50:  LOG
08:29:55:  TCR调测工具 V3.36
08:30:05:  取款
08:30:10:  TCR调测工具 V3.36
08:30:15:  
08:30:20:  20200618
08:30:30:  K64_0000_20200618083007
08:30:35:  Box_1__0000_20200618083007.log - DRB.tat* - TextAnalysisTool.NET
08:30:50:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:31:10:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:31:25:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:31:35:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:31:40:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:31:45:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:31:55:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:32:05:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:32:10:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:32:15:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:32:30:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:32:55:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:33:00:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:33:05:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:33:25:  
08:33:30:  MindMaster
08:33:35:  MindMaster Pro
08:34:50:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:35:30:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:35:35:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:35:40:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:35:50:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:36:00:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:36:05:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:36:10:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:36:25:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:37:45:  Box_1__0000_20200618083007.log - DRB.tat* - TextAnalysisTool.NET
08:38:55:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:39:10:  D:\00-18\CRS\Applications\PlateCtrl\PlateCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:39:15:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:39:20:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:39:25:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c • (CRS) - Sublime Text (UNREGISTERED)
08:39:30:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.c (CRS) - Sublime Text (UNREGISTERED)
08:44:25:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h (CRS) - Sublime Text (UNREGISTERED)
08:45:15:  untitled (00-18) - Sublime Text (UNREGISTERED)
08:45:20:  D:\00-18\Applications\ImpellerCtrl\ImpellerCtrl.c (00-18) - Sublime Text (UNREGISTERED)
08:45:25:  D:\00-18\Applications\SeparatorCtrl\SeparatorCtrl.c (00-18) - Sublime Text (UNREGISTERED)
08:45:30:  
08:45:35:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h (CRS) - Sublime Text (UNREGISTERED)
08:45:40:  
08:45:45:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:47:10:  
08:47:15:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h (CRS) - Sublime Text (UNREGISTERED)
08:47:20:  网易有道词典
08:47:40:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h • (CRS) - Sublime Text (UNREGISTERED)
08:48:10:  网易有道词典
08:50:15:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h • (CRS) - Sublime Text (UNREGISTERED)
08:50:45:  eSpace
08:50:50:  于斌1
08:51:05:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h • (CRS) - Sublime Text (UNREGISTERED)
08:51:10:  00-18
08:51:15:  
08:51:20:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h • (CRS) - Sublime Text (UNREGISTERED)
08:51:25:  选择文件夹
08:51:30:  D:\00-18\CRS\Applications\ImpellerCtrl\ImpellerCtrl.h • (CRS) - Sublime Text (UNREGISTERED)
08:51:45:  
