11:09:30:  GTD - Everything
11:09:35:  dist
11:09:40:  dist (未响应)
11:10:00:  dist
11:10:10:  运行
11:10:15:  Startup
11:10:20:  ImpellerCtrl.c - CRS - Visual Studio Code [管理员]
11:10:25:  新建文件夹 (3)
11:10:30:  【#微软删除最大人脸识别数据库# 包含超1000万张人脸照片】6月6日，英国《金融时报》报道，微软悄然删除MS Celeb人脸识别数据库，微软称该数据库是全球最大的公开人脸识别数据库。该数据库于2016年公开，含有约10万人的1000万张照片，这些照片未获得本人许可。4月媒体曝光其商业用途后，微软将其删除。世面的秒拍视频 @新京报我们视频.txt - 记事本
11:11:20:  新建文件夹 (3)
11:11:35:  F:\小程序\weibopinglun\新建文件夹 (3)\ghostdriver.log (trunk) - Sublime Text (UNREGISTERED)
11:11:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\HistoryRecord\HistoryRecord.c • (trunk) - Sublime Text (UNREGISTERED)
11:11:50:  D:\00-06\DRB-PRESS\Applications\HistoryRecord\HistoryRecord.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:11:55:  本地磁盘 (F:)
11:12:05:  20200514
11:12:10:  ImpellerCtrl.c - CRS - Visual Studio Code [管理员]
11:12:15:  锁屏状态
11:12:20:  ImpellerCtrl.c - CRS - Visual Studio Code [管理员]
11:12:30:  键盘快捷方式 - CRS - Visual Studio Code [管理员]
11:12:55:  ImpellerCtrl.c - CRS - Visual Studio Code [管理员]
11:13:05:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
11:13:10:  .tags_sorted_by_file - CRS - Visual Studio Code [管理员]
11:13:15:  键盘快捷方式 - CRS - Visual Studio Code [管理员]
11:14:00:  ImpellerCtrl.c - CRS - Visual Studio Code [管理员]
11:14:15:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
11:14:35:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:14:15:  ImpellerCtrl.h - CRS - Visual Studio Code [管理员]
11:14:35:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:16:00:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:16:05:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:18:55:  本地磁盘 (D:)
11:19:00:  小程序
11:19:05:  爬取结果
11:19:10:  Subversion
11:19:30:  54166.txt - 记事本
11:19:35:  260878.txt - 记事本
11:19:40:  Subversion
11:19:55:  爬取结果
11:20:00:  zuiduo.py - F:\小程序\知乎爬取\letgo\爬取结果\zuiduo.py (3.7.3)
11:20:10:  *zuiduo.py - F:\小程序\知乎爬取\letgo\爬取结果\zuiduo.py (3.7.3)*
11:20:15:  zuiduo.py - F:\小程序\知乎爬取\letgo\爬取结果\zuiduo.py (3.7.3)
11:20:20:  *Python 3.7.3 Shell*
11:20:40:  zuiduo.py - F:\小程序\知乎爬取\letgo\爬取结果\zuiduo.py (3.7.3)
11:20:45:  *Python 3.7.3 Shell*
11:20:50:  zuiduo.py - F:\小程序\知乎爬取\letgo\爬取结果\zuiduo.py (3.7.3)
11:20:55:  有哪些书看完后会让人很后悔没有早看到？.txt - 记事本
11:21:15:  Figure 1
11:22:40:  爬取结果
11:22:50:  斗破苍穹.txt - CRS - Visual Studio Code [管理员]
11:23:20:  Figure 1
11:23:35:  另存为
11:23:45:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:23:50:  图片
11:23:55:  截图.PNG - Windows 照片查看器
11:24:30:  图片
11:24:45:  新建文本文档.py - C:\Users\zhangkaifa\Pictures\新建文本文档.py (3.7.3)
11:24:50:  图片
11:24:55:  新建文本文档.pyw - C:\Users\zhangkaifa\Pictures\新建文本文档.pyw (3.7.3)
11:25:00:  D:\00-06\DRB-PRESS\Applications\HistoryRecord\HistoryRecord.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
11:25:05:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:29:05:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:29:15:  SeparatorCtrl.h - CRS - Visual Studio Code [管理员]
11:29:20:  ● SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
11:29:55:  SeparatorCtrl.c - CRS - Visual Studio Code [管理员]
