08:03:50:  BTCRTestTool V3.36
08:04:00:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
08:07:20:  设置 - DRB-PRESS - Visual Studio Code [管理员]
08:12:45:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
08:13:00:  自动播放
08:13:05:  新建文本文档.exe - 快捷方式
08:13:55:  于斌1
08:14:25:  新北洋OA信息化平台 - Internet Explorer
08:14:35:  于斌1
08:14:25:  新北洋OA信息化平台 - Internet Explorer
08:14:35:  于斌1
08:15:05:  “HR自助平台”一期功能介绍.pdf
08:15:15:  新北洋OA信息化平台 - Internet Explorer
08:15:30:  系统登录 - Internet Explorer
08:15:35:  新北洋OA信息化平台 - Internet Explorer
08:15:40:  员工自助 - Internet Explorer
08:15:45:  “HR自助平台”一期功能介绍.pdf
08:15:55:  我的信息 - Internet Explorer
08:16:20:  我的薪酬 - Internet Explorer
08:16:40:  内部推荐 - Internet Explorer
08:17:00:  考勤异常 - Internet Explorer
08:17:45:  于斌1
08:18:00:  “HR自助平台”一期功能介绍.pdf
08:18:10:  于斌1
08:18:20:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:19:00:  考勤异常 - Internet Explorer
08:19:10:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:19:15:  考勤异常 - Internet Explorer
08:19:20:  我的假期 - Internet Explorer
08:19:40:  请假查询 - Internet Explorer
08:19:50:  考勤异常 - Internet Explorer
08:20:05:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:20:10:  eSpace
08:20:25:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:20:50:  Subversion
08:20:55:  文档
08:21:00:  W
08:21:05:  2020-06-18.txt - 记事本
08:21:15:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:21:25:  考勤异常 - Internet Explorer
08:21:30:  Employee-facing registry content - Internet Explorer
08:21:40:  门户网站搜索结果 - Internet Explorer
08:21:50:  Employee-facing registry content - Internet Explorer
08:22:00:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:22:15:  考勤异常 - Internet Explorer
08:23:45:  于斌1
08:24:05:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:24:10:  锁屏状态
08:24:20:  考勤异常 - Internet Explorer
08:24:25:  锁屏状态
08:24:30:  于斌1
08:24:35:  新北洋OA信息化平台 - Internet Explorer
08:24:45:  Employee-facing registry content - Internet Explorer
08:24:50:  员工自助 - Internet Explorer
08:25:00:  Employee-facing registry content - Internet Explorer
08:25:05:  于斌1
08:25:10:  考勤异常 - Internet Explorer
08:26:00:  我的信息 - Internet Explorer
08:26:10:  考勤异常 - Internet Explorer
08:26:45:  W
08:26:50:  2020-07-03.txt - 记事本
08:27:10:  于斌1
08:27:15:  W
08:27:20:  考勤异常 - Internet Explorer
08:27:25:  于斌1
08:29:00:  考勤异常 - Internet Explorer
08:29:25:  Employee-facing registry content - Internet Explorer
08:29:30:  考勤异常 - Internet Explorer
08:29:00:  考勤异常 - Internet Explorer
08:29:25:  Employee-facing registry content - Internet Explorer
08:29:30:  考勤异常 - Internet Explorer
08:30:10:  于斌1
08:31:15:  锁屏状态
08:31:20:  新标签页 - Google Chrome
08:31:30:  班车管理系统 - Google Chrome
08:31:35:  192.168.28.228:7102/yy_erro/yy_no_url.asp - Google Chrome
08:31:40:  实时考勤管理系统 - Google Chrome
08:32:05:  于斌1
08:32:25:  实时考勤管理系统 [新北洋集团] - Google Chrome
08:32:40:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
08:32:45:  主页 - Internet Explorer
08:32:50:  系统登录 - Internet Explorer
08:32:55:  员工自助 - Internet Explorer
08:33:00:  Employee-facing registry content - Internet Explorer
08:33:10:  考勤异常 - Internet Explorer
08:33:50:  eSpace
08:33:55:  吉哲
08:34:15:  考勤异常 - Internet Explorer
08:34:20:  个人信息修改 - Internet Explorer
08:34:30:  内部推荐 - Internet Explorer
08:34:35:  证明申请 - Internet Explorer
08:34:45:  Employee-facing registry content - Internet Explorer
08:34:55:  员工自助 - Internet Explorer
08:35:00:  Employee-facing registry content - Internet Explorer
08:35:05:  吉哲
08:35:30:  锁屏状态
08:35:35:  Oracle | PeopleSoft Enterprise 登录 - Google Chrome
08:36:00:  Internet 选项
08:36:05:  锁屏状态
08:36:10:  Internet 选项
08:36:35:  吉哲
08:36:50:  Internet 选项
08:36:55:  自动完成设置
08:37:00:  Employee-facing registry content - Internet Explorer
08:37:05:  兼容性视图设置
08:37:20:  Employee-facing registry content - Internet Explorer
08:37:25:  锁屏状态
08:37:30:  系统登录 - Internet Explorer
08:37:35:  http://oa.byintra.com/HRWeb/PStiaozhuan/PStiaozhuan.aspx?type=3&YGID=107240 - Internet Explorer
08:37:40:  补签卡流程 - Internet Explorer
08:37:50:  员工考勤异常信息 -- 网页对话框
08:38:00:  吉哲
08:38:05:  员工考勤异常信息 -- 网页对话框
08:38:25:  补签卡流程 - Internet Explorer
08:38:30:  员工自助 - Internet Explorer
08:38:35:  Internet Explorer
08:38:40:  考勤异常 - Internet Explorer
08:38:50:  员工考勤异常信息 -- 网页对话框
08:39:00:  补签卡流程 - Internet Explorer
08:39:15:  员工自助 - Internet Explorer
08:39:20:  考勤异常 - Internet Explorer
08:39:25:  Oracle | PeopleSoft Enterprise 登录 - Google Chrome
08:39:30:  考勤异常 - Internet Explorer
08:39:35:  于斌1
08:39:50:  考勤异常 - Internet Explorer
08:40:00:  补签卡流程 - Internet Explorer
08:40:45:  吉哲
08:41:05:  于斌1
08:42:05:  吉哲
08:42:10:  员工自助 - Internet Explorer
08:42:15:  考勤异常 - Internet Explorer
08:42:20:  eSpace
08:42:35:  吉哲
08:42:55:  补签卡流程 - Internet Explorer
08:43:00:  新北洋OA信息化平台 - Internet Explorer
08:43:05:  补签卡流程 - Internet Explorer
08:43:10:  员工考勤异常信息 -- 网页对话框
08:43:15:  吉哲
08:43:45:  eSpace
08:43:50:  吉哲
08:44:45:  补签卡流程 - Internet Explorer
08:44:55:  eSpace
08:45:00:  吉哲
08:44:45:  补签卡流程 - Internet Explorer
08:44:55:  eSpace
08:45:00:  吉哲
08:45:15:  于斌1
08:45:30:  eSpace
08:45:35:  补签卡流程 - Internet Explorer
08:45:45:  吉哲
08:45:55:  补签卡流程 - Internet Explorer
08:46:00:  员工考勤异常信息 -- 网页对话框
08:46:05:  吉哲
08:46:15:  员工考勤异常信息 -- 网页对话框
08:46:20:  吉哲
08:46:40:  eSpace
08:46:50:  补签卡流程 - Internet Explorer
08:46:55:  员工考勤异常信息 -- 网页对话框
08:47:50:  吉哲
08:47:55:  补签卡流程 - Internet Explorer
08:48:00:  于斌1
08:48:05:  新北洋OA信息化平台 - Internet Explorer
08:48:10:  员工自助 - Internet Explorer
08:48:15:  考勤异常 - Internet Explorer
08:48:30:  于斌1
08:48:45:  锁屏状态
08:48:50:  主页 - Internet Explorer
08:49:00:  系统登录 - Internet Explorer
08:49:05:  于斌1
08:49:10:  员工自助 - Internet Explorer
08:49:15:  补签卡流程 - Internet Explorer
08:49:20:  员工考勤异常信息 -- 网页对话框
08:49:25:  于斌1
08:50:10:  吉哲
08:50:30:  员工考勤异常信息 -- 网页对话框
08:50:55:  锁屏状态
08:51:05:  员工考勤异常信息 -- 网页对话框
08:51:10:  新北洋OA信息化平台 - Internet Explorer
08:51:15:  员工自助 - Internet Explorer
08:51:35:  吉哲
08:51:40:  员工自助 - Internet Explorer
08:51:45:  补签卡流程 - Internet Explorer
08:52:30:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:54:10:  新北洋OA信息化平台 - Internet Explorer
08:54:15:  员工自助 - Internet Explorer
08:54:20:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
08:55:15:  新北洋OA信息化平台 - Internet Explorer
08:55:20:  系统登录 - Internet Explorer
08:55:45:  于斌1
08:55:50:  新北洋OA信息化平台 - Internet Explorer
08:55:55:  员工自助 - Internet Explorer
08:56:00:  考勤异常 - Internet Explorer
08:56:15:  于斌1
08:59:30:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
08:59:30:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:00:55:  考勤异常 - Internet Explorer
09:01:05:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
09:01:30:  系统登录 - Internet Explorer
09:01:35:  员工自助 - Internet Explorer
09:01:45:  考勤异常 - Internet Explorer
09:03:35:  员工自助 - Internet Explorer
09:03:40:  考勤异常 - Internet Explorer
09:03:50:  另存为
09:03:55:  考勤异常 - Internet Explorer
09:04:00:  员工考勤异常信息 -- 网页对话框
09:04:05:  于斌1
09:04:20:  员工考勤异常信息 -- 网页对话框
09:04:40:  于斌1
09:05:05:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:05:30:  于斌1
09:06:15:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:09:25:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:45:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:55:  Selector.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:00:  StepMotor.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:30:  Selector.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:35:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
09:10:55:  于斌1
09:11:15:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
09:12:55:  .tags_sorted_by_file - DRB-PRESS - Visual Studio Code [管理员]
09:13:00:  Power.c - DRB-PRESS - Visual Studio Code [管理员]
09:13:10:  StepMotor.c - DRB-PRESS - Visual Studio Code [管理员]
09:13:50:  StepMotorDriver.c - DRB-PRESS - Visual Studio Code [管理员]
09:14:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:15:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:14:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:15:00:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:15:20:  员工考勤异常信息 -- 网页对话框
09:15:25:  Internet Explorer
09:15:35:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:15:50:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:16:00:  eSpace
09:16:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:17:15:  新建文本文档.exe - 快捷方式
09:17:45:  附件1：2020年技术中心查体名单.xlsx
09:18:10:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:27:15:  TCR调测工具 V3.36
09:27:30:  BTCRTestTool
09:27:35:  TCR调测工具 V3.36
09:27:50:  发送指令到K06
09:28:00:  TCR调测工具 V3.36
09:28:05:  发送指令到K06
09:28:10:  TCR调测工具 V3.36
09:28:15:  ● State.c - DRB-PRESS - Visual Studio Code [管理员]
09:28:20:  计算器
09:28:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:28:05:  发送指令到K06
09:28:10:  TCR调测工具 V3.36
09:28:15:  ● State.c - DRB-PRESS - Visual Studio Code [管理员]
09:28:20:  计算器
09:28:55:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:31:05:  系统登录 - Internet Explorer
09:31:10:  新北洋OA信息化平台 - Internet Explorer
09:31:15:  员工自助 - Internet Explorer
09:31:25:  请假查询 - Internet Explorer
09:31:45:  “HR自助平台”一期功能介绍.pdf
09:32:00:  http://oa.byintra.com/HRWeb/PStiaozhuan/PStiaozhuan.aspx?type=2&YGID=107240 - Internet Explorer
09:32:05:  职工慰问金申请 - Internet Explorer
09:32:10:  “HR自助平台”一期功能介绍.pdf
09:32:15:  请假查询 - Internet Explorer
09:32:20:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:32:30:  员工自助 - Internet Explorer
09:32:35:  员工请假申请 - Internet Explorer
09:33:00:  附件-关于“HR自助平台”上线后考勤管理的相关说明.pdf
09:33:10:  Internet Explorer
09:33:20:  Box_1__0000_20200703163131.log - DRB.tat* - TextAnalysisTool.NET
09:33:25:  请假查询 - Internet Explorer
09:34:05:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:35:10:  桌面整理
09:35:15:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:35:20:  固件集成测试方案
09:35:25:  正在打开 - PowerPoint
09:35:30:  5.12 直流电机测试.pptx [受保护的视图] - PowerPoint
09:36:00:  State.c - DRB-PRESS - Visual Studio Code [管理员]
09:36:05:  MotorCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:36:10:  MotorCtrl.h - DRB-PRESS - Visual Studio Code [管理员]
09:36:15:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:36:50:  Microsoft Visual Studio Team System 2008 Team Suite - CHS
