08:04:44:  回复: 回复: FQC检查日报-(汇总）7月7日 (3).xlsx
08:05:49:  TCR小组
08:12:04:  State.c - DRB-PRESS - Visual Studio Code [管理员]
08:16:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:26:24:  「开始」菜单
08:28:54:  State.c - DRB-PRESS - Visual Studio Code [管理员]
08:28:59:  打开文件夹
08:29:09:  State.c - DRB-PRESS - Visual Studio Code [管理员]
08:29:14:  TrackCtrl.c - trunk - Visual Studio Code
08:29:19:  TrackCtrl.c - trunk - Visual Studio Code [管理员]
08:29:29:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:28:54:  State.c - DRB-PRESS - Visual Studio Code [管理员]
08:28:59:  打开文件夹
08:29:09:  State.c - DRB-PRESS - Visual Studio Code [管理员]
08:29:14:  TrackCtrl.c - trunk - Visual Studio Code
08:29:19:  TrackCtrl.c - trunk - Visual Studio Code [管理员]
08:29:29:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:31:09:  TCR调测工具 V3.36
08:31:19:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:35:44:  自动播放
08:35:59:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:36:04:  GetTheCoPlan.py - trunk - Visual Studio Code [管理员]
08:36:14:  Tools
08:36:19:  本地磁盘 (E:)
08:36:24:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:37:50:  PaperManage.c - trunk - Visual Studio Code [管理员]
08:39:40:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:40:35:  Plate.h - trunk - Visual Studio Code [管理员]
08:40:40:  PlateCtrl.c - trunk - Visual Studio Code [管理员]
08:45:06:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:45:16:  设置 - trunk - Visual Studio Code [管理员]
08:45:21:  Plate.c - trunk - Visual Studio Code [管理员]
08:45:26:  Track.c - trunk - Visual Studio Code [管理员]
08:45:31:  ● CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:45:36:  Plate.c - trunk - Visual Studio Code [管理员]
08:45:41:  Track.c - trunk - Visual Studio Code [管理员]
08:45:46:  设置 - trunk - Visual Studio Code [管理员]
08:45:51:  Track.c - trunk - Visual Studio Code [管理员]
08:47:41:  ● Track.c - trunk - Visual Studio Code [管理员]
08:49:56:  Track.c - trunk - Visual Studio Code [管理员]
10:50:22:  新建文本文档.exe - 快捷方式
10:50:27:  Track.c - trunk - Visual Studio Code [管理员]
10:50:32:  本地磁盘 (D:)
10:50:37:  trunk
10:50:42:  删除多个项目
10:50:47:  回收
10:50:52:  新标签页 - Google Chrome
10:51:02:  班车管理系统 - Google Chrome
10:51:07:  班车管理系统 [新北洋集团] - Google Chrome
10:51:17:  trunk
10:51:32:  00-KE64
10:51:37:  回收
10:51:42:  press2
10:51:47:  检出
