08:09:50:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:13:20:  警告
08:13:25:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:16:10:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:16:15:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:16:20:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:16:30:  GateModule.h - press2 - Visual Studio Code [管理员]
08:16:35:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:18:20:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:18:35:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:18:55:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:19:05:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:19:35:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:19:40:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:20:10:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:20:15:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:20:45:  警告
08:21:10:  便签管理器
08:26:45:  锁屏状态
08:26:50:  fenxi
08:27:15:  问题日志
08:27:35:  问题日志 (未响应)
08:27:40:  fenxi
08:27:45:  运行
08:27:55:  问题日志
08:28:35:  ID-4 反向盘点盘不完
08:29:15:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
08:29:25:  ID-4 反向盘点盘不完
08:29:30:  10#钞箱AD.txt - 记事本
08:29:40:  fenxi
08:29:45:  DRB传感器.txt - 记事本
08:29:50:  10#钞箱AD.txt - 记事本
08:30:00:  DRB传感器.txt - 记事本
08:28:35:  ID-4 反向盘点盘不完
08:29:15:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
08:29:25:  ID-4 反向盘点盘不完
08:29:30:  10#钞箱AD.txt - 记事本
08:29:40:  fenxi
08:29:45:  DRB传感器.txt - 记事本
08:29:50:  10#钞箱AD.txt - 记事本
08:30:00:  DRB传感器.txt - 记事本
08:30:20:  fenxi
08:30:25:  新建文件夹 (3)
08:30:55:  K64-_BTCR-1100190802300005_20200709162544.log - DRB.tat* - TextAnalysisTool.NET
08:31:55:  新建文件夹 (3)
08:32:00:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:32:10:  Decode
08:32:25:  LOG
08:32:40:  K64_BTCR-1100190803000001_20200709150714
08:32:45:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:33:40:  Add Filter
08:33:50:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:34:00:  Edit Filter
08:34:05:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:34:10:  Edit Filter
08:34:15:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:34:40:  K64_BTCR-1100190803000001_20200709150701
08:34:45:  Box_2__BTCR-1100190803000001_20200709150701.log - DRB.tat* - TextAnalysisTool.NET
08:34:50:  LOG
08:34:55:  Box_2__BTCR-1100190803000001_20200709150701.log - DRB.tat* - TextAnalysisTool.NET
08:35:00:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:38:35:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:38:45:  打开文件夹
08:38:50:  Visual Studio Code
08:38:55:  UpperPlate.c - DRB-PRESS - Visual Studio Code [管理员]
08:41:20:  PlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:41:45:  LowerPlateCtrl.h - DRB-PRESS - Visual Studio Code [管理员]
08:41:50:  PlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:41:55:  UpperPlateCtrl.h - DRB-PRESS - Visual Studio Code [管理员]
08:42:00:  PlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:42:10:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:42:20:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:43:20:  计算器
08:43:35:  K64_BTCR-1100190803000001_20200709150130
08:43:40:  Box_2__BTCR-1100190803000001_20200709150701.log - DRB.tat* - TextAnalysisTool.NET
08:43:45:  K64_BTCR-1100190803000001_20200709150701
08:43:50:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:44:00:  计算器
08:44:05:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:44:15:  K64_BTCR-1100190803000001_20200709150714
08:44:20:  LOG
08:44:25:  VSCode 定义和实现间跳转|极客教程 - Google Chrome
08:44:30:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:44:05:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
08:44:15:  K64_BTCR-1100190803000001_20200709150714
08:44:20:  LOG
08:44:25:  VSCode 定义和实现间跳转|极客教程 - Google Chrome
08:44:30:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:45:05:  于斌1
08:45:10:  eSpace
08:45:20:  荆文波
08:45:40:  ID-4 反向盘点盘不完
08:45:45:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:46:15:  锁屏状态
08:46:20:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:50:30:  荆文波
08:50:35:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
08:53:10:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:02:35:  本地磁盘 (F:)
09:02:40:  DRB-PRESS
09:02:45:  检查更新
09:02:50:  DRB-PRESS
09:02:55:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:00:  UpperPlateCtrl.c Revision 3931 - TortoiseMerge
09:03:20:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:30:  UpperPlate.c Revision 3931 - TortoiseMerge
09:03:45:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:50:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:04:40:  远程邮箱管理
09:04:45:  执行远程管理命令
09:04:50:  Box_2__BTCR-1100190803000001_20200709150130.log - DRB.tat* - TextAnalysisTool.NET
09:05:35:  DRB-PRESS
09:05:40:  K64_BTCR-1100190803000001_20200709150701
09:05:45:  Box_2__BTCR-1100190803000001_20200709150701.log - DRB.tat* - TextAnalysisTool.NET
09:05:55:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat* - TextAnalysisTool.NET
09:07:46:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:08:21:  本地磁盘 (D:)
09:08:26:  DRB-PRESS
09:08:31:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:08:41:  UpperPlateCtrl.c Revision 3926 - TortoiseMerge
09:08:56:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:09:01:  UpperPlateCtrl.c Revision 3931 - TortoiseMerge
09:09:11:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:09:21:  UpperPlateCtrl.c Revision 3931 - TortoiseMerge
09:09:36:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:41:  UpperPlate.c - DRB-PRESS - Visual Studio Code [管理员]
09:09:51:  UpperPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
