08:05:12:  DRB工程样机系统测试进展汇报
08:05:57:  TCR调测工具 V3.36
08:06:07:  BTCRTestTool 属性
08:06:12:  TCRControlCmdDLL
08:07:12:  20200711
08:07:17:  锁屏状态
08:07:22:  压缩文件名和参数
08:07:32:  TCRControlCmdDLL
08:07:37:  20200711
08:07:57:  K18_0000_20200711171925 - 写邮件
08:08:12:  周末日志 - 写邮件
08:08:17:  20200711
08:19:02:  Re: 回复: FQC检查日报-(汇总）7月7日 (3).xlsx
08:19:07:  20200711
08:19:12:  vscode ctrl+鼠标事件_百度搜索 - Google Chrome
08:19:22:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:19:27:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
08:19:37:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:22:17:  ● CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:22:22:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:22:27:  ● CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:24:17:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:24:37:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:24:47:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:24:52:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:25:32:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
08:25:37:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:25:52:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
08:25:57:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:26:17:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:30:42:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:31:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:31:27:  This is an unregistered copy
08:31:32:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:34:47:  「开始」菜单
08:35:42:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:35:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:35:52:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
08:35:57:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:36:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.h (trunk) - Sublime Text (UNREGISTERED)
08:36:32:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:36:37:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:37:02:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:37:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:38:02:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:38:07:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:38:12:  D:\00-06\DRB-PRESS\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
08:38:17:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:38:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:39:02:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:39:42:  eSpace
08:41:57:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:42:02:  ● CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:42:42:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:44:17:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:44:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:44:17:  CashGateModuleApp.c - press2 - Visual Studio Code [管理员]
08:44:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:46:02:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
08:46:07:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:46:22:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.h (trunk) - Sublime Text (UNREGISTERED)
08:46:27:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:46:47:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (trunk) - Sublime Text (UNREGISTERED)
08:46:52:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:49:32:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
08:49:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:49:52:  D:\00-KE64\trunk\Applications\FlowControl\CashPress\PressModuleIF.h (trunk) - Sublime Text (UNREGISTERED)
08:49:57:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:51:07:  untitled (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:51:12:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:51:37:  untitled (trunk) - Sublime Text (UNREGISTERED)
08:51:47:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:55:22:  eSpace
