08:00:54:  自动播放
08:00:59:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007161637.log
08:01:09:  荆文波
08:01:59:  于斌1
08:02:24:  Watch 1
08:02:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:07:34:  μVision
08:10:29:  SystemConfig.h - trunk - Visual Studio Code [管理员]
08:11:14:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:11:24:  ● CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:11:29:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:11:50:  ● CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:12:00:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:15:03:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:15:03:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:17:55:  CheckTheBookTital.py - trunk - Visual Studio Code [管理员]
08:18:15:  设置 - trunk - Visual Studio Code [管理员]
08:18:20:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:21:12:  ● CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:22:57:  CashGateModuleApp.c - trunk - Visual Studio Code [管理员]
08:24:17:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Track\Track.c (trunk) - Sublime Text (UNREGISTERED)
08:27:18:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:28:23:  于斌1
08:29:08:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:29:13:  于斌1
08:28:23:  于斌1
08:29:08:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:29:13:  于斌1
08:30:08:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:30:43:  于斌1
08:31:28:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:32:53:  于斌1
08:33:08:  eSpace
08:33:18:  于斌1
08:33:33:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Bldc\Bldc.c (trunk) - Sublime Text (UNREGISTERED)
08:33:38:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
08:34:58:  DRB-PRESS
08:35:03:  于斌1
08:35:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:35:53:  于斌1
08:35:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:37:53:  Watch 1
