08:04:14:  Foxmail
08:04:19:  回复: 上海银行146#钞箱执行大额存款报传感器错误，关闭传感器异常 返回码843C02AD
08:05:39:  DRB工程样机系统测试进展汇报~0725
08:05:49:  5.12 直流电机功能测试 .xlsx - Excel
08:07:49:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:08:54:  新建 Microsoft Excel 工作表.xlsx - Excel
08:08:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:09:04:  5.12 直流电机功能测试 .xlsx - Excel
08:12:29:  eSpace
08:12:34:  吉哲
08:13:34:  eSpace
08:13:39:  程明昌
08:19:04:  吉哲
08:20:34:  eSpace
08:20:44:  于转龙
08:20:49:  问题日志
08:20:54:  Excel
08:20:59:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
08:21:29:  新建 Microsoft Excel 工作表.xlsx - Excel
08:23:29:  吉哲
08:23:49:  eSpace
08:23:59:  于斌1
08:24:14:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:24:19:  新建 Microsoft Excel 工作表.xlsx - Excel
08:32:44:  吉哲
08:33:34:  于斌1
08:33:44:  吉哲
08:33:49:  新建 Microsoft Excel 工作表.xlsx - Excel
08:33:59:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:34:04:  吉哲
08:34:29:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:34:34:  μVision
08:34:39:  C:\Keil_v5\ARM\ARMCC\Bin\fromelf.exe
08:34:44:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:34:49:  μVision
08:35:04:  锁屏状态
08:35:34:  µVision IDE
08:35:44:  锁屏状态
08:35:49:  于斌1
08:36:04:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:36:09:  JL2CM3
08:36:19:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:36:54:  Toolbox
08:36:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:37:19:  KE06LOG.bat - 快捷方式 (2)
08:38:39:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202007251608.log
08:38:54:  Watch 1
08:38:59:  新建 Microsoft Excel 工作表.xlsx - Excel
08:39:04:  RTT_SeggerLog_202007251608.log - DRB.tat* - TextAnalysisTool.NET
08:39:14:  RTT_SeggerLog_202007270837.log - DRB.tat* - TextAnalysisTool.NET
08:39:19:  新建 Microsoft Excel 工作表.xlsx - Excel
08:39:24:  Microsoft Excel
08:39:29:  新建 Microsoft Excel 工作表.xlsx - Excel
08:39:44:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:39:59:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:40:04:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:40:14:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:41:04:  Toolbox
