08:00:15:  回复: 回复: 美国专利分析
08:00:45:  于斌1
08:02:05:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:07:15:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:07:25:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
08:07:35:  TCR调测工具 V3.36
08:07:55:  打开
08:08:00:  TCR调测工具 V3.36
08:09:55:  托板控制
08:11:20:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:12:20:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
08:12:25:  TCR调测工具 V3.36
08:13:10:  托板控制
08:13:40:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:13:45:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:13:55:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:14:15:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:14:25:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
08:14:35:  TCR调测工具 V3.36
08:14:15:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:14:25:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
08:14:35:  TCR调测工具 V3.36
08:15:35:  托板控制
08:15:50:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:16:05:  00-06
08:16:10:  检查更新
08:16:15:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
08:16:20:  UpperPlateCtrl.c - TortoiseMerge
08:16:30:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
08:16:40:  UpperPlate.c - TortoiseMerge
08:17:20:  μVision
08:17:25:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:17:30:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
08:17:35:  TCR调测工具 V3.36
08:18:00:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:18:05:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:18:10:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:18:15:  D:\00-06\DRB-PRESS\Middlewares\Plate\PlateCommon.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:18:20:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:18:45:  TCR调测工具 V3.36
08:18:50:  托板控制
08:19:10:  打开
08:19:15:  TCR调测工具 V3.36
08:19:50:  自动播放
08:21:40:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:21:45:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:22:30:  杂项物料领料人员变更
08:22:45:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:22:55:  新标签页 - Google Chrome
08:23:01:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:23:11:  本地磁盘 (E:)
08:23:21:  *Python 3.7.3 Shell*
08:23:51:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:23:56:  *Python 3.7.3 Shell*
08:24:01:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:24:06:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:24:41:  Python 3.7.3 Shell
08:24:46:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:24:51:  CheckTheBookTital.py - E:\CheckTheBookTital.py (3.7.3)
08:24:56:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:01:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:06:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:26:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:31:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:46:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:25:56:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:26:11:  新标签页 - Google Chrome
08:26:36:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:26:46:  www.23txt.com - Google Chrome
08:26:56:  于斌1
08:27:06:  新建文本文档.exe - 快捷方式
08:27:11:  www.23txt.com - Google Chrome
08:27:16:  于斌1
08:27:21:  www.23txt.com - Google Chrome
08:27:36:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:27:41:  www.23txt.com - Google Chrome
08:27:52:  百度一下，你就知道 - Google Chrome
08:28:02:  https://www.baidu.com/link?url=JE1dUL33vcVT8p1KB8VxvinY_J7i5VS80cjx3MwFO4S&wd=&eqid=80444fc0000907c7000000025f29fd0d - Google Chrome
08:28:07:  新建文本文档.exe - 快捷方式
08:28:12:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:28:07:  新建文本文档.exe - 快捷方式
08:28:12:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:30:42:  锁屏状态
08:30:47:  于斌1
08:30:52:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:30:57:  刘雅
08:31:32:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:31:37:  于斌1
08:32:12:  桌面整理
08:32:22:  开始
08:32:27:  打开
08:32:32:  TCR调测工具 V3.36
08:34:12:  于斌1
08:34:17:  TCR调测工具 V3.36
08:34:22:  于斌1
08:34:27:  TCR调测工具 V3.36
08:34:32:  于斌1
08:34:37:  TCR调测工具 V3.36
08:34:52:  于斌1
08:34:57:  TCR调测工具 V3.36
08:35:07:  于斌1
08:35:32:  TCR调测工具 V3.36
08:35:52:  于斌1
08:36:07:  桌面整理
08:36:12:  于斌1
08:36:22:  计算器
08:36:32:  于斌1
