08:03:56:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
08:04:21:  跳转列表
08:04:26:  K64_0000_20200806133745.log - DRB.tat - TextAnalysisTool.NET
08:05:41:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:06:26:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (trunk) - Sublime Text (UNREGISTERED)
08:06:56:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:07:41:  库
08:07:46:  00-KE64
08:08:56:  本地磁盘 (F:)
08:09:01:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:09:06:  本地磁盘 (E:)
08:09:26:  TheBo.txt - 记事本
08:09:46:  本地磁盘 (E:)
08:10:26:  Untitled-1.txt - 记事本
08:10:41:  查找
08:10:51:  Untitled-1.txt - 记事本
08:11:16:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:11:46:  本地磁盘 (F:)
08:11:51:  本地磁盘 (D:)
08:12:01:  打开方式
08:12:06:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:15:36:  自动播放
08:15:46:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:16:16:  百度一下，你就知道 - Google Chrome
08:16:21:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:16:46:  设置 - DRB-PRESS - Visual Studio Code [管理员]
08:16:51:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:22:16:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:22:21:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:22:26:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:28:51:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:29:01:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:29:26:  新标签页 - Google Chrome
08:29:31:  天籁小说网_最好看的小说阅读网 - Google Chrome
08:29:41:  小说搜索 - Google Chrome
08:29:46:  我师兄实在太稳健了 第六百一十章 戏过的代价 - 天籁小说网 - Google Chrome
08:29:51:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:28:51:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:29:01:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:29:26:  新标签页 - Google Chrome
08:29:31:  天籁小说网_最好看的小说阅读网 - Google Chrome
08:29:41:  小说搜索 - Google Chrome
08:29:46:  我师兄实在太稳健了 第六百一十章 戏过的代价 - 天籁小说网 - Google Chrome
08:29:51:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:30:07:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:30:12:  ● CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:30:17:  CheckTheBookTital.py - DRB-PRESS - Visual Studio Code [管理员]
08:30:37:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:35:12:  ● LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:45:02:  00-KE64
08:45:02:  00-KE64
08:45:07:  SECSplashWnd
08:45:12:  D:\00-KE64\trunk\Project\k64_rtt.uvprojx - μVision
08:49:15:  本地磁盘 (D:)
08:49:20:  Tools
08:49:25:  D:\00-KE64\trunk\Tools\CreateJK.exe
08:49:30:  TCR调测工具 V3.36
08:50:00:  打开
08:50:10:  TCR调测工具 V3.36
08:50:30:  BTCRTestTool
08:50:40:  TCR调测工具 V3.36
08:50:45:  打开
08:50:55:  TCR调测工具 V3.36
08:52:35:  BTCRTestTool 属性
08:52:40:  log
