08:07:52:  DRB
08:09:22:  KE18代码
08:11:08:  转发: TCR常见故障说明
08:11:13:  TCR常见故障说明.xlsx
08:11:18:  转发: TCR常见故障说明
08:13:23:  KE18代码
08:13:33:  D:\fenxi\20200717-T94\DRB\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:15:58:  于斌1
08:16:43:  00-06
08:16:48:  00-18
08:16:53:  锁屏状态
08:16:58:  于斌1
08:17:08:  D:\00-18\CRS-MiddleContral - 工作副本 - TortoiseSVN
08:17:13:  ImpellerCtrl.c - TortoiseMerge
08:17:43:  D:\00-18\CRS-MiddleContral - 工作副本 - TortoiseSVN
08:17:48:  SeparatorCtrl.c - TortoiseMerge
08:17:53:  于斌1
08:18:08:  TortoiseMerge
08:18:13:  SeparatorCtrl.c - TortoiseMerge
08:18:23:  TortoiseMerge
08:18:28:  ImpellerCtrl.c - TortoiseMerge
08:18:33:  CRS-MiddleContral
08:18:48:  ImpellerCtrl.c - TortoiseMerge
08:18:53:  D:\00-18\CRS-MiddleContral - 提交 - TortoiseSVN
08:19:18:  提交 完成！
08:19:23:  新标签页 - Google Chrome
08:19:28:  SonarQube - Google Chrome
08:19:33:  Possible access of out-of-bounds pointer (1 beyond end of data) by operator '[' [Reference: file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Drivers\PeripheralDriver\Ke06bsp\ftm.c: lines 302, 323] - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:19:38:  项目 - Google Chrome
08:19:58:  erwerarwetwet - Google Chrome
08:20:03:  项目 - Google Chrome
08:20:53:  D:\fenxi\20200717-T94\DRB\BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V11_V100_CASHBOX1T2_RB.EEP (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:20:58:  D:\00-18\CRS-MiddleContral\Applications\PlateCtrl\PlateCtrl.c (CRS-64) - Sublime Text (UNREGISTERED)
08:21:03:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
08:21:13:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
08:21:18:  本地磁盘 (E:)
08:21:23:  设置 - CRS-MiddleContral - Visual Studio Code [管理员]
08:21:38:  SeparatorCtrl.c - CRS-MiddleContral - Visual Studio Code [管理员]
08:24:13:  TCR常见故障说明.xlsx
08:24:18:  TCR常见故障说明.xlsx  [只读] - Excel
08:26:43:  于斌1
08:26:48:  TCR常见故障说明.xlsx  [只读] - Excel
