08:16:44:  方俊杰
08:16:49:  D:\00-06\2\Applications\Instruction\InstrExecute.c (2) - Sublime Text (UNREGISTERED)
08:16:54:  本地磁盘 (D:)
08:17:14:  fenxi
08:17:19:  DRB
08:17:24:  确认文件替换
08:17:29:  DRB
08:24:39:  Internet Explorer
08:24:44:  主页 - Internet Explorer
08:25:24:  无法显示此页 - Internet Explorer
08:26:14:  DRB
08:26:19:  milestone.txt - 记事本
08:28:04:  DRB
08:28:09:  20200819-T95
08:28:14:  milestone.txt - 记事本
08:28:19:  20200819-T95
08:28:24:  DRB
08:28:29:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
08:28:49:  Microsoft Excel
08:28:54:  DRB
08:29:04:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
08:30:04:  DRB
08:28:09:  20200819-T95
08:28:14:  milestone.txt - 记事本
08:28:19:  20200819-T95
08:28:24:  DRB
08:28:29:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
08:28:49:  Microsoft Excel
08:28:54:  DRB
08:29:04:  BTCR-1100-固件更改记录_V100.xls  [兼容模式] - Excel
08:30:04:  DRB
08:30:14:  BTCR-1100产品型号MAIN测试对象FV1.000.14版本内部测试报告_20200817.xls  [兼容模式] - Excel
08:30:24:  DRB
08:30:29:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
08:30:39:  DRB
08:30:49:  00-06
08:30:54:  DRB-PRESS
08:30:59:  D:\00-06\2\Tools\CreateJK.exe
08:31:04:  Tools
08:31:09:  2
08:31:14:  20200717-T94
08:31:19:  DRB
08:32:44:  00-06
08:32:49:  fenxi
08:32:54:  DRB
08:34:14:  主页 - Internet Explorer
08:34:19:  新北洋OA信息化平台 - Internet Explorer
08:34:29:  测试需求通知单II类提交 - Internet Explorer
08:34:39:  新北洋OA信息化平台 - Internet Explorer
08:34:44:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:34:49:   -- 网页对话框
08:35:09:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:35:14:   -- 网页对话框
08:35:19:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:35:34:   -- 网页对话框
08:35:49:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:35:54:  DRB
08:35:59:  于斌1
08:36:24:  DRB
08:36:29:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:36:34:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?Mode=Apply&TASKID=08110899f6624d8899bf9b954ae674 - Internet Explorer
08:36:39:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
08:36:44:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:36:54:  新北洋OA信息化平台 - Internet Explorer
08:36:59:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:37:04:  DRB
08:37:14:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:38:54:  DRB
08:38:59:  00-06
08:39:04:  D:\00-06\2 - 日志信息 - TortoiseSVN
08:39:14:  2
08:41:44:  于斌1
08:55:39:  2
08:56:44:  CommonManageTool
08:57:04:  Information
08:57:09:  CommonManageTool
08:57:44:  提示
08:57:54:  CommonManageTool
08:58:04:  详情
08:58:09:  CommonManageTool
08:58:14:  查看
08:58:24:  CommonManageTool
08:58:39:  提示
08:58:44:  CommonManageTool
08:59:14:  提示
08:59:19:  CommonManageTool
08:59:24:  查看
08:59:54:  D:\00-06\2\Applications\HistoryRecord\HistoryRecord.c (2) - Sublime Text (UNREGISTERED)
09:00:04:  Tools
08:58:09:  CommonManageTool
08:58:14:  查看
08:58:24:  CommonManageTool
08:58:39:  提示
08:58:44:  CommonManageTool
08:59:14:  提示
08:59:19:  CommonManageTool
08:59:24:  查看
08:59:54:  D:\00-06\2\Applications\HistoryRecord\HistoryRecord.c (2) - Sublime Text (UNREGISTERED)
09:00:04:  Tools
09:00:14:  D:\00-06\2 - 日志信息 - TortoiseSVN
09:00:24:  2
09:00:54:  CommonManageTool
09:01:09:  DRB-MOSTNEW
09:01:14:  D:\00-06\DRB-MOSTNEW - 日志信息 - TortoiseSVN
09:01:24:  BR-1-CashBox1T2.txt - 记事本
09:01:49:  1T1-82
09:01:54:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
09:01:59:  milestone.txt Revision 4021 - TortoiseMerge
09:02:24:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
09:02:44:  00-06
09:02:49:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:02:54:  00-06
09:02:59:  D:\00-06\DRB-MOSTNEW - 日志信息 - TortoiseSVN
09:03:04:  00-06
09:03:09:  D:\00-06\DRB-PRESS - 日志信息 - TortoiseSVN
09:03:29:  BR-1-CashBox1T2-Press.txt Revision 4054 - TortoiseMerge
09:03:44:  DRB-PRESS
09:03:49:  2
09:03:54:  D:\00-06\DRB-MOSTNEW - 日志信息 - TortoiseSVN
09:04:04:  D:\00-06\2\Applications\HistoryRecord\HistoryRecord.c (2) - Sublime Text (UNREGISTERED)
09:05:09:  D:\00-06\DRB-MOSTNEW - 日志信息 - TortoiseSVN
09:05:14:  2
09:05:24:  D:\00-06\2 - 日志信息 - TortoiseSVN
09:05:49:  文件补丁  
09:05:54:  D:\00-06\2 - 日志信息 - TortoiseSVN
09:05:59:  BR-1-CashBox1T2-Press.txt Revision 4044 - TortoiseMerge
09:06:24:  D:\00-06\2 - 日志信息 - TortoiseSVN
09:06:34:  2
09:06:44:  D:\00-06\2\Applications\HistoryRecord\HistoryRecord.c (2) - Sublime Text (UNREGISTERED)
09:06:54:  CommonManageTool
09:07:09:  提示
09:07:14:  CommonManageTool
09:07:24:  查看
09:07:39:  CommonManageTool
09:07:44:  提示
09:07:49:  CommonManageTool
09:08:29:  提示
09:08:34:  CommonManageTool
09:08:49:  Information
09:08:54:  CommonManageTool
09:09:14:  提示
09:09:19:  CommonManageTool
09:09:39:  详情
09:09:44:  CommonManageTool
09:10:04:  Information
09:10:09:  CommonManageTool
09:10:19:  提示
09:10:24:  CommonManageTool
09:10:49:  提示
09:10:54:  微课奖励通知
09:11:44:  于斌1
09:11:59:  CommonManageTool
09:12:04:  提示
09:12:09:  CommonManageTool
09:12:34:  查看
09:12:59:  CommonManageTool
09:13:09:  提示
09:13:14:  CommonManageTool
09:13:29:  查看
09:13:59:  D:\00-06\2\Applications\HistoryRecord\HistoryRecord.c (2) - Sublime Text (UNREGISTERED)
09:14:09:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:14:19:  于斌1
09:14:54:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:14:09:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:14:19:  于斌1
09:14:54:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:15:09:  查看
09:15:24:  锁屏状态
09:15:29:  D:\00-06\2\Drivers\PeripheralDriver\SpiDriver\SnbcSpiDriver.c (2) - Sublime Text (UNREGISTERED)
09:15:34:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:15:54:  CommonManageTool
09:16:14:  查看
09:17:14:  提示
09:17:19:  查看
09:17:54:  CommonManageTool
09:18:09:  提示
09:18:14:  CommonManageTool
09:18:44:  查看
09:18:49:  CommonManageTool
09:19:19:  2
09:19:24:  fenxi
09:19:29:  5元1元各300张随机混合，执行大额存款报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X814602B
09:19:34:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:19:44:  LOG
09:19:54:  Box_1__BTCR-1100200400210044_20200820085543.log - [No filter file] - TextAnalysisTool.NET
09:20:04:  Box_1__BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:20:44:  荆文波
09:20:49:  Decode
09:20:54:  5元1元各300张随机混合，执行大额存款报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X814602B
09:20:59:  5元1元各300张随机混合，执行大额存款报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X814602B
09:21:04:  捕获.PNG - Windows 照片查看器
09:21:59:  Box_1__BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:23:14:  荆文波
09:23:19:  Box_1__BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:28:29:  CommonManageTool
09:28:54:  5元1元各300张随机混合，执行大额存款报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X814602B
09:29:44:  00-06
09:29:54:  BR-1-CashBox1T2-Press.txt - 记事本
09:28:29:  CommonManageTool
09:28:54:  5元1元各300张随机混合，执行大额存款报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X814602B
09:29:44:  00-06
09:29:54:  BR-1-CashBox1T2-Press.txt - 记事本
09:30:19:  D:\00-06\2 - 日志信息 - TortoiseSVN
09:30:24:  20200819-T95
09:32:09:  D:\00-06\2\Drivers\SpiFlashDriver\SpiFlashDriver.c (2) - Sublime Text (UNREGISTERED)
09:32:39:  Box_1__BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:33:14:  2
09:33:19:  LOG
09:33:24:  K64-_BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:33:39:  K64-_BTCR-1100200400210044_20200820085543.log - DRB-MOTOR.tat - TextAnalysisTool.NET
09:33:44:  打开
09:33:49:  K64-_BTCR-1100200400210044_20200820085543.log - K64状态机分析2.tat - TextAnalysisTool.NET
09:33:54:  K64-_BTCR-1100200400210044_20200820085543.log - K64状态机分析2.tat* - TextAnalysisTool.NET
09:34:19:  Edit Filter
09:34:24:  打开
09:34:29:  K64-_BTCR-1100200400210044_20200820085543.log - DRB.tat - TextAnalysisTool.NET
09:34:34:  K64-_BTCR-1100200400210044_20200820085543.log - DRB.tat* - TextAnalysisTool.NET
09:34:39:  Edit Filter
09:34:44:  K64-_BTCR-1100200400210044_20200820085543.log - DRB.tat* - TextAnalysisTool.NET
09:35:09:  Add Filter
