15:48:36:  系统提示
15:48:41:  Visual Studio Code
15:48:51:  本地磁盘 (D:)
15:49:01:  eSpace
15:49:06:  本地磁盘 (D:)
15:49:11:  Dialog
15:49:26:  eSpace Login
15:49:56:  eSpace
15:50:31:  张开发
15:50:41:  Dialog
15:50:56:  本地磁盘 (D:)
15:51:36:  正在从 钞箱1T2集成测试方案 - 副本.rar 中提取
15:51:41:  钞箱1T2集成测试方案 - 副本
15:51:51:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
15:51:56:  钞箱1T2集成测试方案 - 副本
15:52:01:  DRB集成测试报告.xlsx - Excel
15:52:21:  钞箱1T2集成测试方案 - 副本
15:52:26:  本地磁盘 (D:)
15:52:31:  桌面整理
15:52:41:  钞箱1T2集成测试方案 - 副本.rar 属性
15:52:46:  「开始」菜单
15:52:56:  本地磁盘 (C:)
15:53:31:  资料共享
15:54:01:  复制文件
15:54:06:  资料共享
15:54:16:  桌面整理
15:54:31:  资料共享
15:55:31:  MenuDlg
15:55:36:  锁屏状态
