08:10:40:  CommonManageTool
08:10:45:  TCR调测工具 V3.36
08:10:50:  Dialog
08:11:15:  eSpace Login
08:11:20:  TCR调测工具 V3.36
08:11:25:  跳转列表
08:11:30:  Windows 资源管理器
08:11:35:  TCRControlCmdDLL
08:11:40:  20200907
08:11:45:  Decode
08:11:50:  K64_0000_20200907081043
08:12:00:  Box_2__0000_20200907081043.log - [No filter file] - TextAnalysisTool.NET
08:12:15:  打开
08:12:20:  Box_2__0000_20200907081043.log - DRB.tat - TextAnalysisTool.NET
08:13:55:  TCR调测工具 V3.36
08:15:25:  K64_0000_20200907081043
08:15:30:  荆文波
08:15:40:  桌面整理
08:15:45:  DRB传感器.txt - 记事本
08:15:55:  TCR调测工具 V3.36
08:24:10:  于斌1
08:24:15:  K64_0000_20200907081043
08:24:20:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
08:24:30:  D:\00-06\2\Drivers\PeripheralDriver\SpiDriver\SnbcSpiDriver.h (2) - Sublime Text (UNREGISTERED)
08:24:40:  选择文件夹
08:24:45:  untitled (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:24:50:  戚晓东
08:24:55:  untitled (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:25:05:  D:\00-06\DRB-MOSTNEW\Middlewares\Plate\UpperPlate.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:25:15:  戚晓东
08:25:20:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
08:27:25:  戚晓东
08:28:00:  DRB传感器.txt - 记事本
08:28:10:  戚晓东
08:28:35:  TCR调测工具 V3.36
08:28:40:  戚晓东
08:29:05:  TCR调测工具 V3.36
08:29:20:  戚晓东
08:29:25:  TCR调测工具 V3.36
08:29:30:  DRB传感器.txt - 记事本
08:29:35:  TCR调测工具 V3.36
08:29:40:  DRB传感器.txt - 记事本
08:29:50:  TCR调测工具 V3.36
08:28:10:  戚晓东
08:28:35:  TCR调测工具 V3.36
08:28:40:  戚晓东
08:29:05:  TCR调测工具 V3.36
08:29:20:  戚晓东
08:29:25:  TCR调测工具 V3.36
08:29:30:  DRB传感器.txt - 记事本
08:29:35:  TCR调测工具 V3.36
08:29:40:  DRB传感器.txt - 记事本
08:29:50:  TCR调测工具 V3.36
08:31:55:  eSpace
08:32:00:  荆文波
08:32:10:  TCR调测工具 V3.36
08:32:30:  本地磁盘 (D:)
08:32:35:  CRS-TRNK
08:32:40:  D:\00-18\CRS-TRNK - 日志信息 - TortoiseSVN
08:33:05:  TCR调测工具 V3.36
08:38:20:  发送指令到K06
08:39:00:  TCR调测工具 V3.36
08:39:20:  发送指令到K06
08:39:35:  TCR调测工具 V3.36
08:40:05:  发送指令到K06
08:40:25:  TCR调测工具 V3.36
08:40:50:  发送指令到K06
08:40:55:  TCR调测工具 V3.36
08:41:00:  发送指令到K06
08:41:05:  TCR调测工具 V3.36
08:41:15:  发送指令到K06
08:41:20:  TCR调测工具 V3.36
08:41:25:  发送指令到K06
08:41:40:  TCR调测工具 V3.36
08:42:30:  荆文波
08:42:35:  TCR调测工具 V3.36
08:43:30:  发送指令到K06
08:43:50:  TCR调测工具 V3.36
08:44:10:  D:\00-18\CRS-TRNK - 日志信息 - TortoiseSVN
08:44:35:  TCR调测工具 V3.36
08:44:40:  钞箱配置
08:44:50:  TCR调测工具 V3.36
08:44:10:  D:\00-18\CRS-TRNK - 日志信息 - TortoiseSVN
08:44:35:  TCR调测工具 V3.36
08:44:40:  钞箱配置
08:44:50:  TCR调测工具 V3.36
08:45:25:  取款
08:45:30:  TCR调测工具 V3.36
08:46:40:  钞箱配置
08:46:45:  TCR调测工具 V3.36
08:46:50:  BTCRTestTool
08:46:55:  TCR调测工具 V3.36
08:47:40:  警告
08:47:45:  库
08:49:05:  TCR调测工具 V3.36
08:49:35:  取款
08:49:40:  TCR调测工具 V3.36
08:51:15:  戚晓东
08:51:30:  警告
08:51:55:  03 项目周报
08:52:00:  正在打开 - Excel
08:52:05:  TCR（DRB）项目周报.xlsx  [受保护的视图] - Excel
08:52:10:  TCR（DRB）项目周报.xlsx  [共享] - Excel
08:53:05:  孙颖
08:53:30:  TCR调测工具 V3.36
08:53:35:  钞箱配置
08:53:45:  TCR调测工具 V3.36
08:57:10:  取款
08:57:15:  TCR调测工具 V3.36
08:57:35:  03 项目周报
08:57:45:  BTCRTestTool V3.36
08:57:50:  20200907
08:57:55:  回收
