08:01:37:  回复: 会议讨论及后续工作
08:02:32:  运行
08:02:42:  \192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06-
08:02:47:  运行
08:02:57:  正在打开 - Excel
08:03:02:  周报及工作日志.xlsx  [受保护的视图] - Excel
08:03:07:  周报及工作日志.xlsx - Excel
08:04:12:  系统设置
08:05:12:  锁屏状态
08:05:17:  日报
08:05:22:  周报及工作日志.xlsx - Excel
08:05:47:  Tools
08:05:52:  DRB-MOSTNEW
08:06:22:  新北洋价值观行为规范V1.0 20200708（ok）.pdf
08:07:12:  http://www.byintra.com/intradoc/DocLib6/《新北洋人》第87期20200624.pdf - Internet Explorer
08:07:17:  Windows 安全
08:07:22:  http://www.byintra.com/intradoc/DocLib6/《新北洋人》第87期20200624.pdf - Internet Explorer
08:08:47:  Internet Explorer
08:09:22:  共享文件
08:09:27:  TCR
08:09:32:  周报及工作日志.xlsx  [受保护的视图] - Excel
08:10:07:  吉哲
08:10:17:  eSpace
08:10:22:  于斌1
08:10:37:  吉哲
08:10:42:  eSpace
08:11:07:  吉哲
08:11:17:  于斌1
08:11:37:  eSpace
08:11:47:  姚世龙
08:12:12:  新北洋价值观解读-吉哲.docx
08:12:27:  新北洋价值观解读-吉哲.docx [只读] - Word
08:13:27:  新北洋价值观行为规范V1.0 20200708（ok）.pdf
08:14:17:  新北洋价值观行为规范V1.0 20200708（ok）.pdf - Adobe Reader
08:14:17:  新北洋价值观行为规范V1.0 20200708（ok）.pdf - Adobe Reader
08:15:07:  新北洋价值观解读-吉哲.docx [只读] - Word
08:17:47:  锁屏状态
08:18:02:  新北洋价值观解读-吉哲.docx [只读] - Word
08:21:02:  另存为
08:21:12:  新北洋价值观解读-张开发.docx - Word
08:21:17:  桌面整理
08:21:22:  新北洋价值观解读-张开发 - 写邮件
08:21:32:  Bus Hound
08:21:37:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:21:42:  「开始」菜单
08:24:02:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:24:17:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
08:24:22:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:24:32:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:27:42:  Build Output
08:27:52:  库
08:27:57:  深圳出差
08:28:02:  TCR调测工具（研发版）V1.0.0.4
08:28:07:  打开
08:28:17:  桌面整理
08:28:22:  TCR调测工具（研发版）V1.0.0.4
08:28:32:  Bus Hound
08:28:42:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:28:47:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:07:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:17:  TCR调测工具（研发版）V1.0.0.4
08:29:22:  BTCRTestTool
08:29:27:  TCR调测工具（研发版）V1.0.0.4
08:29:32:  Bus Hound
08:29:37:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.h (CRS-64) - Sublime Text (UNREGISTERED)
08:29:42:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:52:  锁屏状态
08:29:57:  本地磁盘 (D:)
08:30:02:  00-KE64
08:28:07:  打开
08:28:17:  桌面整理
08:28:22:  TCR调测工具（研发版）V1.0.0.4
08:28:32:  Bus Hound
08:28:42:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:28:47:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:07:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:17:  TCR调测工具（研发版）V1.0.0.4
08:29:22:  BTCRTestTool
08:29:27:  TCR调测工具（研发版）V1.0.0.4
08:29:32:  Bus Hound
08:29:37:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExp.h (CRS-64) - Sublime Text (UNREGISTERED)
08:29:42:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (CRS-64) - Sublime Text (UNREGISTERED)
08:29:52:  锁屏状态
08:29:57:  本地磁盘 (D:)
08:30:02:  00-KE64
08:30:07:  CRS
08:30:12:  CRS-64
08:30:17:  D:\00-KE64\CRS-64 - 更新 - TortoiseSVN
08:30:22:  更新 完成！
08:30:27:  Project
08:30:52:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:38:22:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (CRS-64) - Sublime Text (UNREGISTERED)
08:38:27:  D:\00-KE64\CRS-64\Applications\CanComm\SlaveBoardComm\EscBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:38:32:  D:\00-KE64\CRS-64\Applications\InstrExplain\InstrProc1D.c (CRS-64) - Sublime Text (UNREGISTERED)
08:38:42:  D:\00-KE64\trunk\Applications\InstrExp\InstrGSProcess.c (CRS-64) - Sublime Text (UNREGISTERED)
08:38:57:  D:\00-KE64\trunk\Applications\CanComm\SlaveBoardComm\SlaveBoardCmd.c (CRS-64) - Sublime Text (UNREGISTERED)
08:39:02:  D:\00-KE64\trunk\Applications\InstrExp\InstrGSProcess.c (CRS-64) - Sublime Text (UNREGISTERED)
08:39:17:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:39:22:  untitled (CRS-64) - Sublime Text (UNREGISTERED)
08:39:32:  D:\00-KE64\CRS-64\Applications\InstrExplain\InstrProc1D.c (CRS-64) - Sublime Text (UNREGISTERED)
08:39:47:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:40:02:  打开
08:40:07:  BTCRTestTool
08:40:12:  TCR调测工具（研发版）V1.0.0.4
08:40:17:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:40:42:  D:\00-KE64\CRS-64\Applications\InstrExplain\InstrProc1D.c (CRS-64) - Sublime Text (UNREGISTERED)
08:40:47:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
08:40:52:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:40:57:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
08:42:17:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:42:22:  D:\00-KE64\CRS-64\Applications\ErrorHandle\ErrCode.h (CRS-64) - Sublime Text (UNREGISTERED)
08:42:27:  D:\00-KE64\CRS-64\Applications\CanComm\CanComm.c (CRS-64) - Sublime Text (UNREGISTERED)
08:42:57:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:43:17:  锁屏状态
08:43:22:  TCR调测工具（研发版）V1.0.0.4
08:43:27:  BTCRTestTool
08:43:32:  TCR调测工具（研发版）V1.0.0.4
08:43:42:  打开
08:43:47:  TCR调测工具（研发版）V1.0.0.4
08:43:52:  BTCRTestTool
08:43:57:  锁屏状态
08:44:02:  TCR调测工具（研发版）V1.0.0.4
08:44:22:  BTCRTestTool
08:44:32:  TCR调测工具（研发版）V1.0.0.4
08:44:57:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:44:22:  BTCRTestTool
08:44:32:  TCR调测工具（研发版）V1.0.0.4
08:44:57:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:45:07:  TCR调测工具（研发版）V1.0.0.4
08:45:27:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:46:47:  姚世龙
08:47:02:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:47:37:  计算器
08:47:42:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:49:57:  TCR调测工具（研发版）V1.0.0.4
08:50:12:  BTCRTestTool
08:50:17:  TCR调测工具（研发版）V1.0.0.4
08:50:32:  D:\00-KE64\CRS-64\Project\k64_rtt.uvprojx - μVision
08:52:27:  Bus Hound
08:52:32:  TCR调测工具（研发版）V1.0.0.4
08:52:42:  CRS
08:52:47:  μVision
08:52:52:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:53:57:  TCR调测工具（研发版）V1.0.0.4
08:54:02:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:54:12:  孙颖
08:54:17:  Project
08:54:22:  运行
08:54:27:  正在打开 - Excel
08:54:32:  TCR（DRB）项目周报.xlsx  [受保护的视图] - Excel
08:54:37:  TCR（DRB）项目周报.xlsx  [共享] - Excel
08:55:27:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:55:57:  Watch 1
08:56:02:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:57:07:  TCR调测工具（研发版）V1.0.0.4
08:57:12:  打开
08:57:17:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:57:37:  TCR调测工具（研发版）V1.0.0.4
08:57:47:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:32:  TCR调测工具（研发版）V1.0.0.4
08:58:42:  BTCRTestTool
08:58:47:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:58:32:  TCR调测工具（研发版）V1.0.0.4
08:58:42:  BTCRTestTool
