08:09:49:  各位看看各自的考核比是否需要调整，如有问题请今天上午反馈
08:10:14:  Decode
08:13:29:  20200914
08:13:34:  TCRControlCmdDLL
08:13:44:  D:\CRS\KE18-ESS\Project\ke18_rtt.uvprojx - μVision
08:13:49:  TCRControlCmdDLL
08:13:54:  V1.009
08:13:59:  20200915
08:14:04:  TCR调测工具（研发版）V1.0.0.4
08:14:09:  读写ERROM
08:14:14:  TCR调测工具（研发版）V1.0.0.4
08:14:24:  传感器AD值测试
08:14:29:  TCR调测工具（研发版）V1.0.0.4
08:14:34:  Project
08:14:39:  深圳出差
08:14:44:  传感器AD值测试
08:14:59:  TCR调测工具（研发版）V1.0.0.4
08:15:04:  读写ERROM
08:14:09:  读写ERROM
08:14:14:  TCR调测工具（研发版）V1.0.0.4
08:14:24:  传感器AD值测试
08:14:29:  TCR调测工具（研发版）V1.0.0.4
08:14:34:  Project
08:14:39:  深圳出差
08:14:44:  传感器AD值测试
08:14:59:  TCR调测工具（研发版）V1.0.0.4
08:15:04:  读写ERROM
08:15:29:  传感器AD值测试
08:15:39:  TCR调测工具（研发版）V1.0.0.4
08:15:49:  深圳出差
08:15:54:  本地磁盘 (D:)
08:15:59:  于斌1
08:16:29:  20200908~CRS EEPROM分布.xlsx
08:16:44:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-7852-20200907085146\Attach\BNE-R1200M_Master_K64_FV1000_FEDADV10_V101.EEP (KE18-ESS) - Sublime Text (UNREGISTERED)
08:16:49:  D:\CRS\KE18-ESS\Applications\InstrExp\InstrExe.c (KE18-ESS) - Sublime Text (UNREGISTERED)
08:16:54:  BNE-R1200M_Master_K64_FV1000_FEDADV10_V101.EEP
08:17:04:  桌面整理
08:17:09:  TCR调测工具（研发版）V1.0.0.4
08:17:14:  打开
08:17:19:  TCR调测工具（研发版）V1.0.0.4
08:17:24:  传感器AD值测试
08:17:29:  00-18
08:17:34:  BTCRTestTool (2) 属性
08:17:39:  20200915
08:17:44:  TCR调测工具（研发版）V1.0.0.4
08:17:54:  打开
08:18:04:  TCR调测工具（研发版）V1.0.0.4
08:18:19:  打开
08:18:24:  TCR调测工具（研发版）V1.0.0.4
08:18:29:  20200915
08:18:34:  K18_0000_20200915081353.log - [No filter file]* - TextAnalysisTool.NET
08:18:39:  Decode
08:18:44:  K18_0000_20200915081353.log - [No filter file] - TextAnalysisTool.NET
08:19:54:  锁屏状态
