08:00:43:  回复: DRB钞箱工程样机现有缺陷讨论会 会议纪要-----与总工沟通确认
08:01:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:03:38:  锁屏状态
08:03:48:  计算器
08:03:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:05:48:  自动播放
08:12:03:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:18:28:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:18:43:  新建文本文档.exe - 快捷方式
08:18:48:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:18:53:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:19:33:  自动播放
08:19:43:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:19:53:  设置 - CRS-64-1 - Visual Studio Code [管理员]
08:19:58:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:20:13:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:20:18:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:20:23:  设置 - CRS-64-1 - Visual Studio Code [管理员]
08:20:28:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:20:38:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:20:43:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:22:09:  Box_3__BTCR-1100190802300005_20200923133418.log - DRB.tat* - TextAnalysisTool.NET
08:22:24:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:22:29:  Box_3__BTCR-1100190802300005_20200923133418.log - DRB.tat* - TextAnalysisTool.NET
08:23:34:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:30:00:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:30:00:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:30:20:  ● CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:30:35:  CheckTheBookTital.py - CRS-64-1 - Visual Studio Code [管理员]
08:30:40:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:35:15:  ● CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:36:35:  设置 - CRS-64-1 - Visual Studio Code [管理员]
08:36:45:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:54:50:  Build Output
08:54:55:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:55:35:  TCR调测工具（研发版）V1.0.0.4
08:58:05:  钞箱配置
08:58:15:  TCR调测工具（研发版）V1.0.0.4
08:58:20:  CRS调试工具
08:58:25:  删除多个项目
08:58:30:  取款
08:58:35:  可接收
08:58:40:  TCR调测工具（研发版）V1.0.0.4
08:59:00:  20200924
08:59:05:  Decode
08:59:15:  锁屏状态
08:59:20:  K64_0000_20200924085839.log - [No filter file] - TextAnalysisTool.NET
08:59:25:  打开
