08:12:03:  风险提示：招标用DRB钞箱提供存在延期风险
08:12:13:  DRB--
08:12:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:13:13:  JLink - Cortex-M Error
08:13:48:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:13:58:  JLink - Cortex-M Error
08:14:23:  μVision
08:14:28:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:14:23:  μVision
08:14:28:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:21:58:  跳转列表
08:22:03:  本地磁盘 (D:)
08:25:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:25:58:  μVision
08:26:03:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:26:08:  JLink - Cortex-M Error
08:26:13:  μVision
08:26:28:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:26:48:  设置
08:26:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:30:03:  KE06LOG.bat - 快捷方式 (2)
08:30:03:  KE06LOG.bat - 快捷方式 (2)
08:30:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010090830.log
08:31:18:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:31:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision (未响应)
08:31:58:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:37:08:  μVision
08:37:13:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:38:23:  μVision
08:38:28:  JLink - Cortex-M Error
08:38:33:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:38:48:  JLink - Cortex-M Error
08:38:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
08:46:23:  V1.003
08:46:28:  TCR调测工具 V3.36
08:46:33:  发送指令到K06
08:46:38:  TCR调测工具 V3.36
08:46:48:  桌面整理
08:46:58:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:47:08:  TCR调测工具 V3.36
08:47:13:  发送指令到K06
08:47:18:  TCR调测工具 V3.36
08:47:23:  发送指令到K06
08:47:33:  TCR调测工具 V3.36
08:48:23:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:48:33:  发送指令到K06
08:48:48:  TCR调测工具 V3.36
08:52:03:  发送指令到K06
08:52:08:  TCR调测工具 V3.36
08:52:38:  发送指令到K06
08:52:48:  TCR调测工具 V3.36
09:03:28:  开始
09:03:53:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:04:53:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:05:13:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:10:03:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
09:10:13:  00-06
09:10:23:  DRB--
09:10:28:  检查更新
09:10:33:  工作副本
09:10:38:  Initial.c - TortoiseMerge
09:10:43:  Separate.c - TortoiseMerge
09:10:53:  State.c - TortoiseMerge
09:10:58:  D:\00-06\DRB-- - 工作副本 - TortoiseSVN
09:11:03:  State.c - TortoiseMerge
09:11:08:  SensorDriver.c - TortoiseMerge
09:11:13:  D:\00-06\DRB-- - 工作副本 - TortoiseSVN
09:11:18:  D:\00-06\DRB-- - 提交 - TortoiseSVN
09:11:28:  历史记录
09:11:38:  D:\00-06\DRB-- - 提交 - TortoiseSVN
09:14:28:  eSpace
09:15:03:  荆文波
09:14:28:  eSpace
09:15:03:  荆文波
09:15:09:  历史记录管理器
09:16:09:  荆文波
09:16:34:  Separate.c - TortoiseMerge
09:16:39:  D:\00-06\DRB-- - 提交 - TortoiseSVN
09:17:34:  Separate.c - TortoiseMerge
09:17:44:  TortoiseMerge
09:17:49:  SensorDriver.h - TortoiseMerge
09:17:54:  SensorDriver.c - TortoiseMerge
09:17:59:  State.c - TortoiseMerge
09:18:09:  Separate.c - TortoiseMerge
09:18:14:  D:\00-06\DRB-- - 提交 - TortoiseSVN
09:18:24:  提交 完成！
09:18:29:  D:\00-06\DRB-- - 日志信息 - TortoiseSVN
09:18:34:  State.c Revision 4084 - TortoiseMerge
09:18:44:  Update.c Revision 4110 - TortoiseMerge
09:18:49:  D:\00-06\DRB-- - 日志信息 - TortoiseSVN
09:18:54:  State.c Revision 4110 - TortoiseMerge
09:19:04:  荆文波
09:19:49:  D:\00-06\DRB-- - 日志信息 - TortoiseSVN
09:19:54:  荆文波
09:21:04:  taskeng.exe
09:21:09:  荆文波
09:21:44:  运行
09:21:49:  Excel
09:21:54:  周报及工作日志.xlsx  [受保护的视图] - Excel
09:22:04:  荆文波
09:22:14:  未命名 - 写邮件
09:22:24:  D:\00-06\DRB--\Project\CashBox_1T2.uvprojx - μVision
