08:09:53:  PostWork.py - 快捷方式
08:10:03:  桌面整理
08:10:23:  打开数据库
08:11:33:  自动播放
08:11:43:  iTunes
08:12:23:  自动播放
08:12:28:  收取邮件 - 张开发
08:15:03:  Program Manager
08:15:03:  Program Manager
08:21:28:  锁屏状态
08:21:33:  新标签页 - Google Chrome
08:21:43:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
08:27:08:  桌面整理
08:27:13:  Visual Studio Code
08:27:23:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code
08:27:28:  CashBoxModuleApp.c - CRS-64-1 - Visual Studio Code [管理员]
08:27:38:  打开文件夹
08:27:48:  Visual Studio Code
08:27:53:  PressurePlate.c - DRB-- - Visual Studio Code [管理员]
08:28:33:  于斌1
08:29:53:  PressurePlate.c - DRB-- - Visual Studio Code [管理员]
08:28:33:  于斌1
08:29:53:  PressurePlate.c - DRB-- - Visual Studio Code [管理员]
08:30:18:  MotorCtrl.c - DRB-- - Visual Studio Code [管理员]
08:30:23:  Separate.c - DRB-- - Visual Studio Code [管理员]
08:30:43:  CheckTheBookTital.py - DRB-- - Visual Studio Code [管理员]
08:30:58:  锁屏状态
08:31:03:  主页 - Internet Explorer
08:31:08:  新北洋OA信息化平台 - Internet Explorer
08:31:28:  测试需求通知单II类提交 - Internet Explorer
08:31:33:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
08:31:48:  新北洋OA信息化平台 - Internet Explorer
08:31:53:  CheckTheBookTital.py - DRB-- - Visual Studio Code [管理员]
08:32:13:  Separate.c - DRB-- - Visual Studio Code [管理员]
08:32:53:  CheckTheBookTital.py - DRB-- - Visual Studio Code [管理员]
08:32:58:  PaperManage.c - DRB-- - Visual Studio Code [管理员]
08:36:23:  库
08:36:28:  本地磁盘 (F:)
08:36:38:  20200514
08:36:43:  GTD.pyw - F:\20200514\GTD.pyw (3.7.3)
08:36:48:  Subversion
08:36:58:  W
08:37:03:  2020-10-09.txt - 记事本
08:37:13:  W
08:37:53:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
08:38:48:  于斌1
08:43:18:  TCR调测工具 V3.36
08:43:23:  可接收
08:43:28:  钞箱配置
08:43:43:  TCR调测工具 V3.36
08:45:58:  取款
08:46:08:  TCR调测工具 V3.36
08:46:28:  取款
08:46:38:  TCR调测工具 V3.36
08:48:58:  取款
08:49:18:  TCR调测工具 V3.36
