08:02:08:  回复: 回复: 关于自研TCR机芯BV升级的业务联络【BV再次升级】
08:02:33:  Plate.c - TortoiseMerge
08:02:43:  eSpace
08:05:48:  Plate.c - TortoiseMerge
08:13:23:  回复: 招标DRB样机（4台）发货测试~2020.10.17
08:15:18:  回复: DRB出厂测试软件更改申请
08:17:18:  WinRAR
08:17:28:  Plate.c - TortoiseMerge
08:22:33:  密码锁
08:22:38:  荆文波
08:22:48:  D:\00-06\DRB-NearFull - 日志信息 - TortoiseSVN
08:22:53:  跳转列表
08:22:58:  D:\00-06\1T1-82\Middlewares\Plate\Plate.c (1T1-82) - Sublime Text (UNREGISTERED)
08:23:03:  跳转列表
08:23:08:  Visual Studio Code
08:23:13:  欢迎使用 - DRB-NearFull - Visual Studio Code [管理员]
08:23:43:  PlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:23:48:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
08:24:48:  设置 - DRB-NearFull - Visual Studio Code [管理员]
08:24:58:  PlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:26:08:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:34:50:  TCR调测工具 V3.36
08:34:55:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:35:15:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
08:35:20:  设置 - DRB-NearFull - Visual Studio Code [管理员]
08:35:25:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:35:35:  TCR调测工具 V3.36
08:35:45:  钞箱配置
08:35:55:  TCR调测工具 V3.36
08:39:30:  取款
08:39:35:  TCR调测工具 V3.36
08:41:50:  BTCRTestTool
08:41:55:  取款
08:42:00:  TCR调测工具 V3.36
09:22:20:  钞箱配置
09:22:25:  TCR调测工具 V3.36
09:22:30:  新建文本文档.exe - 快捷方式
09:23:00:  DRB测试缺陷列表.xlsx
09:23:16:  TCR调测工具 V3.36
09:23:36:  （上海+邮储）DRB钞箱发货测试
09:23:41:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
09:23:46:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:23:51:  Box_3__BTCR-1100190803000_20201019103004.log - DRB.tat* - TextAnalysisTool.NET
09:23:56:  TCR调测工具 V3.36
09:24:01:  取款
09:24:06:  TCR调测工具 V3.36
09:24:21:  K64_BTCR-1100200600510420_20201017103524
09:24:26:  TCR调测工具 V3.36
09:24:36:  BTCRTestTool V3.36
09:24:41:  TCR调测工具 V3.36
09:24:51:  BTCRTestTool V3.36
09:24:56:  20201020
09:25:06:  锁屏状态
09:25:11:  TCR调测工具 V3.36
09:25:31:  20201020
09:25:56:  Decode
09:26:01:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:26:06:  K64_BTCR-1100190803000_20201020092415
09:26:11:  Box_3__BTCR-1100190803000_20201020092415.log - DRB.tat* - TextAnalysisTool.NET
09:26:46:  D:\00-06\DRB--\Middlewares\Sensor\Sensor.c (DRB--) - Sublime Text (UNREGISTERED)
09:26:56:  Add Filter
09:27:06:  D:\00-06\DRB--\Applications\MotorCtrl\MotorCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
09:27:11:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.c (DRB--) - Sublime Text (UNREGISTERED)
09:27:31:  1T1-Stop-Length
09:27:36:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:27:46:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.c (DRB--) - Sublime Text (UNREGISTERED)
09:28:06:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.h (DRB--) - Sublime Text (UNREGISTERED)
09:28:16:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
09:29:26:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.c (DRB--) - Sublime Text (UNREGISTERED)
09:29:36:  TCR调测工具 V3.36
09:29:56:  钞箱传感器
09:30:01:  TCR调测工具 V3.36
09:28:06:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.h (DRB--) - Sublime Text (UNREGISTERED)
09:28:16:  D:\00-06\DRB--\Applications\Track\Track.c (DRB--) - Sublime Text (UNREGISTERED)
09:29:26:  D:\00-06\DRB--\Applications\PaperManage\PaperManage.c (DRB--) - Sublime Text (UNREGISTERED)
09:29:36:  TCR调测工具 V3.36
09:29:56:  钞箱传感器
09:30:01:  TCR调测工具 V3.36
09:30:26:  Box_3__BTCR-1100190803000_20201020092415.log - DRB.tat* - TextAnalysisTool.NET
09:37:11:  TCR调测工具 V3.36
09:39:11:  计算器
09:39:21:  TCR调测工具 V3.36
09:39:31:  计算器
09:39:36:  TCR调测工具 V3.36
09:44:56:  取款
09:45:01:  TCR调测工具 V3.36
09:44:56:  取款
09:45:01:  TCR调测工具 V3.36
09:46:21:  取款
09:46:31:  TCR调测工具 V3.36
09:49:26:  Decode
09:49:36:  20201019
09:49:41:  BTCRTestTool V3.36
09:49:46:  20201020
09:50:06:  ID-20 10元5元混合纸币，纸币进入钞箱，10元纸币进入下腔
09:50:16:  20201019
09:50:26:  20201020
09:50:51:  Decode
09:50:56:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:51:06:  K64_BTCR-1100190803000_20201020094841
09:51:11:  Box_4__BTCR-1100190803000_20201020094841.log - DRB.tat* - TextAnalysisTool.NET
09:51:56:  K64_BTCR-1100190803000_20201020094841
09:52:01:  Decode
09:52:06:  Box_4__BTCR-1100190803000_20201020094841.log - DRB.tat* - TextAnalysisTool.NET
09:54:16:  选择文件夹
09:54:21:  untitled (DRB--) - Sublime Text (UNREGISTERED)
09:54:31:  D:\00-06\DRB--\Applications\PlateCtrl\UpperPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
09:54:51:  Box_4__BTCR-1100190803000_20201020094841.log - DRB.tat* - TextAnalysisTool.NET
09:57:56:  C:\Windows\py.exe
09:58:01:  TheDateInfo.xls  [兼容模式] - Excel
10:00:06:  TCR调测工具 V3.36
10:01:26:  取款
10:01:31:  TCR调测工具 V3.36
10:01:56:  锁屏状态
10:02:01:  20201020
10:02:06:  TCR调测工具 V3.36
10:02:26:  20201020
10:02:31:  TCR调测工具 V3.36
10:02:36:  20201020
10:02:41:  TCR调测工具 V3.36
10:03:06:  20201020
10:03:11:  文件夹正在使用
10:03:16:  20201020
10:03:21:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:03:31:  Box_4__BTCR-1100190803000_20201020094841.log - DRB.tat* - TextAnalysisTool.NET
10:03:36:  Box_4__BTCR-1100190803000_20201020100129.log - DRB.tat* - TextAnalysisTool.NET
10:03:51:  K64_BTCR-1100190803000_20201020100129
10:03:56:  锁屏状态
10:04:01:  K64_BTCR-1100190803000_20201020100129
10:04:06:  TheDateInfo.xls  [兼容模式] - Excel
10:04:46:  TCR调测工具 V3.36
10:06:56:  取款
10:07:01:  TCR调测工具 V3.36
10:09:01:  20201020
10:09:11:  取款
10:09:16:  TCR调测工具 V3.36
10:14:01:  20201020
10:14:06:  BTCRTestTool
10:14:11:  TCR调测工具 V3.36
10:14:06:  BTCRTestTool
