08:04:38:  ClassLog333.py - [C:\Users\zhangkaifa\AppData\Local\Temp\ClassLog333.py] - ClassLog333.py - PyCharm Community Edition 2017.1.5
08:06:13:  新建文件夹
08:06:18:  C:\Users\zhangkaifa\Desktop\新建文件夹\K18_0000_20201021170003.log (DRB--) - Sublime Text (UNREGISTERED)
08:06:23:  C:\Users\zhangkaifa\Desktop\新建文件夹\K18_0000_20201021170003.log • (DRB--) - Sublime Text (UNREGISTERED)
08:06:28:  新建文件夹
08:06:43:  桌面整理
08:06:53:  log2.txt - 记事本
08:06:58:  查找
08:07:03:  log2.txt - 记事本
08:07:08:  log0.txt - 记事本
08:07:18:  查找
08:07:23:  新建文件夹
08:07:28:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:07:53:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)*
08:08:08:  新建文件夹
08:08:13:  *Python 3.7.3 Shell*
08:08:18:  新建文件夹
08:08:23:  *Python 3.7.3 Shell*
08:08:48:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:08:58:  C:\Users\zhangkaifa\Desktop\新建文件夹\K18_0000_20201021170003.log (DRB--) - Sublime Text (UNREGISTERED)
08:19:28:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:19:38:  *Python 3.7.3 Shell*
08:19:48:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:20:13:  SyntaxError
08:20:18:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:20:23:  Save Before Run or Check
08:20:28:  *Python 3.7.3 Shell*
08:20:33:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:20:53:  *ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)*
08:21:03:  新建文件夹
08:21:08:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:21:13:  新建文件夹
08:21:18:  删除多个项目
08:21:23:  ClassLog333.py - C:\Users\zhangkaifa\Desktop\新建文件夹\ClassLog333.py (3.7.3)
08:21:48:  新建文件夹
08:29:53:  00-18
08:29:58:  本地磁盘 (E:)
08:30:03:  深圳出差
08:29:53:  00-18
08:29:58:  本地磁盘 (E:)
08:30:03:  深圳出差
08:30:13:  KE18-ESS
08:30:18:  新建文本文档.exe - 快捷方式
08:30:23:  KE18-ESS
08:30:33:  D:\CRS\KE18-ESS - 工作副本 - TortoiseSVN
08:30:38:  CRS
08:30:43:  D:\CRS\KE18-UP - 工作副本 - TortoiseSVN
08:30:48:  KE18-UP
08:30:53:  CRS
08:30:58:  D:\CRS\KE18-UP - 工作副本 - TortoiseSVN
08:31:03:  InstrExe.c - TortoiseMerge
08:31:08:  D:\CRS\KE18-UP - 日志信息 - TortoiseSVN
08:31:23:  KE18-UP
08:31:28:  Update.c - TortoiseMerge
08:31:48:  ImpellerCtrl.c - TortoiseMerge
08:31:58:  D:\CRS\KE18-UP - 工作副本 - TortoiseSVN
08:32:03:  TortoiseSVN
08:32:08:  CRS
08:32:13:  5555
