08:03:09:  提交 完成！
08:03:24:  副本20200623 TCR DRB工程样机评审报告20200623.xlsx
08:04:39:  K64
08:04:54:  远程邮箱管理
08:05:04:  K64
08:05:09:  本地磁盘 (E:)
08:05:14:  44
08:05:19:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
08:05:24:  44
08:05:29:  Tool
08:05:34:  LogDecrypt
08:05:39:  CRS调试工具
08:05:44:  20201026
08:05:49:  文件夹正在使用
08:05:54:  20201026
08:06:04:  Decode
08:06:14:  log_decrypt.c (已删除) - DRB-NearFull - Visual Studio Code [管理员]
08:16:14:  11.cpp - DRB-NearFull - Visual Studio Code [管理员]
08:16:19:  LogDecrypt
08:16:24:  D:\Tool\LogDecrypt\log_decrypt_class.c (trunk) - Sublime Text (UNREGISTERED)
08:16:39:  D:\00-KE64\新建文件夹\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
08:16:54:  选择文件夹
08:18:09:  缺陷文件
08:18:29:  中试生产验证测试
08:18:34:  缺陷文件
08:18:39:  IMG_20201016_133756.jpg - Windows 照片查看器
08:18:44:  Decode
08:18:54:  LogDecrypt
08:20:44:  Decode
08:20:49:  K64_BTCR-1100200700510494_20201016133131.log - [No filter file] - TextAnalysisTool.NET
08:21:09:  打开
08:21:14:  [No file loaded] - DRB.tat - TextAnalysisTool.NET
08:21:19:  K64_BTCR-1100200700510494_20201016133131.log - DRB.tat - TextAnalysisTool.NET
08:21:29:  打开文件夹
08:21:34:  K64_BTCR-1100200700510494_20201016133131.log - DRB.tat - TextAnalysisTool.NET
08:24:14:  桌面整理
08:24:19:  查找
08:24:24:  ErrCode_list_txt_flg.txt - 记事本
08:24:29:  K64_BTCR-1100200700510494_20201016133131.log - DRB.tat - TextAnalysisTool.NET
08:25:09:  Decode
08:25:14:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat - TextAnalysisTool.NET
08:26:34:  Decode
08:26:39:  CRS-64
08:26:44:  D:\00-KE64\CRS-64 - 日志信息 - TortoiseSVN
08:27:09:  LogHandle.c Revision 599 - TortoiseMerge
08:27:14:  D:\00-KE64\CRS-64 - 日志信息 - TortoiseSVN
08:27:19:  CRS-64
08:27:54:  K64_BTCR-1100200700510494_20201016133311.log - DRB.tat - TextAnalysisTool.NET
08:28:44:  Decode
08:28:49:  K64_BTCR-1100200700510494_20201016133131.log - DRB.tat - TextAnalysisTool.NET
08:28:54:  锁屏状态
08:28:59:  CRS调试工具
08:29:04:  Decode
08:29:09:  20201024
08:29:14:  20201023
08:29:19:  Decode
08:29:24:  回收
08:29:29:  20201023
08:29:39:  ESC_0000_20201023150444.log - [No filter file] - TextAnalysisTool.NET
08:29:49:  ESC_0000_20201023150421.log - [No filter file] - TextAnalysisTool.NET
08:29:54:  ESC_0000_20201023150049.log - [No filter file] - TextAnalysisTool.NET
08:29:59:  20201023
08:28:44:  Decode
08:28:49:  K64_BTCR-1100200700510494_20201016133131.log - DRB.tat - TextAnalysisTool.NET
08:28:54:  锁屏状态
08:28:59:  CRS调试工具
08:29:04:  Decode
08:29:09:  20201024
08:29:14:  20201023
08:29:19:  Decode
08:29:24:  回收
08:29:29:  20201023
08:29:39:  ESC_0000_20201023150444.log - [No filter file] - TextAnalysisTool.NET
08:29:49:  ESC_0000_20201023150421.log - [No filter file] - TextAnalysisTool.NET
08:29:54:  ESC_0000_20201023150049.log - [No filter file] - TextAnalysisTool.NET
08:29:59:  20201023
08:30:34:  Decode
08:30:39:  CS_0000_20201023150444.log - [No filter file] - TextAnalysisTool.NET
08:30:44:  Decode
