09:21:13:  邮储+广发 招标DRB样机（4台）发货测试~2020.10.30
09:21:28:  taskeng.exe
09:21:43:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:25:28:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:25:38:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:25:48:  设置 - DRB-NearFull - Visual Studio Code [管理员]
09:26:23:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:26:53:  密码锁
09:26:58:  0-工作 - 张开发 - 印象笔记
09:27:03:  所有笔记本 - 张开发 - 印象笔记
09:27:13:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:27:28:  自动播放
09:30:43:  Network Flyout
09:30:48:  网络连接
09:31:13:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:31:18:  设置 - DRB-NearFull - Visual Studio Code [管理员]
09:31:23:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:31:28:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:31:33:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
09:31:38:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:33:24:  TCR调测工具 V3.36
09:34:04:  BTCRTestTool
09:34:09:  可接收
09:34:14:  钞箱配置
09:34:24:  TCR调测工具 V3.36
09:35:59:  桌面整理
09:36:04:  无名文件 - CAXA电子图板2005(企业版)
09:36:09:  C:\Users\zhangkaifa\Desktop\固件用TCR整机2D图-20180502.exb - CAXA电子图板2005(企业版)
09:37:20:  BTCRTestTool
09:37:25:  TCR调测工具 V3.36
09:38:05:  取款
09:38:10:  BTCRTestTool
09:38:15:  TCR调测工具 V3.36
09:39:00:  取款
09:39:05:  TCR调测工具 V3.36
09:41:35:  取款
09:41:40:  TCR调测工具 V3.36
09:43:00:  钞箱配置
09:43:10:  TCR调测工具 V3.36
09:43:40:  取款
09:43:45:  TCR调测工具 V3.36
09:44:35:  跳转列表
09:44:40:  BTCRTestTool V3.36
09:44:45:  BTCRTestTool V3.36 (未响应)
09:44:35:  跳转列表
09:44:40:  BTCRTestTool V3.36
09:44:45:  BTCRTestTool V3.36 (未响应)
09:45:25:  TCRControlCmdDLL
09:45:30:  20201031
09:45:35:  Decode
09:45:40:  回收 
09:45:45:  Windows 任务管理器
09:46:00:  LOG
09:46:05:  TCR调测工具 V3.36
09:46:20:  打开
09:46:25:  TCR调测工具 V3.36
09:47:20:  取款
09:47:25:  TCR调测工具 V3.36
09:48:25:  取款
09:48:30:  TCR调测工具 V3.36
09:50:00:  钞箱配置
09:50:10:  TCR调测工具 V3.36
09:51:20:  取款
09:51:25:  TCR调测工具 V3.36
09:52:40:  取款
09:52:50:  TCR调测工具 V3.36
09:56:05:  本地磁盘 (E:)
09:56:10:  .exb - Everything
09:56:15:  chaoxia - Everything
09:56:20:  钞箱 - Everything
09:56:25:  TCR-05-00（20181221）
09:56:30:  「开始」菜单
09:56:35:  TCR-05-00（20181221）
09:57:20:  文件打开
09:57:35:  TCR-05-00 (活动的) - Creo Parametric 2.0
10:02:15:   
10:02:20:  TCR-05-00 (活动的) - Creo Parametric 2.0
10:07:10:  于斌1
10:07:20:  eSpace
10:07:30:  于斌1
10:07:50:  TCR-05-00（20181221）
10:08:11:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:08:51:  于斌1
10:09:01:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:12:01:  新建文本文档.exe - 快捷方式
10:12:06:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:12:11:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:12:31:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:12:36:  新建文本文档.exe - 快捷方式
10:12:41:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:12:56:  网络连接
10:13:06:  确认
10:13:11:  网络连接
10:13:16:  Creo 2.0 from PTC
10:13:21:  禁用连接出错
10:15:56:  网络连接
10:16:01:  运行
10:16:06:  计算机
10:33:36:  ESET NOD32 Antivirus
10:33:41:  TCR调测工具 V3.36
10:34:31:  钞箱配置
10:34:46:  TCR调测工具 V3.36
10:35:56:  自动播放
10:36:31:  TCR调测工具 V3.36
10:37:41:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:37:51:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:37:56:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:38:06:  ● CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:38:11:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
10:39:06:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:44:36:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:44:41:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:44:36:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:44:41:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:45:31:  ● LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:45:56:  TCR调测工具 V3.36
10:46:01:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:49:06:  TCR调测工具 V3.36
10:49:11:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:49:36:  计算机
10:49:51:  「开始」菜单
10:49:56:  192.168.28.47
10:50:01:  13 CRS日志
10:50:06:  Excel
10:50:11:  副本10.5-7CRS测试日志分析20201029
10:50:21:  副本10.5-7CRS测试日志分析20201029.xlsx
10:50:26:  副本10.5-7CRS测试日志分析20201029.xlsx  [只读] - Excel
