08:07:48:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
08:07:53:  广发银行招标DRB样机（2台）发货测试~2020.11.05
08:08:38:  D:\00-06\DRB--\Applications\PlateCtrl\UpperPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
08:09:33:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:18:03:  新北洋OA信息化平台 - Internet Explorer
08:18:18:  1_需求申请人_支款申请 - Internet Explorer
08:19:13:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:20:03:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c • (666) - Sublime Text (UNREGISTERED)
08:20:13:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:20:23:  D:\CRS\666\Applications\PPCtrl\PPCtrl.c (666) - Sublime Text (UNREGISTERED)
08:21:03:  D:\CRS\666\Applications\PlateCtrl\PlateCtrl.c (666) - Sublime Text (UNREGISTERED)
08:21:58:  E:\深圳出差\44\Applications\FlowControl\TrackModule\TrackModule.c (44) - Sublime Text (UNREGISTERED)
08:22:03:  D:\00-06\DRB--\Applications\PlateCtrl\UpperPlateCtrl.c (DRB--) - Sublime Text (UNREGISTERED)
08:22:08:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:22:18:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c • (666) - Sublime Text (UNREGISTERED)
08:22:23:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:22:33:  自动播放
08:23:03:  荆文波
08:23:13:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:23:43:  V1.003
08:23:48:  TCR调测工具 V3.36
08:24:33:  荆文波
08:25:03:  TCR调测工具 V3.36
08:26:38:  荆文波
08:26:43:  TCR调测工具 V3.36
08:26:48:  Box_1__BTCR-1100200600510420_20201105103247.log - DRB.tat* - TextAnalysisTool.NET
08:26:53:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:27:23:  主页 - Internet Explorer
08:27:28:  新北洋OA信息化平台 - Internet Explorer
08:27:58:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:28:03:  锁屏状态
08:28:13:  固件代码走读要素V1.03 .xls
08:29:23:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:29:53:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c • (666) - Sublime Text (UNREGISTERED)
08:29:58:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:28:13:  固件代码走读要素V1.03 .xls
08:29:23:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:29:53:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c • (666) - Sublime Text (UNREGISTERED)
08:29:58:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:30:28:  钞箱配置
08:30:33:  TCR调测工具 V3.36
08:32:48:  钞箱配置
08:33:08:  TCR调测工具 V3.36
08:35:43:  锁屏状态
08:35:48:  log
08:35:53:  20201106
08:36:03:  Decode
08:36:08:  TCR调测工具 V3.36
08:36:18:  打开
08:36:28:  TCR调测工具 V3.36
08:37:18:  LOG
08:37:23:  20201106
08:37:33:  K64_BTCR-1100190803000_20201106083641
08:37:38:  Box_3__BTCR-1100190803000_20201106083641.log - DRB.tat* - TextAnalysisTool.NET
08:38:23:  托板控制
08:39:18:  BTCRTestTool
08:39:58:  托板控制
