08:17:09:  TCR调测工具（研发版）V1.0.0.4
08:17:14:  V1.003
08:17:19:  TCR调测工具 V3.36
08:18:09:  新建文件夹 (2)
08:18:14:  TCR调测工具 V3.36
08:18:19:  钞箱配置
08:19:04:  TCR调测工具 V3.36
08:19:54:  盘点
08:20:04:  TCR调测工具 V3.36
08:20:54:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
08:21:04:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c • (44) - Sublime Text (UNREGISTERED)
08:21:24:  TCR调测工具 V3.36
08:22:44:  打开
08:22:54:  TCR调测工具 V3.36
08:23:09:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c • (44) - Sublime Text (UNREGISTERED)
08:23:14:  TCR调测工具 V3.36
08:25:24:  D:\CRS\666\Applications\ImpellerCtrl\ImpellerCtrl.c (666) - Sublime Text (UNREGISTERED)
08:25:29:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
08:25:44:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
08:26:14:  计算器
08:26:24:  D:\00-06\1T1-Stop-Length\trunk\Middlewares\Plate\Plate.c (trunk) - Sublime Text (UNREGISTERED)
08:26:34:  锁屏状态
08:26:39:  00-06
08:26:44:  1T1-82
08:26:54:  TCR调测工具 V3.36
08:26:59:  打开
08:27:09:  TCR调测工具 V3.36
08:28:09:  钞箱配置
08:28:19:  TCR调测工具 V3.36
08:28:49:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
08:29:04:  1T1-82
08:29:09:  TCR调测工具 V3.36
08:29:59:  盘点
08:30:04:  TCR调测工具 V3.36
08:28:09:  钞箱配置
08:28:19:  TCR调测工具 V3.36
08:28:49:  D:\00-06\1T1-82 - 日志信息 - TortoiseSVN
08:29:04:  1T1-82
08:29:09:  TCR调测工具 V3.36
08:29:59:  盘点
08:30:04:  TCR调测工具 V3.36
08:30:09:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:30:24:  1T1-82
08:30:39:  锁屏状态
08:30:44:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:31:04:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:31:09:  TCR调测工具 V3.36
08:31:19:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:31:49:  TCR调测工具 V3.36
08:31:59:  盘点
08:32:04:  TCR调测工具 V3.36
08:32:09:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:33:49:  TCR调测工具 V3.36
08:33:54:  盘点
08:33:59:  TCR调测工具 V3.36
08:34:34:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:34:39:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:34:44:  Symbol 'LockInit(enum {...})' redeclared (Arg. no. 1: enum/enum) conflicts with line 42, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Middlewares\Lock\Lock.h - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:35:19:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:35:24:  TCR调测工具 V3.36
08:35:39:  运行
08:35:44:  Program Manager
08:35:49:  新建文件夹 (2)
08:35:54:  fenxi
08:35:59:  zhangkaifa
08:36:09:  正在打开 - Word
08:36:14:  张开发 威海市万名大学生聚集计划生活津贴申请表.docx [兼容模式] - Word
08:36:19:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:36:24:  06- 刘建生
08:36:29:  TCR
08:36:34:  模块方案
08:36:39:  日立通道电机控制
08:36:44:  历史版本
08:36:49:  TCR
08:36:54:  06- 刘建生
08:36:59:  11 TCR模具样机评审材料
08:37:04:  桌面整理
08:37:09:  . - 06- 刘建生
08:37:14:  .exb - “06- 刘建生”中的搜索结果
08:37:29:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:37:34:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\04 会议纪要\02 沟通研讨会\20161123 TCR专利申请挖掘会（第一轮）\发掘文件\TCR布局.exb - CAXA电子图板2005(企业版)
08:37:44:  日积月累
08:37:49:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\20200818_CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:37:59:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:38:04:  TCR调测工具 V3.36
08:38:09:  锁屏状态
08:38:14:  PaperManage.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:38:24:  无名文件 - CAXA电子图板2005(企业版)
08:38:29:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:39:19:  TCR调测工具 V3.36
08:39:29:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:39:49:  锁屏状态
08:39:59:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:40:04:  TCR调测工具 V3.36
08:40:09:  锁屏状态
08:40:19:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS传感器距离.exb - CAXA电子图板2005(企业版)
08:40:29:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c • (44) - Sublime Text (UNREGISTERED)
08:40:39:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
