08:07:16:  InstrHandle.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:07:21:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:07:56:  D:\00-06\DRB-NearFull\Middlewares\Plate\LowerPlate.c (DRB-NearFull) - Sublime Text (UNREGISTERED)
08:08:11:  选择文件夹
08:08:36:  untitled (666) - Sublime Text (UNREGISTERED)
08:08:41:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:09:16:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c • (666) - Sublime Text (UNREGISTERED)
08:10:06:  Too few initializers for aggregate 'sInstrStruct' of type 'const INSTR_STRUCT [98]' - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:17:31:  自动播放
08:18:01:  「开始」菜单
08:18:06:  计算器
08:33:16:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:33:31:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:33:41:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:33:51:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:33:56:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:34:31:  「开始」菜单
08:34:36:  桌面整理
08:34:41:  Subversion
08:34:51:  Catch7D61(08-06-08-48-21).jpg - Windows 照片查看器
08:34:56:  Catch9EB5(08-06-08-48-21).jpg - Windows 照片查看器
08:35:01:  Subversion
08:35:06:  CS - Everything
08:35:11:  Adobe Photoshop CS3
08:35:21:  eSpace
08:35:31:  Adobe Photoshop CS3
08:36:31:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:36:41:  D:\00-06\dsdsf\branches\BR-1-CashBox1T2-Press\Project\build\CashBox.map (666) - Sublime Text (UNREGISTERED)
08:36:46:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:36:56:  本地磁盘 (D:)
08:37:01:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:37:06:  新标签页 - Google Chrome
08:37:16:  百度一下，你就知道 - Google Chrome
08:37:26:  币安_百度搜索 - Google Chrome
08:37:31:  比特币交易平台 | 数字货币交易平台 | 币安 - Google Chrome
08:37:41:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
08:37:51:  18,270.28 | BTCUSDT | Binance Spot - Google Chrome
08:37:56:  18,270.27 | BTCUSDT | Binance Spot - Google Chrome
08:38:01:  18,262.85 | BTCUSDT | Binance Spot - Google Chrome
08:38:06:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:45:28:  本地磁盘 (F:)
08:45:38:  Adobe Photoshop CS3
08:45:48:  Adobe Photoshop CS3 Extended
08:45:58:  刘雅银行流水.pdf
08:46:08:  桌面整理
08:46:13:  Adobe Photoshop CS3 Extended
08:46:28:  新建文本文档.exe - 快捷方式
08:46:33:  新标签页 - Google Chrome
08:46:38:  百度一下，你就知道 - Google Chrome
08:46:48:  PDF在线JPEG_百度搜索 - Google Chrome
08:46:58:  打开
08:47:08:  PDF转JPG——免费在线PDF转成图片格式 - Google Chrome
08:47:43:  桌面整理
08:47:48:  112408472416_0刘雅学历验证_1.Jpeg - Windows 照片查看器
08:47:58:  PDF转JPG——免费在线PDF转成图片格式 - Google Chrome
08:48:03:  打开
08:48:08:  PDF转JPG——免费在线PDF转成图片格式 - Google Chrome
08:48:18:  112408480570_0刘雅银行流水_1.Jpeg - Windows 照片查看器
08:48:28:  112408480570_0刘雅银行流水.zip - WinRAR (非商业个人版)
08:48:33:  桌面整理
08:48:48:  回复: 刘雅银行流水 - 写邮件
08:48:53:  桌面整理
08:48:58:  回复: 刘雅银行流水 - 写邮件
08:49:18:  发送邮件
08:49:53:  开始
08:49:58:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:52:08:  桌面整理
08:52:33:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:52:38:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:53:03:  新建文本文档.exe - 快捷方式
08:53:08:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
08:53:48:  开始
08:53:53:  新标签页 - Google Chrome
08:54:03:  18,320.31 | BTCUSDT | Binance Spot - Google Chrome
08:54:08:  18,321.59 | BTCUSDT | Binance Spot - Google Chrome
08:54:13:  比特币交易平台 | 数字货币交易平台 | 币安 - Google Chrome
08:54:18:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
08:55:03:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
08:56:08:  计算器
08:56:53:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:10:18:  iTunes
09:10:23:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:10:28:  计算器
09:10:58:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:11:28:  登录 | 币安 - Google Chrome
09:11:33:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:11:43:  登录 | 币安 - Google Chrome
09:11:48:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:11:53:  登录 | 币安 - Google Chrome
09:12:03:  https://accounts.binancezh.pro/cn/confirm-new-device?email=782464270%40qq.com&return_to=aHR0cHM6Ly9jMmMuYmluYW5jZXpoLnByby9jbi90cmFkZS9idXkvVVNEVA%3D%3D&userType=newYubikey - Google Chrome
09:12:53:  总览 - 币安 - Google Chrome
09:13:18:  提现 - 钱包 - 币安 - Google Chrome
09:13:28:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:13:33:  锁屏状态
09:13:38:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:14:18:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:33:  新标签页 - Google Chrome
09:14:38:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:14:43:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:53:  Boolean within 'if' always evaluates to False [Reference: file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Applications\HistoryRecord\HistoryRecord.c: line 140] - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:58:  local typedef 'SYSTEM_TIME' (line 272, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Applications\Instruction\InstrExecute.c) not referenced - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:18:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:33:  新标签页 - Google Chrome
09:14:38:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:14:43:  问题 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:53:  Boolean within 'if' always evaluates to False [Reference: file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Applications\HistoryRecord\HistoryRecord.c: line 140] - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:14:58:  local typedef 'SYSTEM_TIME' (line 272, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Applications\Instruction\InstrExecute.c) not referenced - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:15:08:  CS - Everything
09:15:13:  00-06
09:15:23:  BR-1-CashBox1T2-Press
09:15:28:  D:\00-06\dsdsf\branches\BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:15:33:  Application.c Revision 4148 - TortoiseMerge
09:15:53:  BR-1-CashBox1T2-Press
09:15:58:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:16:13:  local typedef 'SYSTEM_TIME' (line 272, file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Applications\Instruction\InstrExecute.c) not referenced - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:16:18:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:17:58:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:18:03:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:18:08:  BR-1-CashBox1T2-Press
09:18:13:  D:\00-06\dsdsf\branches\BR-1-CashBox1T2-Press - 日志信息 - TortoiseSVN
09:18:33:  LowerPlate.c - TortoiseMerge
09:18:53:  活动 - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:19:23:  BR-1-CashBox1T2-Press
09:19:28:  新标签页 - Google Chrome
09:19:43:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:19:58:  BR-1-CashBox1T2-Press
09:20:03:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:20:23:  锁屏状态
09:20:28:  新标签页 - Google Chrome
09:20:33:  18,255.39 | BTCUSDT | Binance Spot - Google Chrome
09:20:43:  新建文本文档.exe - 快捷方式
09:20:48:  www.binancezh.pro - Google Chrome
09:20:53:  18,489.99 | BTCUSDT | Binance Spot - Google Chrome
09:20:58:  比特币交易｜比特币交易平台｜数字货币交易平台｜币安 - Google Chrome
09:21:08:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:23:48:  网易有道词典
09:23:53:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:23:58:  网易有道词典
09:30:59:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
09:33:39:  新标签页 - Google Chrome
09:33:54:  FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:33:59:  Possible access of out-of-bounds pointer (1 beyond end of data) by operator '[' [Reference: file E:\gujian-2_share\checkout\Project\BTCR-1100\FW_BTCR-1100_K06_MAIN\branches\BR-1-CashBox1T2-Press\Drivers\PeripheralDriver\Ke06bsp\ftm.c: lines 302, 323] - FW_BTCR-1100_K06_MAIN%branches%BR-1-CashBox1T2-Press - Google Chrome
09:35:04:  Separate.c - BR-1-CashBox1T2-Press - Visual Studio Code [管理员]
