08:05:38:  iTunes
08:05:48:  K18_0000_20201109151103
08:05:53:  Decode
08:05:58:  fenxi
08:06:03:  新建文件夹
08:06:13:  K64_12345678_20201126153107.log - [No filter file]* - TextAnalysisTool.NET
08:06:18:  新建文件夹
08:06:23:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:06:48:  Add Filter
08:06:53:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:07:18:  Add Filter
08:07:23:  D:\CRS\666\Applications\PPCtrl\PPCtrl.c (666) - Sublime Text (UNREGISTERED)
08:07:28:  D:\CRS\666\Applications\InstrExp\InstrExe.c (666) - Sublime Text (UNREGISTERED)
08:07:48:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:07:53:  D:\CRS\666\Applications\InstrExp\InstrExe.c (666) - Sublime Text (UNREGISTERED)
08:08:03:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:08:08:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:08:13:  E:\深圳出差\44\Applications\FlowControl\FlowCtrl.c (666) - Sublime Text (UNREGISTERED)
08:08:18:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:08:28:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.h (666) - Sublime Text (UNREGISTERED)
08:08:33:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:09:03:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:09:08:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:09:13:  D:\CRS\666\Applications\InstrExp\InstrExe.c (666) - Sublime Text (UNREGISTERED)
08:09:24:  D:\CRS\666\Applications\InstrExp\InstrExp.h (666) - Sublime Text (UNREGISTERED)
08:09:29:  D:\CRS\666\Applications\InstrExp\InstrExp.c (666) - Sublime Text (UNREGISTERED)
08:09:44:  D:\CRS\666\Applications\InstrExp\InstrExp.h (666) - Sublime Text (UNREGISTERED)
08:09:49:  D:\CRS\666\Applications\InstrExp\InstrExp.c (666) - Sublime Text (UNREGISTERED)
08:10:04:  D:\CRS\666\Applications\InstrExp\InstrExe.c (666) - Sublime Text (UNREGISTERED)
08:10:34:  D:\CRS\666\Applications\TrackMotorCtrl\TrackMotorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:11:04:  D:\CRS\666\Applications\InstrExp\InstrExe.c (666) - Sublime Text (UNREGISTERED)
08:11:14:  D:\CRS\666\Applications\InstrExp\InstrExp.c (666) - Sublime Text (UNREGISTERED)
08:11:19:  D:\CRS\666\Applications\InstrExp\InstrExp.h (666) - Sublime Text (UNREGISTERED)
08:11:29:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:11:44:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:11:54:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:13:49:  D:\CRS\666\Applications\PPCtrl\PPCtrl.c (666) - Sublime Text (UNREGISTERED)
08:13:59:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:14:04:  D:\CRS\666\Middlewares\Plate\Plate.h (666) - Sublime Text (UNREGISTERED)
08:14:09:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:15:04:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:14:09:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:15:04:  K18_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:15:29:  Plate.c - trunk - Visual Studio Code [管理员]
08:15:34:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:17:34:  收取邮件 - 张开发
08:17:39:  eSpace
08:17:44:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:19:09:  锁屏状态
08:19:14:  新建文件夹
08:19:19:  K64_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:20:04:  网易有道词典
08:20:14:  Tools
08:20:19:  CRS
08:20:29:  106
08:20:34:  检出
08:20:39:   - 版本库浏览器 - TortoiseSVN
08:20:49:  http://192.168.10.9:82/svn/BNE-R1200M - 版本库浏览器 - TortoiseSVN
08:20:59:  http://192.168.10.9:82/svn/BNE-R1200M/FW_BNE-R1200M_K18_MAIN/trunk - 日志信息 - TortoiseSVN
08:21:19:  检出
08:21:24:  trunk - 检出 - TortoiseSVN
08:21:39:  检出 完成！
08:22:34:  D:\CRS\666\Applications\SeparatorCtrl\SeparatorCtrl.c (666) - Sublime Text (UNREGISTERED)
08:22:39:  选择文件夹
08:22:44:  untitled (106) - Sublime Text (UNREGISTERED)
08:23:04:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:24:39:  K64_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:25:09:  eSpace
08:25:14:  于斌1
08:25:49:  Plate.c - trunk - Visual Studio Code [管理员]
08:26:29:  计算器
08:27:49:  于斌1
08:28:04:  本地磁盘 (D:)
08:28:09:  TCRControlCmdDLL
08:28:19:  20201109
08:28:24:  Decode
08:28:49:  CS_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:29:29:  CS_0000_20201109150957.log - [No filter file]* - TextAnalysisTool.NET
08:28:09:  TCRControlCmdDLL
08:28:19:  20201109
08:28:24:  Decode
08:28:49:  CS_0000_20201109151103.log - [No filter file]* - TextAnalysisTool.NET
08:29:29:  CS_0000_20201109150957.log - [No filter file]* - TextAnalysisTool.NET
08:30:19:  Decode
08:30:59:  CS_0000_20201109105300.log - [No filter file]* - TextAnalysisTool.NET
08:31:04:  Decode
08:31:09:  CS_0000_20201109105837.log - [No filter file]* - TextAnalysisTool.NET
08:31:14:  Decode
08:31:54:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:32:50:  08tcr测试过程记录
08:32:55:  固件版本
08:33:10:  未命名 - 写邮件
08:33:20:  桌面整理
08:33:30:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:38:10:  K18_0000_20201109151103
08:38:15:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:38:20:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:39:00:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.h (106) - Sublime Text (UNREGISTERED)
08:39:05:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:39:25:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:39:30:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:39:45:  计算器
08:40:05:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:40:30:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:40:45:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:40:50:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:41:15:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:41:20:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:41:50:  锁屏状态
08:42:00:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:46:20:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:46:55:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:54:20:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:54:50:  Decode
08:54:55:  CS_0000_20201109112748.log - [No filter file]* - TextAnalysisTool.NET
08:56:35:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:56:50:  CS_0000_20201109112812.log - [No filter file]* - TextAnalysisTool.NET
08:57:05:  CS_0000_20201109112836.log - [No filter file]* - TextAnalysisTool.NET
08:57:15:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:57:50:  K18_0000_20201109151103
08:57:55:  “享承汇”（实践经验分享）项目创意口号投票
08:58:15:  http://192.168.28.52:8080/common/pages/vote.html - Internet Explorer
08:58:35:  “享承汇”（实践经验分享）项目创意口号投票
08:58:40:  K18_0000_20201109151103
08:59:05:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
08:58:15:  http://192.168.28.52:8080/common/pages/vote.html - Internet Explorer
08:58:35:  “享承汇”（实践经验分享）项目创意口号投票
08:58:40:  K18_0000_20201109151103
08:59:05:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:03:10:  D:\CRS\106\Middlewares\Plate\Plate.h (106) - Sublime Text (UNREGISTERED)
09:03:15:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:03:40:  D:\CRS\106\Middlewares\Plate\Plate.h (106) - Sublime Text (UNREGISTERED)
09:03:45:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:03:55:  D:\CRS\106\Middlewares\Component\Component.c (106) - Sublime Text (UNREGISTERED)
09:05:00:  D:\CRS\106\Applications\SeparatorCtrl\SeparatorCtrl.c (106) - Sublime Text (UNREGISTERED)
09:06:55:  CRS
09:07:00:  D:\CRS\106\Tools\CreateJK.exe
09:07:05:  Tools
09:07:10:  Project
09:11:50:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:13:25:  Add Files to Group 'Drivers'
09:13:45:  106
09:13:50:  D:\CRS\106 - 日志信息 - TortoiseSVN
09:14:30:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:14:40:  新建文件夹 (3)
09:14:45:  106
09:14:55:  D:\CRS\106 - 更新 - TortoiseSVN
09:14:30:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:14:40:  新建文件夹 (3)
09:14:45:  106
09:14:55:  D:\CRS\106 - 更新 - TortoiseSVN
09:15:50:  D:\CRS\106 - 日志信息 - TortoiseSVN
09:15:55:  D:\CRS\106 - 更新 - TortoiseSVN
09:16:00:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
09:16:15:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:16:50:  Project
09:16:55:  D:\CRS\106 - 日志信息 - TortoiseSVN
09:17:05:  106
09:17:15:  D:\CRS\106 - 日志信息 - TortoiseSVN
09:17:25:  D:\CRS\106 - 更新 - TortoiseSVN
09:17:30:  更新 完成！
09:17:35:  D:\CRS\106\Project\ke18_rtt.uvprojx - μVision
09:17:50:  106
09:17:55:  D:\CRS\106\Tools\CreateJK.exe
09:18:00:  CRS调测工具（研发版）V1.0.2.1
09:18:05:  打开
09:18:20:  CRSTestTool
09:18:25:  CRS调测工具（研发版）V1.0.2.1
09:18:40:  打开
09:19:00:  CRS调测工具（研发版）V1.0.2.1
09:19:05:  本地磁盘 (E:)
09:19:10:  深圳出差
09:19:15:  V1.009
09:19:20:  打开
09:19:30:  BTCRTestTool3
09:19:35:  CRS调试工具
09:19:40:  打开
09:19:45:  TCR调测工具（研发版）V1.0.0.4
09:19:50:  CRS调测工具（研发版）V1.0.2.1
09:20:20:  打开
09:20:30:  CRS调测工具（研发版）V1.0.2.1
09:20:40:  打开
09:20:50:  E:\深圳出差\44\Applications\FlowControl\TrackSensor\TrackSensor.c (44) - Sublime Text (UNREGISTERED)
09:20:55:  E:\深圳出差\44\Applications\InstrExplain\InstrProc1D.c (44) - Sublime Text (UNREGISTERED)
09:21:10:  CRS调测工具（研发版）V1.0.2.1
09:21:20:  E:\深圳出差\44\Applications\InstrExplain\InstrProc1D.c (44) - Sublime Text (UNREGISTERED)
09:21:35:  E:\深圳出差\44\Applications\ErrorHandle\ErrCode.h (44) - Sublime Text (UNREGISTERED)
09:21:40:  E:\深圳出差\44\Applications\InstrExplain\InstrProc1D.c (44) - Sublime Text (UNREGISTERED)
09:22:05:  CRS调测工具（研发版）V1.0.2.1
09:22:10:  CRSTestTool
09:22:15:  打开
09:22:20:  CRS调测工具（研发版）V1.0.2.1
