08:09:25:  浦发银行样机缺陷.xlsx
08:09:50:  发货DRB钞箱测试缺陷.xlsx
08:10:45:  Decode
08:10:50:  发货DRB钞箱测试缺陷.xlsx
08:17:21:  Decode
08:17:26:  CS_0000_20201104113149.log - [No filter file] - TextAnalysisTool.NET
08:17:31:  20201104
08:17:36:  fenxi
08:17:41:  爆仓问题(1)
08:17:46:  新建文件夹
08:17:56:  爆仓问题(1)
08:18:01:  新建文件夹 (3)
08:18:16:  20201201
08:18:21:  Decode
08:18:56:  本地磁盘 (E:)
08:19:06:  本地磁盘 (D:)
08:19:21:  新建文本文档.exe - 快捷方式
08:19:26:  本地磁盘 (D:)
08:19:41:  自动播放
08:19:56:  CS_0000_20201104131512.log - DRB.tat* - TextAnalysisTool.NET
08:20:01:  www.baidu.com - Google Chrome
08:20:21:  CS_0000_20201104131512.log - DRB.tat* - TextAnalysisTool.NET
08:20:56:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:24:01:  本地磁盘 (D:)
08:24:06:  本地磁盘 (E:)
08:24:11:  Tools
08:24:16:  E:\深圳出差\44\Tools\CreateJK.exe
08:24:21:  CRS调测工具（研发版）V1.0.2.1
08:24:31:  打开
08:24:41:  本地磁盘 (D:)
08:24:46:  D:\CRS\666\Tools\CreateJK.exe
08:24:51:  CRS调测工具（研发版）V1.0.2.1
08:24:56:  打开
08:25:01:  CRS调测工具（研发版）V1.0.2.1
08:25:21:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
08:25:41:  本地磁盘 (E:)
08:25:46:  44
08:25:56:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
08:26:26:  www.baidu.com - Google Chrome
08:26:31:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
08:26:36:  JLink - Cortex-M Error
08:26:51:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
08:27:01:  eSpace
08:27:11:  E:\深圳出差\44\Project\k64_rtt.uvprojx - μVision
08:27:21:  CRS调测工具（研发版）V1.0.2.1
08:27:51:  发送指令到K18
08:27:56:  CRS调测工具（研发版）V1.0.2.1
08:28:11:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:28:26:  发送指令到K18
08:28:36:  CRS调测工具（研发版）V1.0.2.1
08:28:41:  Project
08:28:46:  深圳出差
08:28:51:  CRSTesttool_20201125
08:28:56:  TCRControlCmdDLL
08:29:06:  20201202
08:29:11:  TCRControlCmdDLL
08:29:16:  20201202
08:29:21:  Decode
08:29:26:  CS_0000_20201202110121.log - DRB.tat* - TextAnalysisTool.NET
08:30:01:  TextAnalysisTool.NET
08:28:11:  D:\CRS\666\Project\ke18_rtt.uvprojx - μVision
08:28:26:  发送指令到K18
08:28:36:  CRS调测工具（研发版）V1.0.2.1
08:28:41:  Project
08:28:46:  深圳出差
