08:12:21:  阿根廷样机缺陷.xlsx
08:12:51:  警告
08:12:56:  阿根廷发货样机缺陷
08:13:01:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:13:11:  TcrFirmwareLogDecode.exe
08:13:16:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:13:31:  CRS
08:13:36:  新建文件夹 (2)
08:13:51:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:13:56:  Decode
08:14:01:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:14:06:  Decode
08:14:56:  LOG
08:14:06:  Decode
08:14:56:  LOG
08:15:06:  K64_0000_20201203144046
08:15:11:  K64-_0000_20201203144046.log - DRB.tat* - TextAnalysisTool.NET
08:15:16:  LOG
08:15:21:  K64_0000_20201203143719
08:15:26:  K64-_0000_20201203143719.log - DRB.tat* - TextAnalysisTool.NET
08:15:41:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202012051504.log
08:15:46:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:16:11:  K64_0000_20201203143719
08:16:26:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:16:31:  1606999069078.jpg - Windows 照片查看器
08:16:36:  1606998996331.jpg - Windows 照片查看器
08:16:41:  1606999129777.jpg - Windows 照片查看器
08:16:56:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:17:01:  于斌1
08:17:36:  本地磁盘 (D:)
08:17:41:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:17:46:  K64_0000_20201203144046
08:17:51:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203144046\K64-_0000_20201203144046.log
08:18:06:  ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票
08:18:11:  LogExpert
08:18:16:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:18:26:  于斌1
08:19:11:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:19:51:  于斌1
08:20:21:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:20:31:  于斌1
08:20:41:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:21:01:  锁屏状态
08:21:06:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:21:36:  于斌1
08:22:16:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:24:51:  CashBox_Boot
08:24:56:  Foxmail
08:25:01:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:25:36:  计算器
08:25:41:  LogExpert - D:\fenxi\新建文件夹 (2)\ID-5 4#20元大额取款第337张报钞箱口 500ms纸币未进入 返回码0X015E0900检查发现钞箱内1张溢钞。1张竖直钞票\Decode\LOG\K64_0000_20201203143719\K64-_0000_20201203143719.log
08:28:01:  BTCR-1100_BOX1T1_KE06_FV1010_EXTFEDUV21_BOOT_T01
08:28:06:  桌面整理
08:28:11:  BTCR-1100_BOX1T1_KE06_FV1010_EXTFEDUV21_BOOT_T01
08:28:16:  跳转列表
08:28:31:  「开始」菜单
08:28:56:  J-Link Commander V6.32h
08:29:01:  SEGGER J-Link V6.32h - Target device settings
08:29:36:  J-Link Commander V6.32h
08:29:41:  「开始」菜单
08:29:46:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash]
08:29:56:  J-Flash V6.32h
08:30:01:  J-Flash V6.32h Error
08:28:06:  桌面整理
08:28:11:  BTCR-1100_BOX1T1_KE06_FV1010_EXTFEDUV21_BOOT_T01
08:28:16:  跳转列表
08:28:31:  「开始」菜单
08:28:56:  J-Link Commander V6.32h
08:29:01:  SEGGER J-Link V6.32h - Target device settings
08:29:36:  J-Link Commander V6.32h
08:29:41:  「开始」菜单
08:29:46:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash]
08:29:56:  J-Flash V6.32h
08:30:01:  J-Flash V6.32h Error
08:30:06:  新建文件夹 (6)
08:30:11:  SEGGER J-Flash V6.32h - [D:\00-06\DRB--\Tools\J-Link\MKE06.jflash *]
08:36:31:  于斌1
08:36:41:  00-18
