08:03:45:  主控板集成测试方案-报告
08:05:20:  收取邮件 - 张开发
08:05:25:  D:\00-KE64\RESET-VERSION\Applications\FlowControl\TrackModule\CashGateModuleApp.c (RESET-VERSION) - Sublime Text (UNREGISTERED)
08:12:05:  自动播放
08:12:10:  D:\00-KE64\RESET-VERSION\Applications\FlowControl\TrackModule\CashGateModuleApp.c (RESET-VERSION) - Sublime Text (UNREGISTERED)
08:12:15:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:12:20:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
08:12:25:  锁屏状态
08:12:50:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
08:12:55:  设置 - DRB-NearFull - Visual Studio Code [管理员]
08:13:15:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
08:22:01:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:23:17:  LowerPlate.c - DRB-NearFull - Visual Studio Code [管理员]
08:23:47:  CheckTheBookTital.py - DRB-NearFull - Visual Studio Code [管理员]
08:24:02:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:24:12:  设置 - DRB-NearFull - Visual Studio Code [管理员]
08:24:17:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:24:42:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:29:42:  CRS调测工具（研发版）V1.0.2.1
08:29:42:  CRS调测工具（研发版）V1.0.2.1
08:33:02:  取款
08:33:07:  CRS调测工具（研发版）V1.0.2.1
08:33:17:  查找
08:33:32:  CRS调测工具（研发版）V1.0.2.1
08:33:37:  锁屏状态
08:33:42:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:33:47:  CRS调测工具（研发版）V1.0.2.1
08:33:52:  发送指令到K06
08:33:57:  钞箱配置
08:34:02:  CRS调测工具（研发版）V1.0.2.1
08:34:07:  取款
08:34:17:  CRS调测工具（研发版）V1.0.2.1
08:36:42:  发送指令到K18
08:36:47:  CRS调测工具（研发版）V1.0.2.1
08:36:52:  发送指令到K18
08:36:57:  CRS调测工具（研发版）V1.0.2.1
08:37:12:  于斌1
08:38:37:  计算器
08:38:47:  CRS调测工具（研发版）V1.0.2.1
08:43:22:  新建文本文档.exe - 快捷方式
08:43:27:  学习 - 张开发 - 印象笔记
08:44:07:  新建文本文档.exe - 快捷方式
08:44:12:  未连接到网络 - Internet Explorer
08:44:22:  新北洋OA信息化平台 - Internet Explorer
08:44:27:  员工自助 - Internet Explorer
08:44:32:  Employee-facing registry content - Internet Explorer
08:44:37:  绩效申请 - Internet Explorer
08:44:52:  Internet Explorer
08:44:57:  考勤异常 - Internet Explorer
08:44:07:  新建文本文档.exe - 快捷方式
08:44:12:  未连接到网络 - Internet Explorer
08:44:22:  新北洋OA信息化平台 - Internet Explorer
08:44:27:  员工自助 - Internet Explorer
08:44:32:  Employee-facing registry content - Internet Explorer
08:44:37:  绩效申请 - Internet Explorer
