08:06:25:  中国银行DRB样机（3台）发货测试~2021.1.4
08:06:30:  警告
08:06:35:  DRB-190900100005
08:06:45:  问题记录
08:06:50:  DRB-190900100005
08:06:55:  捕获.JPG - Windows 照片查看器
08:07:00:  捕获1.JPG - Windows 照片查看器
08:07:05:  DRB-190900100005
08:07:10:  fenxi
08:07:15:  港币10元居左混合面向大额取款报钞箱口 500ms纸币未进入 返回码0X075E0900
08:08:15:  ID-19-2 5#DRB钞箱下腔反向盘点第1张报钞箱口 钞口满，返回码035E0700
08:08:20:  Decode
08:08:30:  K64_BTCR-1100200600510420_20210104182013
08:08:35:  Box_3__BTCR-1100200600510420_20210104182013.log - DRB.tat* - TextAnalysisTool.NET
08:09:25:  荆文波
08:11:25:  Box_3__BTCR-1100200600510420_20210104182013.log - DRB.tat* - TextAnalysisTool.NET
08:11:50:  荆文波
08:12:00:  本地磁盘 (D:)
08:12:05:  fenxi
08:14:10:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:14:25:  ID-21 DRB5#钞箱下腔反向盘点报1T2下层托板 托板移动到堆钞位置，到位超时，返回码03220401
08:14:30:  Decode
08:14:35:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:14:40:  本地磁盘 (E:)
08:14:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
08:14:55:  E:\213815.txt (trunk) - Sublime Text (UNREGISTERED)
08:15:00:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrHandle.c • (trunk) - Sublime Text (UNREGISTERED)
08:14:10:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:14:25:  ID-21 DRB5#钞箱下腔反向盘点报1T2下层托板 托板移动到堆钞位置，到位超时，返回码03220401
08:14:30:  Decode
08:14:35:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:14:40:  本地磁盘 (E:)
08:14:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\State\State.c (trunk) - Sublime Text (UNREGISTERED)
08:14:55:  E:\213815.txt (trunk) - Sublime Text (UNREGISTERED)
08:15:00:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrHandle.c • (trunk) - Sublime Text (UNREGISTERED)
08:15:55:  E:\213815.txt (trunk) - Sublime Text (UNREGISTERED)
08:16:05:  设置 - DRB-NearFull - Visual Studio Code [管理员]
08:16:10:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:18:25:  K64_BTCR-1100200600510420_20210104182013
08:18:30:  ID-19-2 5#DRB钞箱下腔反向盘点第1张报钞箱口 钞口满，返回码035E0700
08:18:35:  LOG
08:18:40:  K64_BTCR-1100200600510420_20210103114150
08:18:50:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:20:00:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:20:05:  荆文波
08:20:10:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:22:55:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:25:20:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:26:10:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:29:45:  计算器
08:29:45:  计算器
08:32:36:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:32:51:  计算器
08:33:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:34:06:  计算器
08:34:11:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:43:06:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
08:43:26:  本地磁盘 (C:)
08:43:31:  KE18-VERSION1
08:43:36:  μVision
08:43:41:  Project
08:43:56:  Tools
08:44:01:  D:\CRS\KE18-VERSION1\Tools\CreateJK.exe
08:44:06:  CRS调测工具（研发版）V1.0.2.1
08:44:11:  打开
08:44:21:  CRS调测工具（研发版）V1.0.2.1
08:44:36:  发送指令到K18
08:44:51:  CRS调测工具（研发版）V1.0.2.1
08:44:06:  CRS调测工具（研发版）V1.0.2.1
08:44:11:  打开
08:44:21:  CRS调测工具（研发版）V1.0.2.1
08:44:36:  发送指令到K18
08:44:51:  CRS调测工具（研发版）V1.0.2.1
08:45:16:  发送指令到K18
08:45:21:  CRS调测工具（研发版）V1.0.2.1
08:45:31:  发送指令到K18
08:45:41:  CRS调测工具（研发版）V1.0.2.1
08:45:51:  发送指令到K18
08:46:01:  CRS调测工具（研发版）V1.0.2.1
08:46:11:  计算器
08:46:21:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
08:46:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:48:46:  0-工作 - 张开发 - 印象笔记
08:48:51:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:50:21:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:51:56:  荆文波
08:52:11:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
08:54:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:08:36:  荆文波
09:08:41:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:08:46:  荆文波
09:09:06:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:10:26:  荆文波
09:11:06:  eSpace
09:11:11:  王亮杰
09:11:51:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:12:01:  荆文波
09:15:21:  自动播放
09:15:26:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:18:36:  0-工作 - 张开发 - 印象笔记
09:18:41:  剪藏 - 张开发 - 印象笔记
09:18:46:  0-工作 - 张开发 - 印象笔记
09:18:51:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:34:36:  王亮杰
09:34:41:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:35:01:  于斌1
09:35:06:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:40:41:  王亮杰
09:40:46:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
09:54:12:  于斌1
09:54:17:  荆文波
09:54:22:  D:\CRS\KE18-VERSION1\Project\ke18_rtt.uvprojx - μVision
09:56:42:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:21:42:  ● LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:24:22:  自动播放
10:24:32:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:27:47:  0-工作 - 张开发 - 印象笔记
10:27:52:  荆文波
10:27:57:  主页 - Internet Explorer
10:28:02:  新北洋OA信息化平台 - Internet Explorer
10:28:07:  荆文波
10:28:12:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:28:07:  荆文波
10:28:12:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:31:47:  中国银行DRB发货测试缺陷列表.xlsx - Excel
10:33:47:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:38:22:  ID-6 反向盘点入上腔时，上腔（10元)纸币进入下腔（1元）
10:38:27:  DRB-190900100005
10:38:32:  问题记录
10:38:42:  DRB-190900100002
10:38:52:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
10:39:07:  Decode
10:39:17:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:40:07:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:40:17:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:40:57:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:41:57:  LOG
10:42:02:  Box_3__BTCR-1100200600510420_20210103114150.log - DRB.tat* - TextAnalysisTool.NET
10:42:07:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
10:43:42:  荆文波
10:43:57:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:44:07:  荆文波
10:44:12:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
10:44:07:  荆文波
10:44:12:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
10:52:07:  荆文波
10:53:22:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
10:53:47:  中国银行DRB发货测试缺陷列表.xlsx - Excel
10:56:02:  荆文波
10:56:07:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:56:17:  荆文波
10:56:47:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:57:47:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:57:57:  荆文波
10:58:12:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:58:22:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:58:27:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:58:42:  荆文波
10:58:57:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:58:12:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:58:22:  设置 - DRB-NearFull - Visual Studio Code [管理员]
10:58:27:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
10:58:42:  荆文波
10:58:57:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:01:07:  荆文波
11:01:27:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
11:01:42:  荆文波
11:02:02:  Box_2__BTCR-1100200600510420_20201230153429.log - DRB.tat* - TextAnalysisTool.NET
11:02:27:  荆文波
11:02:57:  ID-14 下腔5元进行取款报钞箱口 500ms纸币未进入 返回码0X025E0900，纸币堆叠正常。
11:03:07:  荆文波
11:03:12:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:04:02:  荆文波
11:04:42:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:21:47:  2020年下半年劳保发放 
11:21:52:  2020年下半年劳保发放 - 技术中心20210105.xlsx
11:22:07:  2020年下半年劳保发放 
11:22:17:  2020年下半年劳保发放 - 技术中心20210105.xlsx
11:22:47:  Track.c - DRB-NearFull - Visual Studio Code [管理员]
11:26:52:  接收
11:26:57:  删除多个项目
