08:07:38:  KE18-VERSION1
08:07:43:  8207-0002224  打样
08:08:33:  8207-0002224.pdf
08:09:58:  eSpace
08:10:13:  主页 - Internet Explorer
08:10:18:  系统登录 - Internet Explorer
08:10:23:  新北洋OA信息化平台 - Internet Explorer
08:10:53:  费用报销流程_新北洋 - Internet Explorer
08:13:33:  新北洋OA信息化平台 - Internet Explorer
08:13:43:  1_需求申请人_支款申请 - Internet Explorer
08:14:03:  新北洋OA信息化平台 - Internet Explorer
08:14:13:  费用报销流程_新北洋 - Internet Explorer
08:14:13:  费用报销流程_新北洋 - Internet Explorer
08:17:28:  新北洋OA信息化平台 - Internet Explorer
08:17:33:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?Mode=Apply&TASKID=0923149e6214d9a6465dc9f9217262 - Internet Explorer
08:17:38:  费用报销流程_新北洋 - Internet Explorer
08:19:08:  eSpace
08:19:13:  刘雅
08:20:18:  费用报销流程_新北洋 - Internet Explorer
08:20:38:  刘雅
08:20:43:  费用报销流程_新北洋 - Internet Explorer
08:21:13:  刘雅
08:21:43:  费用报销流程_新北洋 - Internet Explorer
08:21:58:  刘雅
08:22:28:  费用报销流程_新北洋 - Internet Explorer
08:27:23:  新北洋OA信息化平台 - Internet Explorer
08:27:28:  1_需求申请人_支款申请 - Internet Explorer
08:27:33:  费用报销流程_新北洋 - Internet Explorer
08:28:28:  新北洋OA信息化平台 - Internet Explorer
08:28:33:  Internet Explorer
08:28:38:  费用报销流程_新北洋 - Internet Explorer
08:28:53:  1_需求申请人_支款申请 - Internet Explorer
08:29:03:  新北洋OA信息化平台 - Internet Explorer
08:29:08:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?Mode=Apply&TASKID=0510166a5797dc908c69189643060c - Internet Explorer
08:29:13:  费用报销流程_新北洋 - Internet Explorer
08:28:28:  新北洋OA信息化平台 - Internet Explorer
08:28:33:  Internet Explorer
08:28:38:  费用报销流程_新北洋 - Internet Explorer
08:28:53:  1_需求申请人_支款申请 - Internet Explorer
08:29:03:  新北洋OA信息化平台 - Internet Explorer
08:29:08:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?Mode=Apply&TASKID=0510166a5797dc908c69189643060c - Internet Explorer
08:29:13:  费用报销流程_新北洋 - Internet Explorer
08:34:48:  个人支款及报销管理规定.docx
08:34:58:  丛柏屹
08:35:33:  个人支款及报销管理规定.docx
08:35:53:  丛柏屹
08:37:08:  费用报销操作培训20201130.pptx
08:38:08:  费用报销流程_新北洋 - Internet Explorer
08:38:33:  新北洋OA信息化平台 - Internet Explorer
08:38:38:  1_需求申请人_支款申请 - Internet Explorer
08:38:43:  费用报销流程_新北洋 - Internet Explorer
08:39:03:  新北洋OA信息化平台 - Internet Explorer
08:39:28:  费用报销流程_新北洋 - Internet Explorer
08:40:43:  新北洋OA信息化平台 - Internet Explorer
08:40:48:  eSpace
08:41:13:  程明昌
08:42:03:  丛柏屹
08:42:33:  程明昌
08:43:13:  E:\深圳出差\gfgd\Applications\CanComm\CashBoxComm\CashBoxComm.h (gfgd) - Sublime Text (UNREGISTERED)
08:43:18:  E:\深圳出差\gfgd\Applications\FlowControl\PageManage\PageManageIn.c (gfgd) - Sublime Text (UNREGISTERED)
08:43:28:  0-工作 - 张开发 - 印象笔记
08:43:38:  程明昌
08:43:43:  0-工作 - 张开发 - 印象笔记
08:44:03:  程明昌
08:44:08:  0-工作 - 张开发 - 印象笔记
08:44:23:  学习 - 张开发 - 印象笔记
08:44:08:  0-工作 - 张开发 - 印象笔记
08:44:23:  学习 - 张开发 - 印象笔记
08:45:58:  打开文件夹
08:57:20:  程明昌
08:57:25:  指令集
08:57:30:  丛柏屹
08:58:25:  程明昌
08:58:30:  丛柏屹
08:58:25:  程明昌
08:58:30:  丛柏屹
09:05:30:  D:\00-06\1T1-Stop-Length\trunk\Applications\HistoryRecord\HistoryRecord.c (trunk) - Sublime Text (UNREGISTERED)
