08:06:32:  RTT_SeggerLog_202101141654.log - DRB.tat* - TextAnalysisTool.NET
08:16:07:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:16:37:  系统登录 - Internet Explorer
08:16:42:  http://hrms.byintra.com:8800/psc/HCMPRD/EMPLOYEE/HRMS/s/WEBLIB_PORTAL1.ICRIPTPORTAL.FieldFormul - Internet Explorer
08:16:47:  考勤异常 - Internet Explorer
08:17:07:  员工自助 - Internet Explorer
08:17:12:  费用报销流程_新北洋 - Internet Explorer
08:17:17:  新北洋OA信息化平台 - Internet Explorer
08:17:32:  费用报销流程_新北洋 - Internet Explorer
08:17:37:  新北洋OA信息化平台 - Internet Explorer
08:17:42:  支款申请 - Internet Explorer
08:17:47:  1_需求申请人_支款申请 - Internet Explorer
08:19:12:  平台组任务导入管理规定--固件研究室V1.01.doc
08:20:32:  SNBC-Z16-029 研发项目计划管理规定.doc
08:20:57:  TD回复格式.docx [兼容模式] - Word
08:23:02:  1_需求申请人_支款申请 - Internet Explorer
08:25:32:  0-工作 - 张开发 - 印象笔记
08:25:42:  1_需求申请人_支款申请 - Internet Explorer
08:29:57:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:29:57:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:31:17:  费用报销流程_新北洋 - Internet Explorer
08:31:22:  新北洋OA信息化平台 - Internet Explorer
08:31:27:  新选项卡 - Internet Explorer
08:31:32:  员工自助 - Internet Explorer
08:31:37:  Employee-facing registry content - Internet Explorer
08:31:42:  绩效申请 - Internet Explorer
08:32:07:  W
08:32:17:  03-杀毒软件
08:32:22:  本地磁盘 (D:)
08:32:27:  正在复制 1 个项目(38.6 MB)
08:32:32:  正在从 incaseformat扫描工具-64位.7z 中提取
08:32:37:  incaseformat扫描工具-64位
08:32:42:  SfabAntiBot_X64
08:32:52:  SfAntiBot
08:36:28:  本地磁盘 (E:)
08:36:33:  KMSpico
08:36:38:  Uninstall
08:36:43:  SfAntiBot
08:36:58:  KMSpico
08:37:13:  运行
08:37:18:  Users
08:37:23:  本地磁盘 (C:)
08:37:28:  本地磁盘 (C:) 属性
08:37:33:  计算机
08:37:38:  用户 属性
08:37:43:  高级共享
08:37:48:  本地磁盘 (C:)
08:37:53:  yf-zhangkaifa
08:37:58:  打开文件夹
08:38:03:  LOST.DIR (\\yf-zhangkaifa) 属性
08:38:08:  yf-zhangkaifa
08:38:13:  员工自助 - Internet Explorer
