08:04:38:  计算机
08:06:08:  PaperManage.c - trunk - Visual Studio Code [管理员]
08:06:13:  eSpace
08:06:18:  新北洋OA信息化平台 - Internet Explorer
08:06:23:  系统登录 - Internet Explorer
08:06:28:  新北洋OA信息化平台 - Internet Explorer
08:06:53:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:07:08:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
08:07:48:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c • (meger) - Sublime Text (UNREGISTERED)
08:07:53:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.c (meger) - Sublime Text (UNREGISTERED)
08:07:58:  D:\00-06\meger\Applications\Instruction\InstrExecute.c (meger) - Sublime Text (UNREGISTERED)
08:08:13:  D:\00-06\meger\Drivers\PeripheralDriver\SpiDriver\SnbcSpiDriver.c (meger) - Sublime Text (UNREGISTERED)
08:09:48:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
08:11:08:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c • (meger) - Sublime Text (UNREGISTERED)
08:11:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
08:11:18:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:11:33:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c • (meger) - Sublime Text (UNREGISTERED)
08:11:38:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.c (meger) - Sublime Text (UNREGISTERED)
08:11:48:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
08:12:48:  颜晓军
08:12:53:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
08:13:08:  Windows Internet Explorer
08:13:13:  Oracle | PeopleSoft Enterprise 登录 - Internet Explorer
08:13:18:  考勤异常 - Internet Explorer
08:13:28:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c (meger) - Sublime Text (UNREGISTERED)
08:14:23:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
08:14:23:  D:\00-06\meger\Drivers\SensorDriver\SensorDriver.c • (meger) - Sublime Text (UNREGISTERED)
08:16:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:22:03:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.c (meger) - Sublime Text (UNREGISTERED)
08:22:08:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
08:22:18:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.c (meger) - Sublime Text (UNREGISTERED)
08:22:23:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
08:23:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:23:53:  于斌1
08:24:03:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:24:33:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
08:25:28:  Excel
08:25:38:  TCR+DRB+CRS 项目周报.xlsx  [受保护的视图] - Excel
08:25:53:  锁屏状态
08:26:03:  TCR+DRB+CRS 项目周报.xlsx  [共享] - Excel
08:27:28:  新北洋OA信息化平台 - Internet Explorer
08:27:33:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?TASKID=1O62fPHr5xG3HWqvBxyxyxyxyxyPPXX3wzdtQZa3C - Internet Explorer
08:27:38:  费用报销流程_新北洋 - Internet Explorer
08:29:38:  员工自助 - Internet Explorer
08:29:43:  新北洋OA信息化平台 - Internet Explorer
08:29:48:  费用报销流程_新北洋 - Internet Explorer
08:29:53:  http://oa.byintra.com/PrintReport/FYBXLC_XBY/FYBXLC_XBY1.aspx?PR_CID=9bf05930-4aa8-41b8-b7b2-8d - Internet Explorer
08:29:38:  员工自助 - Internet Explorer
08:29:43:  新北洋OA信息化平台 - Internet Explorer
08:29:48:  费用报销流程_新北洋 - Internet Explorer
08:29:53:  http://oa.byintra.com/PrintReport/FYBXLC_XBY/FYBXLC_XBY1.aspx?PR_CID=9bf05930-4aa8-41b8-b7b2-8d - Internet Explorer
08:30:23:  CrystalReportViewer1.pdf - Adobe Reader
08:30:42:  打印
08:31:02:  OneNote
08:31:07:  配置型编程 - OneNote
08:31:12:  打印
08:31:17:  CrystalReportViewer1.pdf - Adobe Reader
08:39:12:  http://oa.byintra.com/PrintReport/FYBXLC_XBY/FYBXLC_XBY1.aspx?PR_CID=9bf05930-4aa8-41b8-b7b2-8d - Internet Explorer
08:39:17:  eSpace
08:39:22:  费用报销流程_新北洋 - Internet Explorer
08:39:27:  eSpace
08:39:37:  费用报销流程_新北洋 - Internet Explorer
08:50:37:  eSpace
08:53:42:  新北洋自检表(1).rar - WinRAR (非商业个人版)
08:53:47:  新北洋费用报销自检表20200810.xlsx - Excel
08:54:37:  主页 - Internet Explorer
08:54:47:  新北洋OA信息化平台 - Internet Explorer
08:54:57:  新北洋费用报销自检表20200810.xlsx - Excel
08:56:17:  eSpace
08:56:22:  固件设计中心
08:56:32:  eSpace
08:56:47:  费用报销流程_新北洋 - Internet Explorer
08:57:02:  新北洋费用报销自检表20200810.xlsx - Excel
08:57:27:  费用报销流程_新北洋 - Internet Explorer
08:58:02:  计算器
08:59:12:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
08:59:17:  搜狗工具箱
08:59:27:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
08:59:12:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
08:59:17:  搜狗工具箱
08:59:27:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
09:03:47:  新北洋自检表(1).rar - WinRAR (非商业个人版)
09:03:52:  CrystalReportViewer1.pdf - Adobe Reader
09:04:02:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
09:04:12:  0-工作 - 张开发 - 印象笔记
09:04:17:  所有笔记本 - 张开发 - 印象笔记
09:04:47:  0-工作 - 张开发 - 印象笔记
09:04:52:  E:\深圳出差\gfgd\Applications\InstrExplain\InstrProc1D.c • (gfgd) - Sublime Text (UNREGISTERED)
09:05:52:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:11:28:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:11:33:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:11:48:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:18:58:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.c (meger) - Sublime Text (UNREGISTERED)
09:19:03:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:19:13:  D:\00-06\meger\Drivers\PublicDriver\PublicDriver.h (meger) - Sublime Text (UNREGISTERED)
09:19:23:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:20:18:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:20:58:  【通知】2021年度技术中心岗位任职资格晋升评审通知
09:21:18:  taskeng.exe
09:22:38:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
09:22:53:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:22:58:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
09:23:03:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:24:43:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:24:58:  D:\00-06\meger\Middlewares\StepMotor\StepMotor.c (meger) - Sublime Text (UNREGISTERED)
09:25:03:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:25:13:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:25:43:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:29:08:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:29:18:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:29:08:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:29:18:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:31:43:  00-06
09:31:48:  trunk
09:31:53:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:32:03:  PaperManage.c Revision 4204 - TortoiseMerge
09:32:28:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
09:32:33:  trunk
09:32:38:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c • (meger) - Sublime Text (UNREGISTERED)
09:35:53:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:35:58:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
09:36:08:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:37:33:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
09:39:18:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
09:39:48:  D:\00-06\meger\Applications\PlateCtrl\UpperPlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
09:42:58:  CRS K64升级编译器版本
09:43:33:  15_工具软件
09:43:43:  分包工具
09:43:48:  Config.ini - 记事本
09:43:58:  unpack
09:44:08:  TD回复格式.docx [兼容模式] - Word
09:44:13:  TD回复格式.docx [兼容模式] - Word (未响应)
09:44:18:  正在打开 - TD回复格式.docx [兼容模式] - Word
09:44:23:  锁屏状态
