08:06:07:  K64 芯片解锁 - 印象笔记
08:06:12:  0-工作 - 张开发 - 印象笔记
08:06:22:  K64 芯片解锁 - OneNote
08:12:12:  .map - “KE18-VERSION1”中的搜索结果
08:12:17:  深圳出差
08:12:22:  gfgd
08:12:27:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
08:13:17:  固件设计中心
08:13:57:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
08:14:02:  固件设计中心
08:14:07:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
08:14:12:  固件设计中心
08:14:17:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:14:07:  E:\深圳出差\gfgd - 日志信息 - TortoiseSVN
08:14:12:  固件设计中心
08:14:17:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:17:32:  固件设计中心
08:17:37:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:19:27:  新北洋OA信息化平台 - Internet Explorer
08:19:37:  http://hrms.byintra.com:8800/psp/HCMPRD/EMPLOYEE/HRMS/c/C_AM_MENU.C_ATT_EQRY.GBL?FolderPath=POR - Internet Explorer
08:19:42:  员工自助 - Internet Explorer
08:20:37:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:21:42:  跳转列表
08:21:47:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:26:27:  固件设计中心
08:26:37:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:27:47:  K64 芯片解锁 - OneNote
08:27:57:  指令中把电机控制改成直接驱动电机动，电机停不下来，没敢全部删掉自己写 - OneNote
08:28:07:  K64 芯片解锁 - OneNote
08:29:02:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:28:07:  K64 芯片解锁 - OneNote
08:29:02:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:37:57:  锁屏状态
08:38:02:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:39:58:  新建文本文档.exe - 快捷方式
08:40:12:  新标签页 - Google Chrome
08:40:17:  百度一下，你就知道 - Google Chrome
08:40:22:  甲醛 甲状腺_百度搜索 - Google Chrome
08:41:07:  每天早上甲状腺肿_百度搜索 - Google Chrome
08:41:17:  每天早上扁桃体肿_百度搜索 - Google Chrome
08:41:47:  甲醛 扁桃体肿_百度搜索 - Google Chrome
08:42:06:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:43:31:  eSpace
08:43:36:  荆文波
08:44:35:  另存为
08:44:40:  荆文波
08:44:35:  另存为
08:44:40:  荆文波
08:45:05:  图片
08:45:10:  截2图.PNG - Windows 照片查看器
08:45:20:  荆文波
08:48:24:  D:\00-06\meger\Applications\PaperManage\PaperManage.c (meger) - Sublime Text (UNREGISTERED)
08:48:29:  本地磁盘 (D:)
08:48:34:  Project
08:48:39:  μVision
08:48:44:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
08:49:04:  06- 刘建生
08:49:09:  CRS
08:49:14:  原理图
08:49:19:  FEDADV10主控板.PDF - Adobe Reader
08:49:34:  「开始」菜单
08:49:39:  J-Link Commander V6.32h
08:49:49:  SEGGER J-Link V6.32h - Target device settings
08:50:04:  J-Link Commander V6.32h
08:51:04:  「开始」菜单
08:51:14:  Welcome to J-Flash
08:51:19:   Select device
08:51:34:  SEGGER J-Flash V6.32h - [new project *]
08:51:39:  J-Link Commander V6.32h
08:51:59:  锁屏状态
08:52:04:  FEDADV10主控板.PDF - Adobe Reader
08:52:19:  eSpace
08:52:29:  张健4
08:52:34:  历史记录管理器
08:53:44:  J-Link Commander V6.32h
08:54:34:  选定 J-Link Commander V6.32h
08:54:39:  历史记录管理器
08:55:19:  网易有道词典
08:56:29:  J-Link Commander V6.32h
08:57:19:  FEDADV10主控板.PDF - Adobe Reader
09:02:44:  于斌1
09:02:49:  FEDADV10主控板.PDF - Adobe Reader
09:02:59:  于斌1
09:06:44:  网易有道词典
09:06:49:  FEDADV10主控板.PDF - Adobe Reader
09:07:09:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:07:14:  JLink - Cortex-M Error
09:07:24:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:34:49:  FEDADV10主控板.PDF - Adobe Reader
09:34:59:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:35:24:  μVision
09:35:29:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:35:44:  JLink - Cortex-M Error
09:35:49:  E:\深圳出差\gfgd\Project\k64_rtt.uvprojx - μVision
09:35:54:  J-Link Commander V6.32h
09:36:34:  FEDADV10主控板.PDF - Adobe Reader
09:37:29:  J-Link Commander V6.32h
09:38:24:  选定 J-Link Commander V6.32h
09:38:29:  网易有道词典
09:38:39:  J-Link Commander V6.32h
09:38:44:  J-Flash V6.32h Error
09:38:49:  SEGGER J-Flash V6.32h - [new project *]
09:39:29:  J-Link Commander V6.32h
09:39:44:  自动播放
09:39:49:  网易有道词典
09:39:59:  新标签页 - Google Chrome
09:40:04:  Communication error while accessing MDM-AP._百度搜索 - Google Chrome
09:40:09:  Jlink烧录问题（S32K144，S32DSv1.3环境，自制板） - 其他 - 恩智浦技术社区 - Google Chrome
09:40:49:  SEGGER J-Flash V6.32h - [new project *]
09:41:04:  J-Flash V6.32h Error
09:41:09:  SEGGER J-Flash V6.32h - [new project *]
09:41:19:  J-Flash V6.32h Error
09:41:29:  SEGGER J-Flash V6.32h - [new project *]
09:41:34:  J-Link Commander V6.32h
09:41:44:  打开文件夹
09:41:49:  Communication error while accessing MDM-AP._百度搜索 - Google Chrome
09:41:59:  [SOLVED] Ozone + JLinkRemoteServer "Unknown EMU command #28 received" - J-Link/Flasher related - SEGGER - Forum - Google Chrome
09:42:04:  J-Link Commander V6.32h
09:42:09:  标记 J-Link Commander V6.32h
09:42:14:  选定 J-Link Commander V6.32h
09:42:19:  Communication error while accessing MDM-AP._百度搜索 - Google Chrome
09:42:24:  https://www.baidu.com/link?url=5J78FjwDRuKYz4SetSl0oXYzCWzlTUX-ydx9TDBfZPYZd1Z7-5icrc5XAKAWSesE&wd=&eqid=dc53c01c00166b6b000000026012167d - Google Chrome
09:42:29:  (3条消息) 求大佬k60烧程序出现PCode returned with error code -1-CSDN论坛 - Google Chrome
09:42:39:  IAR烧录报错 error code -1-电子芯吧客（www.icxbk.com） - Google Chrome
