08:07:57:  D:\00-06\meger\Applications\PlateCtrl\PressurePlateCtrl.c (meger) - Sublime Text (UNREGISTERED)
08:08:07:  D:\00-06\meger\Applications\PlateCtrl\PressurePlateCtrl.c • (meger) - Sublime Text (UNREGISTERED)
08:08:47:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
08:10:17:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
08:11:12:  D:\00-06\meger\Applications\PlateCtrl\PressurePlateCtrl.h • (meger) - Sublime Text (UNREGISTERED)
08:11:22:  Save Changes?
08:11:27:  D:\00-06\meger\Applications\PlateCtrl\PressurePlateCtrl.c • (meger) - Sublime Text (UNREGISTERED)
08:11:37:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
08:11:57:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:12:52:  00-06
08:12:57:  检查更新
08:13:02:  D:\00-06\meger - 工作副本 - TortoiseSVN
08:13:07:  PressurePlate.c - TortoiseMerge
08:13:17:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:13:27:  D:\00-06\meger - 工作副本 - TortoiseSVN
08:13:32:  PressurePlateCtrl.h - TortoiseMerge
08:13:42:  TortoiseMerge
08:13:47:  PressurePlateCtrl.c - TortoiseMerge
08:13:52:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:14:07:  【统计】 只需住宿同事关注
08:14:12:  春节期间员工住宿明细表截止到2021年2月1日.xlsx
08:14:27:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:14:32:  【统计】 只需住宿同事关注
08:14:07:  【统计】 只需住宿同事关注
08:14:12:  春节期间员工住宿明细表截止到2021年2月1日.xlsx
08:14:27:  20180613 TCR内部指令手册_V001.xlsx - Excel
08:14:32:  【统计】 只需住宿同事关注
08:15:22:  D:\00-06\meger - 工作副本 - TortoiseSVN
08:15:27:  PressurePlateCtrl.c - TortoiseMerge
08:15:32:  D:\00-06\meger - 工作副本 - TortoiseSVN
08:15:37:  PlateCommon.h - TortoiseMerge
08:15:42:  TortoiseMerge
08:15:47:  PressurePlate.c - TortoiseMerge
08:15:52:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:16:17:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c (meger) - Sublime Text (UNREGISTERED)
08:16:22:  D:\00-06\meger\Middlewares\Plate\PressurePlate.c • (meger) - Sublime Text (UNREGISTERED)
08:16:42:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
