08:01:22:  更新 完成！
08:01:27:  TheDateInfo.xls  [兼容模式] - Excel
08:02:07:  「开始」菜单
08:03:12:  锁屏状态
08:03:22:  TheDateInfo.xls  [兼容模式] - Excel
08:04:17:  「开始」菜单
08:06:22:  TheDateInfo.xls  [兼容模式] - Excel
08:06:37:  10
08:06:42:  D:\00-KE64\10 - 工作副本 - TortoiseSVN
08:06:57:  自动播放
08:11:02:  D:\00-KE64\10 - 工作副本 - TortoiseSVN
08:15:47:  CashGateModuleApp.c - TortoiseMerge
08:15:52:  eSpace
08:15:57:  GateModule.c - TortoiseMerge
08:16:02:  InstrGSProcess.c - TortoiseMerge
08:16:07:  InstrSUBProcess.c - TortoiseMerge
08:16:17:  CashGateModuleApp.c - TortoiseMerge
08:19:27:  D:\00-KE64\10 - 工作副本 - TortoiseSVN
08:19:42:  DRB
08:19:47:  D:\00-06\DRB - 工作副本 - TortoiseSVN
08:19:52:  UpperPlate.c - TortoiseMerge
08:20:47:  D:\00-06\DRB - 工作副本 - TortoiseSVN
08:21:02:  SensorDriver.c - TortoiseMerge
08:21:22:  D:\00-06\DRB - 工作副本 - TortoiseSVN
08:21:27:  D:\00-06\DRB - 提交 - TortoiseSVN
08:21:32:  UpperPlateCtrl.c - TortoiseMerge
08:21:42:  State.c - TortoiseMerge
08:21:47:  TortoiseSVN
08:21:52:  Update.c - TortoiseMerge
08:21:57:  PublicDriver.c - TortoiseMerge
08:22:17:  D:\00-06\meger\Middlewares\Plate\UpperPlate.c (meger) - Sublime Text (UNREGISTERED)
08:22:22:  untitled (DRB) - Sublime Text (UNREGISTERED)
08:22:37:  D:\00-06\DRB\Drivers\PublicDriver\PublicDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:23:02:  D:\00-06\DRB\Drivers\PeripheralDriver\FtmDriver\FtmConfig.h (DRB) - Sublime Text (UNREGISTERED)
08:23:07:  D:\00-06\DRB\Drivers\PublicDriver\PublicDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:23:37:  D:\00-06\DRB\Middlewares\Lock\Lock.c (DRB) - Sublime Text (UNREGISTERED)
08:23:52:  D:\00-06\DRB\Drivers\ElectroMagnetDriver\ElectroMagnetDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:23:57:  D:\00-06\DRB\Middlewares\Lock\Lock.c (DRB) - Sublime Text (UNREGISTERED)
08:24:12:  D:\00-06\DRB\Drivers\ElectroMagnetDriver\ElectroMagnetDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:24:17:  D:\00-06\DRB\Middlewares\Lock\Lock.c (DRB) - Sublime Text (UNREGISTERED)
08:24:32:  D:\00-06\DRB\Middlewares\Lock\Lock.h (DRB) - Sublime Text (UNREGISTERED)
08:24:37:  D:\00-06\DRB\Drivers\PublicDriver\PublicDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:24:42:  D:\00-06\DRB\Middlewares\Lock\Lock.c (DRB) - Sublime Text (UNREGISTERED)
08:24:52:  D:\00-06\DRB\Drivers\ElectroMagnetDriver\ElectroMagnetDriver.c (DRB) - Sublime Text (UNREGISTERED)
