08:01:47:  【统计】PLM系统产品库权限统计表——技术中心
08:01:52:  PLM系统产品库权限统计表——技术中心.xlsx
08:01:57:  D:\00-06\1T1-Stop-Length\trunk\Applications\TrackCtrl\PaperManage\PaperManage.c (trunk) - Sublime Text (UNREGISTERED)
08:02:02:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:02:37:  JLink - Cortex-M Error
08:02:42:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:13:42:  新标签页 - Google Chrome
08:14:07:  班车管理系统 - Google Chrome
08:14:12:  班车管理系统 [新北洋集团] - Google Chrome
08:14:22:  Windows Internet Explorer
08:14:27:  考勤异常 - Internet Explorer
08:14:32:  新北洋OA信息化平台 - Internet Explorer
08:14:37:  Internet Explorer
08:14:42:  锁屏状态
08:14:47:  PLM产品库权限
08:14:52:  PLM系统产品库权限统计表——技术中心.xlsx  [受保护的视图] - Excel
08:14:57:  PLM系统产品库权限统计表——技术中心.xlsx  [共享] - Excel
08:15:02:  Microsoft Excel
08:14:07:  班车管理系统 - Google Chrome
08:14:12:  班车管理系统 [新北洋集团] - Google Chrome
08:14:22:  Windows Internet Explorer
08:14:27:  考勤异常 - Internet Explorer
08:14:32:  新北洋OA信息化平台 - Internet Explorer
08:14:37:  Internet Explorer
08:14:42:  锁屏状态
08:14:47:  PLM产品库权限
08:14:52:  PLM系统产品库权限统计表——技术中心.xlsx  [受保护的视图] - Excel
08:14:57:  PLM系统产品库权限统计表——技术中心.xlsx  [共享] - Excel
08:15:02:  Microsoft Excel
08:15:07:  PLM系统产品库权限统计表——技术中心.xlsx  [共享] - Excel
08:15:17:  PLM产品库权限
08:15:32:  eSpace
08:15:52:  锁屏状态
08:17:52:  本地磁盘 (D:)
08:17:57:  C:\Windows\system32\cmd.exe
08:18:02:  锁屏状态
08:18:07:  C:\Windows\system32\cmd.exe
08:19:12:  本地磁盘 (D:)
08:19:22:  D:\00-06\meger\Project\CashBox_1T2.uvprojx - μVision
08:20:37:  本地磁盘 (D:)
08:20:47:  「开始」菜单
08:21:17:  游戏
