07:56:45:  刘茂林
07:57:45:  BTCRTestTool 属性
08:05:35:  跳转列表
08:05:40:  TCRControlCmdDLL
08:05:45:  20210302
08:05:55:  于斌1
08:06:35:  LOG
08:06:40:  K64_0000_20210302170323
08:06:50:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:06:55:  Decode
08:10:10:  K64_0000_20210302170323
08:10:15:  Decode
08:10:20:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:10:25:  Decode
08:10:30:  fenxi
08:10:35:  港币10元居左D面向取款19张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X874602B8
08:10:45:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:11:10:  LOG
08:11:20:  Box_4__0000_20210302175740.log - DRB.tat* - TextAnalysisTool.NET
08:11:25:  K64_0000_20210302175740
08:11:30:  K64_0000_20210302175654
08:11:35:  Box_4__0000_20210302175654.log - DRB.tat* - TextAnalysisTool.NET
08:11:45:  K64_0000_20210302175654
08:11:50:  K64_0000_20210302175849
08:12:05:  CashBoxDareV2.3.py - D:\fenxi\港币10元居左D面向取款19张报通道传输过程中卡钞 超过最大长度持续有钞  返回码0X874602B8\LOG\K64_0000_20210302175849\CashBoxDareV2.3.py (3.7.3)
08:12:15:  Python 3.7.3 Shell
08:12:25:  TheDateInfo.xls  [兼容模式] - Excel
08:12:35:  K64_0000_20210302175740
08:12:45:  TheDateInfo.xls  [兼容模式] - Excel
08:12:50:  LOG
08:12:55:  K64_0000_20210302175654
08:13:00:  TheDateInfo.xls  [兼容模式] - Excel
08:13:05:  K64_0000_20210302175654
08:13:10:  Box_4__0000_20210302175654.log - DRB.tat* - TextAnalysisTool.NET
08:13:20:  K64_0000_20210302175550
08:13:30:  TheDateInfo.xls  [兼容模式] - Excel
08:13:35:  Box_4__0000_20210302175550.log - DRB.tat* - TextAnalysisTool.NET
08:13:40:  LOG
08:13:45:  K64_0000_20210302175318
08:13:50:  Box_4__0000_20210302175318.log - DRB.tat* - TextAnalysisTool.NET
08:13:55:  K64_0000_20210302175318
08:14:00:  LOG
08:14:05:  K64_0000_20210302175314
08:14:10:  K64_0000_20210302175307
08:14:15:  K64_0000_20210302175231
08:14:25:  TheDateInfo.xls  [兼容模式] - Excel
08:14:30:  K64_0000_20210302175231
08:14:35:  Box_4__0000_20210302175231.log - DRB.tat* - TextAnalysisTool.NET
08:14:45:  K64-_0000_20210302175231.log - DRB.tat* - TextAnalysisTool.NET
08:14:05:  K64_0000_20210302175314
08:14:10:  K64_0000_20210302175307
08:14:15:  K64_0000_20210302175231
08:14:25:  TheDateInfo.xls  [兼容模式] - Excel
08:14:30:  K64_0000_20210302175231
08:14:35:  Box_4__0000_20210302175231.log - DRB.tat* - TextAnalysisTool.NET
08:14:45:  K64-_0000_20210302175231.log - DRB.tat* - TextAnalysisTool.NET
08:15:15:  K64_0000_20210302175052
08:15:20:  Box_4__0000_20210302175052.log - DRB.tat* - TextAnalysisTool.NET
08:15:25:  K64_0000_20210302175052
08:15:30:  TheDateInfo.xls  [兼容模式] - Excel
08:15:55:  锁屏状态
