08:02:34:  Microsoft Excel
08:15:40:  Excel
08:15:45:  TCR+DRB+CRS 项目周报.xlsx  [受保护的视图] - Excel
08:16:30:  5.22 钞箱托板功能测试V1.0 .xls  [兼容模式] - Excel
08:18:50:  自动播放
08:18:55:  5.22 钞箱托板功能测试V1.0 .xls  [兼容模式] - Excel
08:19:40:  图片
08:19:45:  示例图片
08:19:55:  截2图.PNG - Windows 照片查看器
08:20:00:  库
08:20:05:  本地磁盘 (E:)
08:20:10:  CheckTheBookTital.py - E:\CheckTheBookTital.py (3.7.3)
08:20:25:  5.18 传感器测试v1.1.xlsx - Excel
08:22:20:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:22:40:  计算器
08:24:35:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:25:05:  锁屏状态
08:25:20:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:29:50:  D:\00-06\DRB\Applications\HistoryRecord\HistoryRecord.h (DRB) - Sublime Text (UNREGISTERED)
08:29:50:  D:\00-06\DRB\Applications\HistoryRecord\HistoryRecord.h (DRB) - Sublime Text (UNREGISTERED)
08:30:10:  锁屏状态
08:30:15:  face
08:30:20:  D:\00-06\DRB\Applications\HistoryRecord\HistoryRecord.h (DRB) - Sublime Text (UNREGISTERED)
08:33:25:  主页 - Internet Explorer
08:33:30:  系统登录 - Internet Explorer
08:33:40:  新北洋OA信息化平台 - Internet Explorer
08:34:00:  费用报销流程_新北洋 - Internet Explorer
08:34:15:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:38:00:  本地磁盘 (D:)
08:38:05:  本地磁盘 (F:)
08:38:25:  vncnewydjk
08:38:35:  本地磁盘 (F:)
08:38:40:  01-软件
08:38:45:  本地磁盘 (F:)
08:38:50:  杂
08:38:55:  书籍
08:39:00:  ARM启动过程(Cortex-M3 NXP LPC1768为例) [.docx [兼容模式] - Word
08:41:30:  书籍
08:41:35:  F:\02-学习资料\杂\书籍\软件设计\23种设计模式全解析 - longyulu的专栏 - 博客频道 - CSDN_NET.mht - Internet Explorer
08:41:40:  新北洋OA信息化平台 - Internet Explorer
08:41:50:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
08:41:55:  书籍
08:42:05:  杂
08:42:30:  conf
08:42:35:  杂
08:42:40:  电机芯片
08:42:45:  PID控制原理及编程方法.pdf - Adobe Reader
08:45:25:  电机芯片
08:45:30:  斑马105sl_plus.bmp - Windows 照片查看器
08:45:40:  电机芯片
08:45:50:  PID控制原理及编程方法.pdf - Adobe Reader
08:46:15:  D:\00-KE64\10\Applications\InstrExp\InstrGSProcess.c (10) - Sublime Text (UNREGISTERED)
08:51:20:  跳转列表
08:51:25:  1
08:51:30:  电机芯片
08:51:35:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:53:05:  K64_0000_20210304095201.log - DRB.tat* - TextAnalysisTool.NET
08:53:10:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
08:55:10:  D:\00-06\DRB\Applications\Separate\Separate.c • (DRB) - Sublime Text (UNREGISTERED)
09:00:05:  跳转列表
09:00:10:  D:\00-06\DRB\Applications\Separate\Separate.c • (DRB) - Sublime Text (UNREGISTERED)
09:10:15:  于斌1
09:10:20:  电机芯片
09:10:30:  于斌1
09:10:40:  警告
