08:00:08:  D:\00-KE64\select - 工作副本 - TortoiseSVN
08:00:38:  3.8DRB钞箱进展
08:18:49:  Foxmail
08:18:59:  转发: BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V13_MAIN_T99 - 写邮件
08:19:04:  发送邮件
08:19:09:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:21:14:  自动播放
08:24:14:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:24:19:  select
08:24:24:  00-06
08:24:29:  锁屏状态
08:24:44:  Tools
08:24:49:  D:\00-06\DRB\Tools\CreateJK.exe
08:24:59:  Tools
08:25:04:  Windows 任务管理器
08:25:14:  锁屏状态
08:25:54:  eSpace
08:26:14:  D:\00-06\DRB\Tools\CreateJK.exe
08:26:19:  Tools
08:26:34:  回复: 转发: BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V13_MAIN_T99 - 写邮件
08:26:54:  Tools
08:28:04:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:31:09:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
08:31:14:  D:\00-06\DRB\Drivers\BldcDriver\BldcDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:32:04:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
08:33:09:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c • (DRB) - Sublime Text (UNREGISTERED)
08:33:14:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
08:33:24:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:34:04:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
08:35:24:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
08:35:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:35:34:  eSpace
08:37:19:  主页 - Internet Explorer
08:37:24:  系统登录 - Internet Explorer
08:37:29:  新北洋OA信息化平台 - Internet Explorer
08:37:44:  员工自助 - Internet Explorer
08:37:49:  http://hrms.byintra.com:8800/psp/HCMPRD/EMPLOYEE/HRMS/c/C_HR_MENU.C_NOTY_LIST.GBL?FolderPath=PO - Internet Explorer
08:37:54:  通知公告 - Internet Explorer
08:37:59:  通知公告展示 - Internet Explorer
08:38:14:  http://hrms.byintra.com:8800/psc/HCMPRD/viewredirect/_empty_/b5ea2a4e-806f-11eb-8813-8213305f4b - Internet Explorer
08:42:59:  员工自助 - Internet Explorer
08:43:19:  新北洋OA信息化平台 - Internet Explorer
08:43:24:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:44:39:  0-工作 - 张开发 - 印象笔记
08:44:39:  0-工作 - 张开发 - 印象笔记
09:02:49:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
09:03:44:  Tools
09:03:49:  本地磁盘 (D:)
09:03:54:  fenxi
09:03:59:  12.py - D:\fenxi\12.py (3.7.3)
09:04:24:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
09:04:44:  锁屏状态
09:08:00:  eSpace
09:10:25:  颜晓军
09:10:50:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:11:05:  fenxi
09:11:10:  Tools
09:11:20:  eSpace
09:11:25:  BTCR-1100_BOX1T2_KE06_FV1001_EXTFEDU6V13_MAIN_T99 - 写邮件
09:11:30:  颜晓军
09:16:30:  锁屏状态
09:16:35:  TCRTestLog_2021-03-09_000
09:16:40:  颜晓军
09:17:30:  K18_0000_20210309091552,K64_0000_20210309091552
09:17:35:  fenxi
09:17:40:  新建文件夹
09:18:00:  K64_0000_20210309091552.log - DRB.tat* - TextAnalysisTool.NET
09:18:35:  颜晓军
09:18:40:  K64_0000_20210309091552.log - DRB.tat* - TextAnalysisTool.NET
09:18:55:  颜晓军
09:39:30:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:40:05:  跳转列表
09:40:10:  Toolbox
09:40:20:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:41:50:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103090940.log
09:42:00:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:45:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103090940.log
09:45:30:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:46:15:  自动播放
09:47:45:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
09:57:30:  主页 - Internet Explorer
09:58:00:  新北洋OA信息化平台 - Internet Explorer
09:58:11:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
09:58:11:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
10:02:21:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:05:01:  KE06LOG.bat - 快捷方式 (2)
10:05:06:  锁屏状态
10:05:11:  SEGGER J-Link V6.10b - Target device settings
10:05:16:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:05:26:  锁屏状态
10:05:31:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:05:46:  D:\00-06\DRB\Middlewares\Bldc\Bldc.c (DRB) - Sublime Text (UNREGISTERED)
10:05:51:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:06:16:  J-Link V6.10b Error
10:06:21:  本地磁盘 (D:)
10:06:26:  SECSplashWnd
10:06:36:  D:\00-06\BOOT\trunk\Project\CashBox_Boot.uvprojx - μVision
10:06:51:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:07:21:  KE06LOG.bat - 快捷方式 (2)
10:07:26:  Watch 1
10:07:36:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:07:41:  LogExpert #1 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103091007.log
10:08:01:  Watch 1
10:08:21:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:08:46:  回复: 回复: DRB测试计划和方案讨论 - 写邮件
10:09:46:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:09:44 已保存
10:10:36:  本地磁盘 (D:)
10:10:41:  Internal Storage
10:10:46:  104APPLE
10:11:01:  正在取消...
10:11:06:  104APPLE
10:11:11:  文档
10:11:16:  图片
10:11:21:  正在复制...
10:11:31:  104APPLE
10:11:36:  图片
10:11:41:  IMG_4211.PNG - Windows 照片查看器
10:11:51:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:09:44 已保存
10:12:01:  IMG_4211.PNG - Windows 照片查看器
10:12:41:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:09:44 已保存
10:13:46:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:13:44 已保存
10:14:46:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:14:44 已保存
10:14:46:  回复: 回复: DRB测试计划和方案讨论 - 写邮件   10:14:44 已保存
10:18:56:  104APPLE
10:19:01:  KE06LOG.bat - 快捷方式 (2)
10:19:06:  BTCRTestTool 属性
10:19:11:  fenxi
10:19:16:  eSpace
10:19:21:  荆文波
10:19:56:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:21:36:  Microsoft Word
10:21:46:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:23:21:  颜晓军
10:24:06:  本地磁盘 (D:)
10:24:21:  DRB
10:24:26:  20200717-T94
10:24:31:  DRB-17
10:24:36:  00-06
10:24:41:  DRB
10:24:46:  Initial.c - TortoiseMerge
10:24:51:  MemoryConfig.h - TortoiseMerge
10:24:56:  State.c - TortoiseMerge
10:25:31:  Track.c - TortoiseMerge
10:25:36:  D:\00-06\DRB - 工作副本 - TortoiseSVN
10:25:41:  SensorDriver.c - TortoiseMerge
10:26:01:  SensorDriver.h - TortoiseMerge
10:26:06:  SpiFlashDriver.c - TortoiseMerge
10:26:11:  UpperPlate.c - TortoiseMerge
10:26:16:  Sensor.c - TortoiseMerge
10:26:21:  D:\00-06\DRB - 提交 - TortoiseSVN
10:26:26:  历史记录
10:26:31:  D:\00-06\DRB - 提交 - TortoiseSVN
10:27:21:  TortoiseMerge
10:27:26:  D:\00-06\DRB - 提交 - TortoiseSVN
10:28:01:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:11:  D:\00-06\DRB - 提交 - TortoiseSVN
10:28:16:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:21:  BR-1-CashBox1T2-Press.txt - 记事本
10:28:36:  DRB
10:28:41:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
10:28:51:  DRB
10:28:56:  D:\00-06\DRB - 提交 - TortoiseSVN
10:29:06:  文件补丁  
10:29:11:  SensorDriver.c - TortoiseMerge
10:29:16:  D:\00-06\DRB - 提交 - TortoiseSVN
10:29:31:  DRB
10:29:41:  T88
10:29:46:  DRB
10:30:01:  BTCR-1100-EEPROM更改记录_V100.xls  [兼容模式] - Excel
10:28:11:  D:\00-06\DRB - 提交 - TortoiseSVN
