08:01:54:  DRB测试--3.17日
08:02:09:  DRB测试缺陷--分样机.xlsx
08:02:19:  缺陷统计.xlsx
08:02:24:  DRB测试缺陷--分类别.xlsx
08:11:14:  收取邮件 - 张开发
08:11:29:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
08:11:44:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:11:49:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
08:11:54:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:11:59:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
08:12:04:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
08:15:44:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecordMoudle.c (DRB) - Sublime Text (UNREGISTERED)
08:15:49:  D:\00-06\DRB\FwLib\FlashCircRecordMoudle\FlashCircRecord_Examples.c (DRB) - Sublime Text (UNREGISTERED)
08:16:19:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:16:29:  D:\00-06\DRB\Middlewares\Log\Log.c • (DRB) - Sublime Text (UNREGISTERED)
08:17:14:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:17:24:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:17:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:18:39:  本地磁盘 (D:)
08:18:44:  D:\00-06\DRB\Tools\CreateJK.exe
08:18:49:  Tools
08:18:54:  TCR调测工具 V3.36
08:20:44:  log
08:20:49:  20210318
08:20:54:  K64_BTCR-1100200400210043_20210318081912
08:20:59:  Box_4__BTCR-1100200400210043_20210318081912.log - DRB2.tat* - TextAnalysisTool.NET
08:21:29:  D:\00-06\DRB\Project\CashBox_1T2.uvprojx - μVision
08:21:34:  TCR调测工具 V3.36
08:21:44:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:21:59:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c (DRB) - Sublime Text (UNREGISTERED)
08:22:04:  D:\00-06\DRB\Middlewares\Log\Log.c (DRB) - Sublime Text (UNREGISTERED)
08:22:19:  inc
08:22:24:  DRB
08:22:29:  Applications
08:22:34:  LogHandle
08:22:39:  D:\00-06\DRB\Applications\LogHandle - 日志信息 - TortoiseSVN
08:22:44:  LogHandle
08:22:54:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c - 日志信息 - TortoiseSVN
08:22:59:  LogHandle.c Revision 4144 - TortoiseMerge
08:23:09:  D:\00-06\DRB\Applications\LogHandle\LogHandle.c - 日志信息 - TortoiseSVN
08:23:14:  LogHandle
08:23:24:  D:\00-06\DRB\Applications\LogHandle - 版本库浏览器 - TortoiseSVN
08:23:44:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/b.../LogHandle.c - 日志信息 - TortoiseSVN
08:23:49:  LogHandle.c Revision 3053 - TortoiseMerge
08:23:54:  http://192.168.10.9:82/svn/BTCR-1100/FW_BTCR-1100_K06_MAIN/b.../LogHandle.c - 日志信息 - TortoiseSVN
08:23:59:  LogHandle
08:24:04:  Applications
08:24:09:  DRB
08:24:14:  Log
08:24:19:  D:\00-06\DRB\Middlewares\Log\Log.c - 日志信息 - TortoiseSVN
08:24:24:  Log
