07:57:56:  DRB测试缺陷-3.17.xlsx  [只读] - Excel
08:04:16:  Microsoft Windows
08:08:32:  桌面整理
08:09:07:  State.c - TortoiseMerge
08:09:22:  K64_BTCR-1100200400210043_20210319144944
08:09:27:  20210319
08:15:47:  锁屏状态
08:15:52:  新标签页 - Google Chrome
08:16:02:  桌面整理
08:16:12:  正在准备 再循环
08:16:17:  新标签页 - Google Chrome
08:16:56:  Tasks - To Do - Google Chrome
08:17:01:  已计划日程 - To Do - Google Chrome
08:17:16:  新标签页 - Google Chrome
08:17:21:  20210319
08:17:26:  新标签页 - Google Chrome
08:18:10:  修改书签
08:18:20:  新标签页 - Google Chrome
08:18:30:  班车管理系统 - Google Chrome
08:18:35:  班车管理系统 [新北洋集团] - Google Chrome
08:18:45:  20210319
08:19:00:  LogExpert #4 - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103181137.log
08:19:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202103151412.log
08:19:10:  20210319
08:20:19:  开始
08:20:24:  C:\Users\zhangkaifa\Desktop\11234.gif - Internet Explorer
08:20:39:  新北洋OA信息化平台 - Internet Explorer
08:20:44:  D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)
08:30:08:  State.c - TortoiseMerge
08:30:28:  D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)
08:30:58:  State.c - TortoiseMerge
08:31:08:  本地磁盘 (D:)
08:31:13:  00-06
08:31:18:  DRB
08:31:23:  TortoiseMerge
08:31:28:  Initial.c - TortoiseMerge
08:31:48:  D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)
08:31:53:  跳转列表
08:31:58:  TCRControlCmdDLL
08:32:03:  20210319
08:32:08:  Decode
08:32:23:  文件夹正在使用
08:32:28:  TheDateInfo.xls  [兼容模式] - Excel
08:32:33:  LOG
08:32:38:  Decode
08:32:48:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:32:53:  eSpace
08:35:33:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:36:53:  Decode
08:36:58:  LOG
08:37:08:  K64_BTCR-1100200400210043_20210319173055
08:37:23:  [No file loaded] - [No filter file] - TextAnalysisTool.NET
08:37:28:  锁屏状态
08:37:33:  Box_1__BTCR-1100200400210043_20210319173055.log - DRB2.tat - TextAnalysisTool.NET
08:37:43:  LOG
08:37:48:  Box_1__BTCR-1100200400210043_20210319173805.log - DRB2.tat - TextAnalysisTool.NET
08:38:18:  LOG
08:38:23:  Box_1__BTCR-1100200400210043_20210319174241.log - DRB2.tat - TextAnalysisTool.NET
08:38:48:  LOG
08:38:53:  Box_1__BTCR-1100200400210043_20210319174335.log - DRB2.tat - TextAnalysisTool.NET
08:40:18:  LOG
08:40:23:  Box_1__BTCR-1100200400210043_20210319174241.log - DRB2.tat - TextAnalysisTool.NET
08:42:08:  LOG
08:42:43:  K64_BTCR-1100200400210043_20210319174335
08:42:48:  Box_1__BTCR-1100200400210043_20210319174335.log - DRB2.tat - TextAnalysisTool.NET
08:45:03:  TCR调测工具 V3.36
08:45:03:  TCR调测工具 V3.36
08:45:08:  钞箱配置
08:45:28:  TCR调测工具 V3.36
08:47:38:  钞箱配置
08:47:43:  TCR调测工具 V3.36
08:52:43:  库
08:52:48:  trunk
08:52:53:  Tools
08:54:38:  【通知】公务卡提交文件&青年大学习
08:54:58:  Tools
08:55:03:  TCR调测工具 V3.36
08:55:08:  盘点
08:55:18:  TCR调测工具 V3.36
08:58:53:  盘点
08:58:58:  TCR调测工具 V3.36
08:58:53:  盘点
08:58:58:  TCR调测工具 V3.36
09:01:54:  盘点
09:01:59:  锁屏状态
09:03:59:  TCR调测工具 V3.36
09:04:04:  eSpace
09:04:14:  TCR调测工具 V3.36
09:05:59:  盘点
09:06:04:  TCR调测工具 V3.36
09:08:04:  TCRControlCmdDLL
09:08:09:  Decode
09:08:14:  20210320
09:10:09:  Decode
09:10:14:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
