07:57:42:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (trunk) - Sublime Text (UNREGISTERED)
07:58:22:  警告
07:58:27:  Excel
07:58:32:  整改后DRB测试缺陷.xlsx  [受保护的视图] - Excel
07:58:57:  Decode
07:59:02:  fenxi
07:59:07:  整改后缺陷日志
07:59:12:  正在复制 72 个项目(206 MB)
07:59:22:  剩余 10 秒
07:59:27:  剩余 5 秒
07:59:32:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
07:58:22:  警告
07:58:27:  Excel
07:58:32:  整改后DRB测试缺陷.xlsx  [受保护的视图] - Excel
07:58:57:  Decode
07:59:02:  fenxi
07:59:07:  整改后缺陷日志
07:59:12:  正在复制 72 个项目(206 MB)
07:59:22:  剩余 10 秒
07:59:27:  剩余 5 秒
07:59:32:  100元手动放钞，普通取款第5张报通道传输过程中卡钞 在预定的时间内未到达下一个传感器  返回码0X824601B4，钞箱内纸币状态正常
08:05:12:  ID-2
08:05:17:  IMG_6815.JPG - Windows 照片查看器
08:05:22:  ID-2
08:05:27:  20元下腔盘点T30-T40第557张报 钞箱口 500ms纸币未进入 返回码0X035E0900
08:05:32:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:06:17:  Decode
08:10:07:  Box_3__BTCR-1100200600510423_20210322134517.log - DRB2.tat* - TextAnalysisTool.NET
08:11:18:  LOG
08:11:23:  Box_3__BTCR-1100200600510423_20210322134345.log - DRB2.tat* - TextAnalysisTool.NET
08:11:43:  Box_3__BTCR-1100200600510423_20210322134517.log - DRB2.tat* - TextAnalysisTool.NET
08:12:08:  ID-2
08:12:13:  Decode
08:12:18:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:12:33:  Decode
08:14:18:  K64_BTCR-1100200600510423_20210322161410
08:14:23:  Box_3__BTCR-1100200600510423_20210322161410.log - DRB2.tat* - TextAnalysisTool.NET
08:14:18:  K64_BTCR-1100200600510423_20210322161410
