07:57:55:  姚世龙
08:05:50:  自动播放
08:06:50:  计算器
08:07:25:  fenxi
08:07:30:  20元大额取款第1018张报 钞箱口  返回码0X025E1A00，钞箱发送缓冲区过满。
08:07:35:  钞箱出钞失败
08:07:40:  Decode
08:07:45:  K64_0000_20210323160032.log - DRB2.tat* - TextAnalysisTool.NET
08:09:40:  ErrCode_list_txt_flg.txt - 记事本
08:09:45:  查找
08:09:50:  K64_0000_20210323160032.log - DRB2.tat* - TextAnalysisTool.NET
08:12:45:  ErrCode_list_txt_flg.txt - 记事本
08:12:55:  K64_0000_20210323160032.log - DRB2.tat* - TextAnalysisTool.NET
08:14:15:  颜晓军
08:14:15:  颜晓军
08:16:10:  警告
08:16:15:  缺陷日志
08:16:25:  5#
08:16:30:  颜晓军
08:16:55:  本地磁盘 (D:)
08:17:05:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:17:10:  正在复制 37 个项目(50.6 MB)
08:17:15:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:17:25:  颜晓军
08:18:10:  转发: RATM-N5160-210323-R试制室001不合格品通知单
08:18:15:  颜晓军
08:18:20:  卡钞时钞箱2状态.jpg
08:18:30:  卡钞错误代码.jpg
08:18:35:  颜晓军
08:18:40:  转发: RATM-N5160-210323-R试制室001不合格品通知单
08:18:45:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:18:50:  IMG_20210323_155200.jpg - Windows 照片查看器
08:18:55:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
08:19:00:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:19:05:  缺陷日志
08:19:10:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:19:15:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:19:25:  Decode
08:19:30:  ID-1、20元下腔存款打开钞箱后初始化报钞箱口  返回码0X085E1900，打开钞箱拿出小部分纸币点击初始化报通道传输过程中卡钞 钞票残留  返回码0X834604B8
08:19:35:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:19:40:  Decode
08:19:45:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:20:45:  LOG
08:20:50:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:30:15:  缺陷日志
08:30:40:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:32:30:  5#
08:32:35:  缺陷日志
08:32:40:  ID-2、20元下腔盘点T30-T40报钞箱口 500ms纸币未进入 返回码0X035E0900
08:32:45:  IMG_20210323_111238.jpg - Windows 照片查看器
08:32:50:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
08:32:55:  文件夹访问被拒绝
08:33:00:  ID-2、20元下腔盘点T30-T40报钞箱口 500ms纸币未进入 返回码0X035E0900
08:33:05:  库
08:33:10:  本地磁盘 (D:)
08:33:25:  fenxi
08:33:35:  6#DRB钞箱执行大额存取款，大额存款20张入上腔，执行普通取款时，软件返回钞箱出钞21张，其中1张倾斜，6张间距过短，出钞口14张，实际出钞口13张。
08:33:40:  IMG_20210323_155200.jpg - Windows 照片查看器
08:33:50:  IMG_20210323_111238.jpg - Windows 照片查看器
08:33:55:  Decode
08:34:00:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
08:34:15:  Decode
08:34:40:  K64_BTCR-1100200600510423_20210323111009
08:34:45:  Box_3__BTCR-1100200600510423_20210323111009.log - DRB2.tat* - TextAnalysisTool.NET
08:35:05:  5#
08:35:45:  DRB系统测试
08:35:50:  7#
08:36:00:  整改后缺陷日志
08:36:05:  5#
08:36:10:  缺陷日志
08:36:15:  整改后DRB测试缺陷.xlsx
08:37:10:  桌面整理
08:37:20:  开始
08:37:25:  桌面整理
08:37:30:  整改后DRB测试缺陷-3.23.xlsx - Excel
08:37:45:  K64_0003_20210322164117.log - DRB2.tat* - TextAnalysisTool.NET
08:38:25:  于斌1
08:38:45:  K64_0003_20210322164117.log - DRB2.tat* - TextAnalysisTool.NET
08:38:55:  于斌1
08:39:05:  整改后DRB测试缺陷-3.23.xlsx - Excel
08:39:20:  整改后缺陷日志
08:39:25:  整改后DRB测试缺陷-3.23.xlsx - Excel
08:41:05:  于斌1
08:41:10:  整改后DRB测试缺陷-3.23.xlsx - Excel
08:43:25:  锁屏状态
08:43:30:  于斌1
08:43:35:  K64_0003_20210322164117.log - DRB2.tat* - TextAnalysisTool.NET
08:43:40:  Decode
08:43:50:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:47:06:  D:\00-06\DRB\Drivers\StepMotorDriver\StepMotorDriver.c (DRB) - Sublime Text (UNREGISTERED)
08:47:11:  D:\00-06\DRB\Applications\PlateCtrl\LowerPlateCtrl.c (DRB) - Sublime Text (UNREGISTERED)
08:47:21:  D:\00-06\DRB\Middlewares\Plate\LowerPlate.c (DRB) - Sublime Text (UNREGISTERED)
08:47:26:  D:\00-06\DRB\Middlewares\Plate\LowerPlate.h (DRB) - Sublime Text (UNREGISTERED)
08:47:31:  计算器
08:47:56:  Box_3__BTCR-1100200600510423_20210323154420.log - DRB2.tat* - TextAnalysisTool.NET
08:48:51:  回复: 整改后的DRB测试--3.23日
08:49:01:  整改后DRB测试缺陷(1).xlsx  [只读] - Excel
